task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	80.65519694238905	80.65519694238905	10.651805253579353	0.0	29.721227660210076	80.65519694238905
1	80.74451216283428	161.39970910522337	19.037443144151272	0.0	39.44271897893815	80.74451216283428
2	73.21036443127265	234.61007353649592	20.549549402107626	0.0	41.184317785888105	73.21036443127265
3	75.73735229012843	310.3474258266243	25.163350850842935	0.0	47.073342399609274	75.73735229012843
4	74.81567972919852	385.163105555823	29.539229463336643	0.0	53.77986889059518	74.81567972919852
5	79.9710072116472	465.1341127674699	38.234961474214124	0.0	59.59750772959734	79.9710072116472
6	73.22342051689866	538.3575332843687	40.702297932279265	0.0	60.780072357608255	73.22342051689866
7	75.03148244340207	613.3890157277707	44.488920010561195	0.0	67.75228312454749	75.03148244340207
8	73.25909993591532	686.6481156636862	45.68692314703346	0.0	69.86301175376839	73.25909993591532
9	74.23805836064399	760.8861740243302	47.91913201391097	0.0	76.01927680244039	74.23805836064399
10	72.01836009157138	832.904534115901	50.09267530066949	0.0	77.67221494901787	72.01836009157138
11	73.34563130809835	906.250165424	51.23408292086979	0.0	79.5048631630356	73.34563130809835
12	76.27740457784432	982.5275700018439	55.704007326696065	0.0	81.66479140572301	76.27740457784432
13	77.75004397435109	1060.2776139761952	62.5385801532448	0.0	86.20573470372126	77.75004397435109
14	75.74871866803369	1136.026332644229	67.21001317314695	0.0	88.17193818603502	75.74871866803369
15	75.75956109367971	1211.7858937379085	70.84347008334744	0.0	91.43905148797093	75.75956109367971
16	72.91097070476003	1284.6968644426684	72.32500793851048	0.0	95.50670772600586	72.91097070476003
17	78.03521602789573	1362.7320804705637	79.11925778386167	0.0	97.26124758533713	78.03521602789573
18	72.43935466833248	1435.1714351388966	80.48217281354353	0.0	98.06083875671725	72.43935466833248
19	79.09682073208015	1514.2682558709766	88.06318185964865	0.0	97.32601793672575	79.09682073208015
20	73.89375709770093	1588.1620129686771	91.22581541647942	0.0	97.5386626068795	73.89375709770093
21	79.07187137807081	1667.2338843467492	99.55182210280476	0.0	99.53550178986977	79.07187137807081
22	74.46101928621775	1741.694903632967	103.44512484998015	0.0	99.63767264510156	74.46101928621775
23	78.00383961804428	1819.69874325101	110.25562294380047	0.0	104.49297957246891	78.00383961804428
24	73.75659975037411	1893.4553430013848	112.75006085436024	0.0	105.24994539456216	73.75659975037411
25	73.18531627919818	1966.640659280583	115.43525549513225	0.0	108.86998497119072	73.18531627919818
26	73.2924603411188	2039.9331196217017	117.29266359480962	0.0	106.79239982638276	73.2924603411188
27	78.5963534073555	2118.5294730290566	124.02530325577227	0.0	113.77892265104407	78.5963534073555
28	74.92746861170276	2193.45694164076	126.71715019811617	0.0	114.82785320829879	74.92746861170276
29	71.20626100943304	2264.6632026501934	127.58805535751715	0.0	115.91204589377233	71.20626100943304
30	75.60718032593844	2340.2703829761313	132.539500271209	0.0	119.65659693403758	75.60718032593844
31	76.21906957723517	2416.489452553367	138.3726837863688	0.0	127.83731822090488	76.21906957723517
32	80.59781148047925	2497.087264033845	147.83225091323555	0.0	131.75588632352714	80.59781148047925
33	76.71401183419134	2573.801275868036	153.75955161096624	0.0	133.6292214901739	76.71401183419134
