task	reward	total_reward	total_regret	relative	total_reward_dev
0	76.79445928544754	76.79445928544754	26.70387210044013	0.0	20.861829374186044
1	77.42566877190899	154.22012805735653	53.26508642062725	0.0	29.42841624873878
2	76.9380192188355	231.15814727619195	80.26517803514692	0.0	35.058661513890755
3	76.92654811973335	308.0846953959253	107.18061800720636	0.0	40.03326838431378
4	77.68650763124913	385.7712030271748	135.33721675760376	0.0	44.17481095959341
5	80.35695392057367	466.12815694774804	166.0082787500187	0.0	57.94927831873056
6	73.45078646985232	539.5789434176007	191.2337363934391	0.0	59.668371758429245
7	77.11487401246171	616.6938174300622	222.00426657865114	0.0	64.07047027096141
8	75.61264725024263	692.3064646803047	247.30445568287854	0.0	67.56717670712274
9	76.85391232812452	769.1603770084295	274.29672985062155	0.0	69.67999225327128
10	78.11905808922592	847.2794350976552	304.88360691140855	0.0	73.27508014809713
11	76.52613369068087	923.8055687883357	333.7729926064733	0.0	79.49536267770252
12	72.75930567318001	996.5648744615163	359.7864153067681	0.0	80.22611557932073
13	75.95316745085475	1072.5180419123708	384.2897498951895	0.0	80.77041622954896
14	76.71281019389099	1149.2308521062614	411.1864972537943	0.0	86.307227071367
15	74.55501218518651	1223.7858642914475	436.2229684182496	0.0	87.77269540289565
16	71.79904084486861	1295.5849051363161	456.869634191266	0.0	91.46560454084363
17	76.07936485843021	1371.664269994747	483.84373885362584	0.0	95.15293419333022
18	72.85422897806713	1444.5184989728143	508.21550467075474	0.0	98.39661500301543
19	74.91034391732971	1519.428842890144	533.2652214609424	0.0	97.5934285639026
20	76.45789301885345	1595.8867359089973	561.6402160840869	0.0	100.57983327753273
21	79.11533360544752	1675.0020695144444	591.2055756361333	0.0	100.74869222963446
22	78.38082953768136	1753.3828990521258	620.695508159221	0.0	104.4387057532763
23	80.92610961955612	1834.309008671682	651.2365551704995	0.0	109.7782256603943
24	77.78554759240329	1912.0945562640852	680.3473534458269	0.0	114.52149726663107
25	75.1380882126181	1987.2326444767034	708.4534628740719	0.0	115.57053215685326
26	73.44935399209474	2060.6819984687986	734.058822877028	0.0	114.44004808525163
27	75.18363947453851	2135.865637943337	759.640822415295	0.0	112.822733175533
28	78.2329246459561	2214.098562589292	790.0042522150334	0.0	114.80748361998756
29	75.0468758342182	2289.1454384235117	817.8625628269631	0.0	115.60114231090093
30	76.95013813386528	2366.0955765573754	846.2502374520917	0.0	118.73599470158746
31	79.73720482561195	2445.8327813829887	878.0096939378085	0.0	124.05892140977849
32	77.2376587215471	2523.0704401045346	905.9639419951225	0.0	124.21575519101668
33	79.62177018972255	2602.692210294257	935.7550315489091	0.0	130.02162485089934
34	74.27281962641086	2676.965029920669	962.7982831490995	0.0	130.5443917570888
35	73.29311770111543	2750.2581476217824	989.1119978099268	0.0	130.86587724982888
36	77.0357481018027	2827.293895723587	1018.2996893270413	0.0	131.72505240291414
37	72.50039676314135	2899.794292486728	1042.7953566660938	0.0	133.37727302668594
38	73.45123357129224	2973.2455260580214	1068.6062945216354	0.0	136.21772548302928
39	75.73190686702618	3048.9774329250477	1096.9974340834672	0.0	140.79875521237716
40	81.38534244058224	3130.362775365627	1129.6904957577563	0.0	143.13706045065217
41	76.51938296418152	3206.88215832981	1157.8552738339204	0.0	147.61372456375537
42	81.24063175802536	3288.122790087836	1187.9722139881399	0.0	148.7387321194872
43	73.5517287144865	3361.674518802322	1212.5817913153096	0.0	148.08381086051276
44	73.88916593276501	3435.5636847350875	1238.588985015121	0.0	147.79709887076322
45	76.56244552753179	3512.12613026262	1266.1683003343192	0.0	147.7614555796346
46	76.5501812942614	3588.676311556879	1293.0365264719046	0.0	149.24681793849675
47	73.55579806975864	3662.23210962664	1318.7782059247902	0.0	149.45144879082667
48	78.01483861503719	3740.2469482416764	1346.7129137288728	0.0	154.9983443767098
49	79.48884934121352	3819.735797582888	1378.6875681114418	0.0	153.52386396655632
50	75.01977441863748	3894.755572001528	1403.2400976939448	0.0	153.52487605653968
51	77.75793588152223	3972.51350788305	1432.4421327316	0.0	158.40856550462308
52	76.8357965238231	4049.349304406871	1460.820534106426	0.0	163.99121026062292
53	73.69464687090684	4123.043951277778	1486.9498193064858	0.0	163.58390084189256
54	77.57271957405501	4200.616670851836	1516.6759480389965	0.0	162.40247809908226
55	76.10064484331751	4276.717315695154	1545.43288238007	0.0	165.72500948719716
56	77.78331115626762	4354.500626851419	1571.4620968827526	0.0	173.0377603547557
57	74.41151668605478	4428.912143537475	1598.8549555650911	0.0	178.60352122056287
58	74.23845558504163	4503.150599122516	1623.9479736667504	0.0	177.46229859054245
59	73.72640824021906	4576.877007362735	1649.6300274167163	0.0	178.64311644421116
60	73.626818311017	4650.503825673753	1676.3895395911518	0.0	178.42926970713486
61	76.59065406857594	4727.094479742328	1702.826883315432	0.0	180.17000343143903
62	79.96799750923178	4807.0624772515575	1735.2053024432266	0.0	180.57174627370037
63	71.33697396189493	4878.399451213454	1757.9637522897985	0.0	178.16219023842234
64	74.76726027065145	4953.166711484106	1784.128340952987	0.0	178.95777897073472
65	76.03212953547383	5029.19884101958	1810.504547972926	0.0	181.65959521877252
66	77.2006674869617	5106.399508506542	1838.4253171604444	0.0	183.1777523038454
67	77.24714123230507	5183.646649738846	1866.2901509496023	0.0	185.47553246606932
68	77.39453859551813	5261.041188334366	1895.8137926345707	0.0	188.12366840362984
69	74.98327532143193	5336.0244636558	1922.4695785502274	0.0	190.5427981573564
70	73.49675988556703	5409.521223541363	1947.0839476923577	0.0	190.94670092865726
71	75.75837380119295	5485.279597342556	1974.2661204815374	0.0	192.35938885993798
72	73.5699215464252	5558.849518888983	1999.1181689817834	0.0	193.19701988117248
