task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	53.853856631525076	53.853856631525076	5.662044893500628	0.0	24.04579973236114	53.853856631525076
1	76.11294895776291	129.96680558928801	33.924838658982864	0.0	31.000345319207568	76.11294895776291
2	56.806309593201796	186.7731151824897	45.437983383990115	0.0	42.43090669678653	56.806309593201796
3	73.4743157291146	260.2474309116044	70.79107591187568	0.0	44.16057613122647	73.4743157291146
4	54.02439934976489	314.27183026136925	76.50842952756803	0.0	52.1262791625298	54.02439934976489
5	71.54063151145061	385.8124617728198	101.12983069293647	0.0	50.15710980742212	71.54063151145061
6	56.85723313814105	442.66969491096097	110.95358488830803	0.0	61.4907827665861	56.85723313814105
7	67.94411724201679	510.61381215297763	129.7202907580845	0.0	64.74538855979378	67.94411724201679
8	63.78420743881218	574.3980195917901	144.1006291624275	0.0	74.66767755958274	63.78420743881218
9	68.08986267963452	642.4878822714242	162.9700053839823	0.0	85.73877784505288	68.08986267963452
10	66.24732327860299	708.7352055500274	179.1020804207567	0.0	89.36787707935129	66.24732327860299
11	65.04462680297563	773.7798323530026	194.97219505320348	0.0	100.85586615491249	65.04462680297563
12	63.13451924231454	836.9143515953172	210.90241762057252	0.0	100.34278022792486	63.13451924231454
13	62.59827076949704	899.5126223648153	225.12609946978887	0.0	102.60795340173085	62.59827076949704
14	62.51698528697521	962.0296076517897	240.41664496233403	0.0	107.39613096872858	62.51698528697521
15	64.44322071740672	1026.4728283691963	255.45264352754486	0.0	108.31752123475744	64.44322071740672
16	59.302483553485324	1085.7753119226813	265.46312009549194	0.0	113.13275454242269	59.302483553485324
17	67.45271693826139	1153.2280288609434	283.4000271139535	0.0	122.59483378194162	67.45271693826139
18	67.63698939491239	1220.8650182558554	301.6922217328821	0.0	130.35219680220771	67.63698939491239
19	66.2238088215923	1287.088827077448	319.6079575423014	0.0	135.70720447088797	66.2238088215923
20	65.817838638285	1352.9066657157323	336.1871201987989	0.0	133.91149544355974	65.817838638285
21	67.12463959868214	1420.0313053144146	355.2690166077565	0.0	133.27380902784157	67.12463959868214
22	61.766158702217346	1481.7974640166315	367.50277256657813	0.0	135.65110193022707	61.766158702217346
23	61.12763556008692	1542.9250995767186	379.74860940668043	0.0	140.76938988281887	61.12763556008692
24	63.383927466522664	1606.3090270432413	393.07985044771345	0.0	141.69599113098343	63.383927466522664
25	66.30295397681962	1672.6119810200619	411.8653986621193	0.0	151.3727683485065	66.30295397681962
26	63.08157785291104	1735.6935588729727	425.9587381050713	0.0	154.91513711127223	63.08157785291104
27	66.90224955912997	1802.5958084321019	443.47420187898445	0.0	160.31644564901447	66.90224955912997
28	67.45469412471189	1870.0505025568136	460.99157532726065	0.0	170.29584412025528	67.45469412471189
29	61.90744737763819	1931.9579499344516	471.75890382808836	0.0	170.1116755784983	61.90744737763819
30	66.68701681956694	1998.6449667540196	491.52683883603527	0.0	171.4737716326976	66.68701681956694
31	64.78769728275357	2063.4326640367726	507.7053617204352	0.0	175.96437374924633	64.78769728275357
32	58.12964027328258	2121.5623043100554	515.5523697902671	0.0	175.5490652297772	58.12964027328258
33	62.20719251182831	2183.769496821883	526.8675186996039	0.0	183.34493623429577	62.20719251182831
34	67.48288307221645	2251.252379894101	545.4714501171367	0.0	186.01484385802328	67.48288307221645
35	60.91277984525205	2312.165159739353	557.5275076294743	0.0	183.90476748479125	60.91277984525205
36	65.79770369739005	2377.9628634367414	575.0435824412057	0.0	188.04248938874187	65.79770369739005
37	66.85609835089049	2444.8189617876337	592.4924843142525	0.0	188.94714350996688	66.85609835089049
38	62.28167207811105	2507.100633865744	606.7099836707828	0.0	195.09272056689915	62.28167207811105
39	66.59943435320233	2573.7000682189446	623.2796116211163	0.0	188.76187795927294	66.59943435320233
40	64.14850775561945	2637.8485759745654	638.2806513168924	0.0	191.17822996208156	64.14850775561945
