task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
0	10.48022135014156	0	80.51343634797124	80.51343634797124	6.679922991771878	0	77.60820710183887	77.60820710183887	6.739502493041257	0	76.8224958719342	76.8224958719342	6.545188997944449	0	78.19416912075006	78.19416912075006	14.575502406759702	0	85.38847720192805	85.38847720192805	9.605982940822408	0	79.8051649887749	79.8051649887749	8.89621891820137	0	80.77375022558711	80.77375022558711	4.671417405767765	0	75.80494897097984	75.80494897097984	4.66074687840973	0	75.06146243537025	75.06146243537025	9.744690767376595	0	80.85083407846285	80.85083407846285	6.405961491498716	0	77.7152603332316	77.7152603332316	7.898955978476192	0	80.58290807764475	80.58290807764475
1	15.78630911435676	0	76.21462242942457	156.72805877739572	13.154309918996121	0	77.95488483925266	155.56309194109147	12.377250881581073	0	76.24544781060938	153.06794368254353	16.047368752673382	0	81.59916463763216	159.79333375838215	21.73485690078057	0	77.9414131490527	163.32989035098072	26.595279151169258	0	88.10106705499315	167.90623204376797	21.82780158349892	0	83.88964014335066	164.6633903689377	22.8844589447823	0	88.08087622296074	163.88582519394058	14.994475675365491	0	81.11767118577289	156.1791336211431	20.249420825484943	0	81.33222906908946	162.1830631475523	19.709581926804066	0	83.65537143174424	161.3706317649758	13.721004428970971	0	77.07419231474307	157.65710039238772
2	21.500926343605805	0	77.5681858233273	234.296244600723	19.525775263179252	0	78.59982498112913	234.1629169222205	18.651329651831794	0	76.96451044136639	230.03245412390987	25.008095415688054	0	80.9291648113182	240.72249856970038	33.27332477571058	0	82.46170083819943	245.79159118918022	40.70482840829911	0	85.56552136057884	253.47175340434677	28.83000249038282	0	79.5007402124387	244.16413058137627	29.589117049573932	0	79.16721086370472	243.05303605764516	23.815431647708866	0	79.72009412735257	235.89922774849555	31.054766995189503	0	81.94024030802204	244.12330345557416	32.927500962196206	0	85.4548088607507	246.8254406257266	23.58779710731028	0	81.19765655624457	238.85475694863217
3	33.34442115419217	0	84.08370590275763	318.37995050348053	27.167724304288612	0	79.97274873817666	314.1356656603973	32.74711649750042	0	84.78937904273434	314.8218331666443	36.40209061560815	0	82.66889503002012	323.3913935997204	39.71316036533707	0	78.91690920606823	324.7085003952482	48.078476890220806	0	78.28250767122096	331.7542610755677	37.585507456058814	0	80.4753041943689	324.63943477574514	39.71790359469078	0	81.49921273664756	324.5522487942927	35.47158240930112	0	81.64857667255323	317.5478044210488	43.408021147622264	0	83.94900868136136	328.0723121369355	35.81366041951891	0	74.0896938527688	320.91513447849525	31.763379227170898	0	79.1963228393032	318.0510797879354
4	42.55620913225413	0	81.06913752614875	399.44908802962925	35.10711247246586	0	78.88380071065478	393.019466371052	44.37543647480789	0	82.54316400650313	397.3649971731474	46.27290755421613	0	80.28688446472162	403.67827806444205	49.93378215444441	0	82.12609149774475	406.8345918929929	64.37937341800892	0	88.08625535033798	419.8405164259057	46.40268339212853	0	81.31219517993414	405.9516299556792	52.330332358655795	0	82.76678528583015	407.3190340801228	46.08302575873614	0	81.84523223315898	399.3930366542078	54.40405864667244	0	83.0535345168601	411.12584665379575	39.5803667844346	0	75.78609829633011	396.7012327748252	36.94148997707058	0	75.74103194708847	393.79211173502404
5	51.48034363295731	0	79.95213987982157	479.4012279094505	44.297426657272325	0	81.1606471677934	474.18011353884555	47.457007904625726	0	75.10414982530877	472.46914699845627	52.13386664150194	0	77.59840064349633	481.27667870793834	59.82065881851488	0	81.13706589767403	487.9716577906673	76.61021444781858	0	82.34394138185066	502.1844578077562	56.31638065838972	0	81.72878113072925	487.6804110864086	60.16691354622179	0	78.5309876219559	485.8500217020785	55.78572824595573	0	81.38193584978836	480.7749725039959	59.2759196753678	0	75.67333382922095	486.7991804830169	53.91083014297951	0	85.46893914019427	482.17017191501947	45.83779500350098	0	79.50380487650304	473.29591661152705
6	61.292875947350836	0	81.33981248548297	560.741040394934	51.769964878134296	0	79.19942053834602	553.3795340771915	54.28325984768976	0	79.82049705344251	552.2896440518982	62.02676493680416	0	80.94311094417247	562.2197896521106	63.5504568277591	0	75.69175334644959	563.6634111371163	86.62050088011823	0	80.89766838630248	583.0821261940588	67.0945692444722	0	82.85439200693224	570.5348030933408	69.44075196627145	0	80.04800906065593	565.8980307627344	65.3660153763875	0	79.98613534567622	560.7611078496723	66.10072325161127	0	78.86778766321781	565.6669681462342	63.54936922620404	0	81.10604665979302	563.2762185748126	55.67043739605763	0	79.11788499517306	552.4138016067001
7	69.69605910757356	0	78.67479717612899	639.4158375710628	61.358986473294806	0	79.09012804565837	632.46966212285	61.21121787248285	0	77.87869624071486	630.1683402926133	71.68386738764208	0	81.77049309613503	643.9902827482457	74.38725024558893	0	81.50848781535582	645.1718989524726	95.30075204900207	0	79.52916478753843	662.6112909815971	80.08326081577329	0	84.145299291398	654.6801023847386	79.06832028906084	0	80.56120024398402	646.4592310067186	76.76459308043586	0	83.818812996043	644.5799208457153	72.18281581681406	0	77.73377262379745	643.4007407700317	78.27768627107304	0	86.41861678299443	649.6948353578068	66.2889890200684	0	81.71316944745128	634.1269710541513
8	76.17730623203482	0	76.86890823231451	716.2847458033772	73.52799381510076	0	82.43642182034002	714.9060839431896	66.90501617275432	0	76.30041968767301	706.4687599802869	81.60842388952034	0	81.70196569867089	725.6922484469163	86.35417945058845	0	82.02977521862756	727.2016741710999	105.93386734515961	0	80.22381163900252	742.8351026205995	90.49982022037773	0	81.04514094454993	735.7252433292887	82.23526109004185	0	75.00513659109026	721.4643675978087	89.11280511776069	0	83.36651201893302	727.946432864648	82.4887352756027	0	80.9979738399301	724.3987146099616	84.15891674879205	0	77.53787444496975	727.2327098027764	70.22477954493372	0	74.26252792175093	708.3894989759021
9	85.05605802168901	0	79.48208446444283	795.7668302678197	82.70185079456698	0	79.84522887781836	794.7513128210081	73.8952431818978	0	77.64204338253695	784.1108033628232	94.0574447976256	0	83.60790410548847	809.3001525524047	97.76445196529589	0	82.40110552870262	809.6027796998023	117.17756685551372	0	82.00482586494837	824.8399284855481	96.49938316900754	0	77.93274753654033	813.6579908658291	92.61232223288522	0	81.01831284858366	802.4826804463925	94.78399042984296	0	75.61990578757411	803.5663386522225	93.78985884148968	0	82.69418691140267	807.0929015213644	91.78068381655179	0	79.10377253533339	806.3364823381099	82.53060864887712	0	84.06233007873153	792.4518290546335
