task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
0	13.357031169176	0	59.41275108590557	59.41275108590557	16.6219027093462	0	63.58477713276151	63.58477713276151	12.414489388285492	0	58.8478240688211	58.8478240688211	38.613174662075295	0	82.94946493147418	82.94946493147418	17.071403599552784	0	63.393197984242235	63.393197984242235	21.18639651993226	0	63.850137472895966	63.850137472895966	9.372569853193916	0	53.54949595363817	53.54949595363817	16.320157131663915	0	61.77059249744041	61.77059249744041	13.978916357510695	0	58.84574479289338	58.84574479289338	12.907437343500328	0	57.544500318784365	57.544500318784365	17.668583148903426	0	63.744837701358904	63.744837701358904	34.10450497890312	0	78.88827973583751	78.88827973583751
1	27.52735107305861	0	59.063319282311994	118.47607036821756	27.829338258329575	0	58.44663343140074	122.03141056416221	27.261883909364133	0	58.50998640166765	117.35781047048873	83.83330175037237	0	89.29907522159138	172.2485401530654	37.10729443755511	0	64.04828909729007	127.44148708153234	37.746332690735194	0	66.01883521703571	129.8689726899317	34.33528434556982	0	69.90349190749689	123.45298786113503	42.82523505886254	0	73.00344090008721	134.77403339752757	46.0024993183619	0	75.85402734779709	134.6997721406904	38.357130339868974	0	72.08831112119195	129.6328114399763	38.50113845150102	0	68.6673136472595	132.41215134861824	72.62168288612219	0	84.26450203572341	163.15278177156085
2	42.51326176301322	0	57.22518630820426	175.70125667642185	53.163719846208124	0	69.11621263904702	191.14762320320915	42.91410704357498	0	61.260982107245155	178.61879257773384	121.02357766295835	0	83.49383473525613	255.7423748883217	63.71850091983973	0	71.96864880756053	199.41013588909283	60.93872813092236	0	68.2311653157749	198.10013800570653	58.68273729433278	0	71.84705385149172	195.3000417126267	63.06639265955451	0	66.49078852782715	201.2648219253547	70.41204320201498	0	69.58679764042552	204.286569781116	56.373456282665394	0	64.8796011933403	194.51241263331656	71.5788716187708	0	77.99494202341334	210.40709337203168	112.45663281613749	0	87.02480324629745	250.1775850178584
3	57.39467340368376	0	61.20052368290479	236.90178035932658	85.27431688864537	0	76.45776733571917	267.6053905389284	53.04042430323555	0	56.90277038543251	235.52156296316645	148.41936465827112	0	74.78649080375634	330.5288656920779	81.54544555051145	0	62.42775842586824	261.83789431496115	77.05111494685393	0	61.837689680550895	259.9378276862575	70.57331464962385	0	57.204233303993576	252.50427501662017	77.64001020990366	0	58.465927062006315	259.7307489873611	86.08059123578123	0	59.831840695512945	264.1184104766289	80.94323941578926	0	67.71413060717559	262.2265432404921	89.41987340300471	0	64.37871474532372	274.7858081173554	150.4571656043075	0	84.71836736968856	334.89595238754686
4	64.83654859081255	0	51.90272260891291	288.80450296823955	112.38557096992541	0	71.38355325508027	338.98894379400866	62.27607116297936	0	57.53389365126742	293.0554566144338	187.0266819030142	0	80.83242205522494	411.36128774730315	117.95181150994763	0	84.72490153954095	346.562795854502	114.5950856696962	0	79.50283536768583	339.4406630539431	105.7355734536222	0	80.17499197064286	332.67926698726313	107.70372170081095	0	75.76902437710736	335.4997733644682	116.97053297302972	0	77.36509075079222	341.4835012274211	110.63680281568128	0	75.10686291787903	337.33340615837113	120.89404429677612	0	76.84552375438362	351.6313318717389	184.7902245471787	0	81.62163184855692	416.51758423610363
5	80.80275505319592	0	59.2456511732824	348.05015414152183	132.56833243000946	0	65.11764289623895	404.1065866902477	80.23431504195183	0	62.16126263896211	355.2167192533959	225.30250303657746	0	80.11236448127651	491.4736522285794	153.73693464355156	0	82.56376818000037	429.1265640345022	154.18835208083576	0	84.25402845373382	423.69469150767713	136.1175095141365	0	77.07376466112028	409.75303164838317	140.32502311618128	0	75.56794252912759	411.0677158935959	160.12309602686827	0	86.49151817760323	427.9750194050243	144.7512225203707	0	79.66040740147113	416.99381355984224	156.31516418552224	0	79.59214506153201	431.22347693327094	222.1996959638699	0	84.8758535465305	501.39343778263435
6	97.0756271074512	0	63.630468564230256	411.6806227057521	151.05182003941994	0	64.08059687818312	468.1871835684306	92.05799855192795	0	58.04448604148967	413.26120529488566	257.53582378723536	0	76.47858039179485	567.9522326203742	172.95368255861592	0	66.40318723394553	495.52975126844814	172.45887230743213	0	66.00729821602074	489.7019897236977	160.57065615720336	0	69.03771059373476	478.7907422421182	160.70476895816626	0	65.61813603556946	476.6858519291654	188.11920788064126	0	72.58969055023947	500.56470995526377	169.73834547401097	0	73.31143963924785	490.30525319908986	179.0401112027757	0	68.37251368471937	499.59599061798997	254.1072821779293	0	79.02515908106929	580.4185968637038
7	115.00829493617134	0	62.21451012592479	473.8951328316769	169.23183362453605	0	63.68529618916751	531.872479757598	98.75742683440792	0	55.46316505669981	468.7243703515853	292.6564562527651	0	78.78035454190152	646.7325871622758	188.4564934336131	0	61.13650534507673	556.6662566135244	187.7801198764969	0	61.79636232321897	551.4983520469167	184.9723226747511	0	68.387518102627	547.1782603447449	187.19982631253828	0	71.97585429987133	548.6617062290366	210.32005022331515	0	67.55406308878088	568.1187730440447	193.05070560922505	0	68.47597719663192	558.7812303957221	202.39359211916815	0	68.13841457154794	567.734405189538	289.5501353092164	0	81.20742457558028	661.6260214392839
8	137.3528725012474	0	64.76796307392242	538.6630959055992	201.02178079913898	0	78.44592156794911	610.3184013255474	109.44082152523399	0	59.876371184250495	528.6007415358362	322.32571551851015	0	74.36947281227933	721.1020599745549	203.55131900228753	0	58.63869194698228	615.3049485605068	207.58050366838594	0	66.21857420107048	617.7169262479873	213.77871464828885	0	73.0268076954539	620.2050680401986	219.38528068375112	0	74.95571029915	623.6174165281868	234.64454936502244	0	70.81390563653258	638.932678680577	216.32265661081735	0	67.02006799842505	625.8012983941468	228.92065047543213	0	70.18130792891493	637.9157131184531	322.64496441087346	0	77.30061245442414	738.9266338937081
9	146.85423256028028	0	55.52689875767828	594.1899946632775	235.2788648206557	0	79.84862772914872	690.1670290546963	119.71110925599385	0	55.18915623137088	583.7898977672068	358.0270003031042	0	81.35277006472988	802.4548300392848	217.60101991345138	0	59.31526635268123	674.6202149131881	229.4189016549431	0	67.83614260383578	685.5530688518229	242.54953104024855	0	75.00003000900234	695.2050980492011	242.2521012688895	0	68.29184741483515	691.9092639430218	260.14885165196546	0	70.61052885234321	709.5432075329202	243.64041614355236	0	74.79688355357975	700.5981819477264	256.6777985407474	0	71.9273676077862	709.8430807262396	357.2569589871425	0	80.33062877352766	819.2572626672356
