task	reward	total_reward	total_regret	relative	total_reward_dev
0	53.74375791941068	53.74375791941068	15.629335731408581	0.0	40.86331653681544
1	47.58677930990982	101.33053722932054	26.109549444549675	0.0	51.99375210047789
2	46.261690839111	147.59222806843155	35.425553235724784	0.0	57.49521447358235
3	57.45733634400849	205.04956441244016	57.57291710278676	0.0	71.48661245069545
4	65.48286637194369	270.5324307843837	85.18834110658014	0.0	81.88331229963619
5	55.22181783949711	325.75424862388076	102.947973807748	0.0	89.86332867242793
6	55.9357966853226	381.69004530920324	119.47563822120615	0.0	100.11180542948485
7	54.51973140517197	436.2097767143753	135.33543018061354	0.0	109.92273024261436
8	57.18989975385658	493.39967646823175	156.31011890765893	0.0	119.42855896361428
9	56.91235957123282	550.3120360394645	176.09899782569278	0.0	128.03965270224458
10	58.51549486717754	608.8275309066422	196.67064289750297	0.0	131.3383982966387
11	44.65806645104257	653.4855973576846	200.75071482052016	0.0	135.47575697830038
12	51.69736917442323	705.1829665321081	214.6797248142897	0.0	141.04164004198947
13	53.83865996970502	759.0216265018128	230.98562243684574	0.0	138.65723410219263
14	56.60416046240098	815.625786964214	250.63253847211027	0.0	141.9291269527402
15	48.40093888332575	864.0267258475396	260.42073288861656	0.0	146.47015422289317
16	52.5554559931375	916.5821818406773	274.6914172382454	0.0	151.16191199824337
17	52.10771749558663	968.689899336264	288.2675487295144	0.0	151.69478820710222
18	50.56832283595382	1019.2582221722173	301.5439764472218	0.0	156.59029642176307
19	51.136978614275215	1070.3952007864934	313.79741993271443	0.0	156.9980986378446
20	56.97445980594294	1127.369660592436	332.5616424844078	0.0	156.66438478058018
21	55.350245453466	1182.7199060459013	351.0355334447457	0.0	162.11241387695583
22	53.818034341175206	1236.5379403870766	366.0175056464235	0.0	163.29304926011514
23	52.953307001284664	1289.4912473883614	381.61011160596684	0.0	169.87617393399137
24	52.11401889003407	1341.6052662783957	396.3284885475694	0.0	177.35845182797357
25	50.32975156577065	1391.9350178441662	407.8646539048805	0.0	182.2642564028353
26	57.661774577249474	1449.596792421416	428.26970184218203	0.0	187.19761259716205
27	50.10916798490495	1499.7059604063202	440.36332550133943	0.0	189.26792460965967
28	48.604925623094076	1548.3108860294149	450.9771246307192	0.0	195.50370692255737
29	56.74988400087871	1605.0607700302924	470.76257143625145	0.0	199.83080581759432
30	56.80483382291099	1661.865603853205	491.30719054279405	0.0	201.48035704607736
31	56.91771740395376	1718.783321257158	508.9474516840123	0.0	205.71339789450008
32	59.04831824130476	1777.8316394984631	529.3561219632973	0.0	212.07880374226522
33	49.11353948264481	1826.9451789811076	541.2307418253748	0.0	219.8442214758383
34	56.03949666413221	1882.9846756452398	559.8189229832739	0.0	220.76087040233566
35	53.04058929575133	1936.0252649409908	575.5825646297749	0.0	229.60013857718783
36	59.954802100662576	1995.980067041654	597.9514191958662	0.0	223.04999006856542
37	62.307036106131584	2058.2871031477857	622.2319918061079	0.0	230.80983567873912
38	53.94895905774044	2112.236062205526	638.3643343719632	0.0	233.69967577176814
39	53.60892920164597	2165.8449914071725	653.1226165773345	0.0	235.92979258692444
40	52.6440877393676	2218.48907914654	668.3011602322431	0.0	235.9990021636129
