task	reward	total_reward	total_regret	relative	total_reward_dev
0	82.07716305067021	82.07716305067021	43.83566615917072	0.0	33.28001380600315
1	80.15406305089446	162.23122610156463	86.36635852751489	0.0	40.731838097946344
2	85.48116724211678	247.71239334368133	134.6016059132961	0.0	51.01402445973414
3	85.17139209752422	332.8837854412055	182.11768188890684	0.0	61.92819037578397
4	82.82663075278978	415.7104161939952	227.22580163630812	0.0	72.97807881704509
5	80.35996637432116	496.0703825683164	270.4617541088979	0.0	80.3742544547806
6	84.52037956136033	580.5907621296768	316.7067081443697	0.0	84.49321174690537
7	75.92973175015615	656.5204938798328	355.63802128096665	0.0	90.27295519111124
8	76.6535014267998	733.1739953066328	394.0079678433126	0.0	95.13100145018217
9	80.28839328243645	813.4623885890691	437.3792503607649	0.0	100.61089475784385
10	76.69996483298233	890.1623534220514	476.24507567841096	0.0	103.61994438131991
11	85.36107533388552	975.5234287559366	523.5212934753101	0.0	105.77576860141674
12	83.66629520779888	1059.1897239637356	568.8165687852638	0.0	104.89478170622903
13	74.30235102810109	1133.4920749918367	609.0166768195617	0.0	109.91163447913809
14	82.43284695514654	1215.9249219469834	654.104615140394	0.0	116.2352254945899
15	78.35119888303024	1294.2761208300133	694.4111791496211	0.0	119.9866933608668
16	83.6052204358768	1377.8813412658906	741.283600655339	0.0	123.1197199390162
17	83.60461118727879	1461.4859524531685	786.6040400548648	0.0	128.61854307103707
18	80.727488414345	1542.2134408675142	829.0724648417563	0.0	130.12026203274928
19	79.48191216355399	1621.6953530310677	871.5714825929646	0.0	131.70484838751187
20	81.09008069085802	1702.785433721927	914.4822341921707	0.0	138.1470483068737
21	81.03416735398173	1783.8196010759077	956.646123738329	0.0	139.67496540865358
22	76.35023121072285	1860.1698322866296	995.2650361027383	0.0	143.1635192359456
23	78.96633417609758	1939.1361664627284	1037.1941794410702	0.0	145.53822177469644
24	79.9510978716065	2019.087264334335	1078.8943537144035	0.0	149.6473108607687
25	77.61992412741009	2096.7071884617435	1117.4462627887413	0.0	153.04507409512212
26	80.92531131793903	2177.6324997796846	1161.6123323085933	0.0	156.38822920868776
27	80.51513662669775	2258.1476364063815	1204.6367434809624	0.0	163.487548845446
28	82.04296267807027	2340.1905990844516	1249.7283354371216	0.0	168.99360888206755
29	82.1980249948056	2422.3886240792567	1294.8503006176145	0.0	170.25623399489683
30	77.8619868533886	2500.250610932644	1334.6249795767621	0.0	169.43555517076464
31	80.28664204423686	2580.5372529768806	1377.1460105558965	0.0	171.16762250375444
32	79.61683665319124	2660.154089630074	1418.2073869111473	0.0	168.542510930102
33	84.40691185543024	2744.561001485504	1465.6178957087843	0.0	179.34019334722808
34	77.37953837629937	2821.940539861803	1504.9239428986082	0.0	181.7958344856078
35	81.76191401281716	2903.7024538746186	1548.4095799193724	0.0	185.4043861252151
36	76.84428996306384	2980.5467438376836	1587.968184495554	0.0	185.19688005079595
37	79.12441454601031	3059.671158383693	1630.3324809324324	0.0	189.02176578660388
38	79.61847897447795	3139.2896373581716	1671.6701068980694	0.0	185.40126676699063
39	79.54486967756804	3218.8345070357395	1713.743983258363	0.0	184.7867777509159
40	81.23681683161233	3300.071323867353	1757.1997823995846	0.0	192.79646080028277
41	82.68233599644654	3382.753659863796	1802.5700851272036	0.0	194.3984044696472
42	80.30273168402397	3463.0563915478224	1844.3830189628172	0.0	199.40908067021812
43	81.79548717612954	3544.8518787239545	1887.739994810053	0.0	200.79078598179342
44	83.33599790504798	3628.187876629	1933.2866950184223	0.0	213.52668984707057
45	81.13367140909124	3709.3215480380923	1977.5773854254267	0.0	214.2822379408253
46	81.14774988009319	3790.469297918184	2020.0649873244868	0.0	212.9895159068408
47	78.38398811894609	3868.85328603713	2060.300379106289	0.0	214.08277340095447
