task	reward	total_reward	total_regret	relative	total_reward_dev
0	73.6341412126168	73.6341412126168	1.0653635861395143	0.0	15.682977714588343
1	73.0773989134285	146.7115401260453	2.7600740267406936	0.0	22.732050204785224
2	71.19394580650173	217.90548593254695	1.5095185196737964	0.0	25.933857729546748
3	73.37245177034374	291.27793770289077	3.8820423925888643	0.0	29.393697512829075
4	73.41367578732276	364.6916134902135	5.275905031390007	0.0	38.09886965299593
5	70.70396126439326	435.3955747546069	3.358771636504302	0.0	39.230988955365554
6	74.25003097407584	509.64560572868254	6.2709780240852036	0.0	44.60168651583533
7	73.78209243851427	583.4276981671969	10.185715644305262	0.0	47.050010119444615
8	73.71660237278493	657.1443005399816	12.531874248360364	0.0	48.682832347358236
9	72.43362318884812	729.5779237288298	14.655703293671504	0.0	50.987498050855095
10	74.55003674981015	804.12796047864	17.96131183104156	0.0	53.1657602702988
11	72.33995702909934	876.4679175077392	18.923099796307355	0.0	53.62105630268429
12	74.04340140309765	950.511318910837	21.966026774662865	0.0	59.36699916186881
13	76.33642668529974	1026.8477455961363	28.132912167488147	0.0	63.82019506156663
14	74.28324284494029	1101.1309884410769	32.34453028483965	0.0	62.586987325831615
15	74.46446046822243	1175.5954489092996	36.189217615763326	0.0	65.24799208000552
16	75.86191904299773	1251.4573679522973	40.883669069888946	0.0	66.578039090143
17	74.55296971298739	1326.0103376652844	44.3800288072118	0.0	67.24947422169659
18	73.97913074882983	1399.989468414115	47.31147552618361	0.0	69.98089676053078
19	75.74269235503648	1475.7321607691513	52.07983905227095	0.0	72.54062772901597
20	74.82302650654665	1550.5551872756976	55.14563829597695	0.0	73.2905436142476
21	73.31073131160245	1623.8659185872998	55.55174026613116	0.0	73.06524075115193
22	73.8900516283684	1697.7559702156677	57.6542951828781	0.0	74.47707248914391
23	74.20820716277078	1771.9641773784388	59.710851754898414	0.0	77.09495439684167
24	73.1197257002138	1845.0839030786528	60.726383330300344	0.0	76.78964366131737
25	75.37691416673054	1920.4608172453839	65.89642563535186	0.0	81.39790786696238
26	76.19789977593955	1996.6587170213231	70.43804850245924	0.0	85.9379898452071
27	72.92386770536153	2069.582584726684	72.19294541747313	0.0	86.05061895084295
28	73.69539673537723	2143.2779814620626	75.09359975238684	0.0	88.59241715344443
29	74.62312088822047	2217.901102350282	80.074413684852	0.0	90.0242873740171
30	71.67865049488472	2289.579752845167	81.15878827576533	0.0	90.28411592939744
31	72.70785535947535	2362.287608204642	82.60145022139687	0.0	93.4077144919155
32	74.08620757874907	2436.3738157833905	85.47202323195874	0.0	95.57292600414202
33	76.1031187164656	2512.476934499857	89.61932927300747	0.0	97.92276137138329
34	74.15745704265622	2586.6343915425136	92.52669627403996	0.0	97.38179753637306
35	72.34360998087892	2658.9780015233914	93.58876677156532	0.0	98.2862602297981
36	72.94984824987499	2731.927849773267	95.93244304147218	0.0	97.74706816382205
37	71.47082127201797	2803.3986710452864	96.6509013253604	0.0	98.40163866007995
38	73.42103030838074	2876.8197013536665	99.64328548348905	0.0	97.83312840944046
39	72.57441550401781	2949.394116857682	101.39302898667174	0.0	97.40965107015921
40	74.45617757233359	3023.8502944300167	104.43770512352111	0.0	99.2317626753956
41	71.11865091111783	3094.9689453411356	105.25700264052882	0.0	102.76764746244913
42	72.98834249611163	3167.957287837246	107.32535429642277	0.0	104.27365307101523
43	73.55258724714496	3241.509875084392	110.2146223247594	0.0	108.2027739629167
44	73.20489478788956	3314.71476987228	111.97805616116375	0.0	108.50066568866427
45	74.48250499722292	3389.1972748695034	113.84883748417447	0.0	109.61932850373174
46	72.5233200276361	3461.72059489714	115.40279784762784	0.0	109.87888365311296
47	73.25903269242792	3534.9796275895665	117.95775239283779	0.0	113.86096952747033
48	73.59747024552772	3608.577097835096	120.67692574057108	0.0	115.66356998230212
49	72.1971194518373	3680.7742172869334	121.01699753137402	0.0	115.42858065264038
50	74.85223198720993	3755.626449274141	125.64143682108383	0.0	115.10697295639214
51	72.14138411075346	3827.7678333848953	127.35926086328266	0.0	113.13774480429765
52	71.19086843405277	3898.95870181895	128.98924372953059	0.0	116.2058012998695
53	70.72946774140658	3969.688169560355	128.38553434082283	0.0	116.58014880689358
54	73.40155579063912	4043.089725350994	131.76324910384713	0.0	117.26009203842065
55	75.21857292381357	4118.308298274809	136.4288687026405	0.0	121.01889552323011
56	73.19298042287694	4191.501278697685	139.5838755902667	0.0	123.8068163815293
57	73.14704429717835	4264.6483229948635	140.55150797876507	0.0	126.14506493281613
58	72.01344235741105	4336.6617653522735	141.14525496259398	0.0	127.55497555231838
59	70.49566440046945	4407.157429752744	140.53586019570164	0.0	127.18241587673705
60	76.4912682044445	4483.648697957189	145.88541148325453	0.0	130.6463504240099
61	73.21137738707583	4556.860075344264	148.03318599454724	0.0	130.06453508237325
62	73.56230077867322	4630.422376122936	149.33112380383722	0.0	130.59754829635992
63	75.98722605108621	4706.409602174025	153.68028896922905	0.0	130.3589718817142
64	71.78519715983217	4778.194799333855	154.53312638415755	0.0	130.29547926258815
65	73.31360128699487	4851.508400620853	157.09977486460687	0.0	132.42400418822356
66	72.35395642307859	4923.862357043929	159.18257766193284	0.0	131.4224932841457
67	72.77403376561837	4996.636390809546	161.2527067443974	0.0	131.86219198754333
68	72.72715946565792	5069.363550275207	164.01880276307395	0.0	132.08042312996042
69	72.3726421461034	5141.736192421308	162.84967604386497	0.0	133.07864931779588
70	73.82216831543937	5215.55836073675	165.76423249418696	0.0	133.7991347308038
71	72.973901119314	5288.532261856064	167.1506853234984	0.0	134.97194983705552
72	75.29095678465255	5363.823218640714	170.55635370323193	0.0	135.67521630811066
73	71.33845533567252	5435.16167397639	170.39325603649092	0.0	137.3682611889708
74	72.54557319813377	5507.707247174522	171.24117064469684	0.0	138.93360167254002
75	75.39434782634109	5583.101595000864	175.03158785321375	0.0	140.6256811438515
76	72.05578435295892	5655.157379353821	176.18606338161618	0.0	142.55375806732974
77	71.34145878096409	5726.498838134784	177.28111194995975	0.0	143.44312379836168
78	74.20292378213782	5800.701761916923	179.88015230592325	0.0	146.96712071013684
79	72.85191387827582	5873.5536757951995	181.63395682191617	0.0	148.56313064646272
80	75.11644350131716	5948.670119296516	185.29049254130842	0.0	151.3069370902774
81	73.79070903828588	6022.460828334797	187.93363051621378	0.0	151.7764008031625
82	71.17556873650202	6093.636397071303	187.01776035241542	0.0	150.9461293155353
83	73.16242155931079	6166.798818630615	189.21191590814908	0.0	152.43617711931932
84	71.71715376010472	6238.515972390718	188.94677849101913	0.0	154.61368645103406
85	74.38936475050681	6312.905337141228	191.65477109249366	0.0	158.33159719158616
86	71.82097149277917	6384.726308634006	192.5148306362594	0.0	159.01899543651706
87	73.29941861977449	6458.025727253781	194.72456846510693	0.0	159.49379154847867
88	73.9780530412725	6532.003780295054	197.52555406646454	0.0	162.00517618591272
89	75.49089670671621	6607.49467700177	203.00338164683214	0.0	162.12187099026843
90	76.60723639083925	6684.10191339261	208.5081255012819	0.0	161.88991447994667
91	74.72036572934502	6758.822279121952	212.8809841540665	0.0	165.7803126779804
92	75.22163442484054	6834.043913546791	217.6232100751921	0.0	165.16054567358645
93	70.80811516049202	6904.852028707284	217.83723136397475	0.0	166.41012603053167
94	75.84717959055175	6980.699208297837	223.69816621845538	0.0	166.60180140008725
95	71.7037730495277	7052.402981347368	225.45304314035192	0.0	167.43019627330034
96	71.77672160886483	7124.1797029562285	226.64535620081313	0.0	168.26771096955738
97	72.17503336324172	7196.354736319474	227.9402065452007	0.0	170.18849134449118
98	71.9499933688485	7268.30472968832	229.69229934582202	0.0	171.366443542642
99	74.30149785091783	7342.606227539239	233.15206048251977	0.0	170.08335941214264
100	77.44512468097078	7420.051352220209	240.86001896434277	73.46417211007594	175.09158946791626
101	71.44363792756825	7491.494990147779	241.9147883482328	73.44783450021733	177.45911557927596
102	70.55713359303304	7562.052123740811	240.7607751845023	73.44146637808261	176.9851612944771
103	73.35025329407806	7635.402377034888	243.4975636478504	73.44124439331995	175.10957681883548
104	73.65462507552257	7709.057002110412	245.66381827310886	73.44365388620196	175.46374798503393
105	73.30434777376665	7782.36134988418	249.39120979387909	73.46965775129574	175.82144235873244
106	72.06021061373072	7854.421560497908	251.34065841896015	73.44775954769223	176.325551371172
107	75.28347387597152	7929.70503437388	255.71424597597627	73.46277336206686	179.18978981108654
108	71.34936435880357	8001.054398732683	256.63871047387903	73.439100981927	179.55987112330763
109	74.5949538865723	8075.649352619254	259.4071036130958	73.46071428890426	180.51015793185582
110	72.28637959142823	8147.935732210683	260.09432828859565	73.43807771732043	180.8983964316042
111	74.68316983571304	8222.618902046397	262.4131352530198	73.46150984538657	183.90389395122958
112	72.19159592747002	8294.810497973865	265.06446212928364	73.44299179063029	183.9617233077403
113	74.97925779984868	8369.789755773709	269.25282465721745	73.4294201017758	182.90420729775295
114	72.32635120308144	8442.116106976793	271.0313394200346	73.4098511853572	182.58946581069952
115	74.32725021400789	8516.443357190805	274.3912966923684	73.4084790828151	185.5652503856975
116	74.34791198740918	8590.791269178218	278.5087888389555	73.39333901225918	188.47332375061433
117	74.92391312405945	8665.715182302272	282.9631915078155	73.39704844636987	185.79228251932804
118	72.44280681418292	8738.157989116457	284.0311945138651	73.38168520702344	188.6007261527061
119	72.97228007522584	8811.130269191683	287.4079602003232	73.35398108422534	189.6746211808414
120	72.71773190621727	8883.848001097902	288.9160401685577	73.33292813822206	189.70689282046402
121	74.58875080546952	8958.43675190337	293.0239945425239	73.34570833316072	191.14196768173886
