task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	52.46983338108734	52.46983338108734	4.1124544481168375	0.0	18.7030460783044	52.46983338108734
1	71.614016224615	124.08384960570233	25.93036294474384	0.0	20.03253429704894	71.614016224615
2	54.54149501788549	178.62534462358778	30.3681071670844	0.0	35.09713320637628	54.54149501788549
3	53.80964563536619	232.43499025895397	35.752892164420444	0.0	46.7988739238742	53.80964563536619
4	52.86090365628827	285.2958939152422	37.081697085441206	0.0	56.00659620003182	52.86090365628827
5	57.816921132432725	343.11281504767504	45.793650033572504	0.0	67.6167354235402	57.816921132432725
6	56.08229647855638	399.1951115262312	52.33660813621087	0.0	77.03409089940637	56.08229647855638
7	52.45133060698245	451.64644213321407	52.91405608050829	0.0	84.94975389382358	52.45133060698245
8	51.14961100564908	502.7960531388627	55.130089872692736	0.0	93.9020009583563	51.14961100564908
9	53.28625534709464	556.0823084859576	59.63446012263531	0.0	100.76850233916173	53.28625534709464
10	56.59890565121421	612.6812141371717	70.23131386260849	0.0	110.46375677661663	56.59890565121421
11	58.81175135068842	671.4929654878605	81.8181243790839	0.0	119.47586105180176	58.81175135068842
12	56.151454191859166	727.6444196797195	89.4203618816602	0.0	128.5693726471485	56.151454191859166
13	54.561646726362085	782.2060664060813	93.7522195285975	0.0	136.96654609764786	54.561646726362085
14	54.96492010889424	837.1709865149758	98.28344155738094	0.0	144.00555687828833	54.96492010889424
15	54.73186212847766	891.9028486434534	102.78060014103195	0.0	153.10061247967442	54.73186212847766
16	55.50527664596899	947.4081252894226	107.23921538392253	0.0	160.45586571178973	55.50527664596899
17	55.242570954540895	1002.650696243963	115.28721738632957	0.0	167.61171447628865	55.242570954540895
18	61.857816328827894	1064.5085125727912	128.67691099313197	0.0	176.3183155710522	61.857816328827894
19	56.92329113386251	1121.431803706654	137.96064124104922	0.0	189.41689078116138	56.92329113386251
20	59.41254064316077	1180.8443443498147	148.56662459279084	0.0	200.2951358910488	59.41254064316077
21	58.80356829009367	1239.6479126399079	158.83606164249616	0.0	205.0122554424194	58.80356829009367
22	55.157485251360214	1294.8053978912685	165.78841106735155	0.0	212.71319349029403	55.157485251360214
23	55.69668194723924	1350.5020798385074	173.2289357919092	0.0	218.41558699197256	55.69668194723924
24	57.141530291768305	1407.6436101302759	183.7392111162323	0.0	221.19346646700987	57.141530291768305
25	53.05597118451215	1460.6995813147885	187.2308716128863	0.0	227.84126580928054	53.05597118451215
26	54.60556836392983	1515.3051496787177	193.74065042353246	0.0	235.27825849929357	54.60556836392983
27	51.83588907148116	1567.1410387501987	195.73613991500315	0.0	242.10562222887071	51.83588907148116
28	56.01889771394428	1623.1599364641424	203.02070009096806	0.0	248.68145531206375	56.01889771394428
29	57.295764220290486	1680.4557006844327	212.35587093801024	0.0	257.1245852444812	57.295764220290486
30	53.919144626208556	1734.374845310642	217.47652557082733	0.0	266.5731267145331	53.919144626208556
31	53.0133847798123	1787.3882300904543	221.33632488795513	0.0	273.2769724786729	53.0133847798123
32	56.4001740076081	1843.7884040980623	227.4480644298976	0.0	281.00155599947715	56.4001740076081
33	54.88012701395529	1898.6685311120175	231.47389253819398	0.0	285.15496974668054	54.88012701395529
34	55.093383444867165	1953.7619145568856	240.26428866338847	0.0	294.27843584470816	55.093383444867165
35	52.971221720353284	2006.7331362772386	244.3932680351197	0.0	301.8523545169355	52.971221720353284
36	56.567539581403615	2063.300675858641	254.81696960126567	0.0	309.26064110449	56.567539581403615
37	54.57216809062747	2117.8728439492693	260.0844977055429	0.0	312.780461085318	54.57216809062747
38	54.19526104142241	2172.0681049906925	266.34994814588873	0.0	320.12098978304664	54.19526104142241
39	52.44824789510205	2224.5163528857943	267.1823071630597	0.0	324.0780298163952	52.44824789510205
40	52.88739857042046	2277.4037514562137	271.51859815141546	0.0	332.16032567410616	52.88739857042046
41	56.81572836159979	2334.219479817814	281.03528521167567	0.0	336.3265912630928	56.81572836159979
42	59.19556160481794	2393.415041422633	293.2364742125417	0.0	344.5274714764691	59.19556160481794
43	52.33087491565741	2445.7459163382896	296.10018589353405	0.0	351.8726570301566	52.33087491565741
44	51.80709821051656	2497.553014548806	298.4823921151932	0.0	359.59330225059745	51.80709821051656
45	49.25902973498251	2546.812044283789	298.4401929400633	0.0	365.0436829054657	49.25902973498251
46	57.089685479439964	2603.901729763229	309.2104917376839	0.0	375.72829622936126	57.089685479439964
47	56.62918541989225	2660.5309151831193	317.8099160676349	0.0	385.10278065797274	56.62918541989225
48	55.1823852499348	2715.7133004330553	322.6547440421057	0.0	392.6333846984113	55.1823852499348
49	51.86459898868688	2767.577899421741	326.4162109625642	0.0	399.43514926795217	51.86459898868688
50	52.4245230889724	2820.0024225107136	330.6030544649633	0.0	408.26312854741167	52.4245230889724
51	55.716966630335875	2875.71938914105	337.37835017541727	0.0	414.52747556918575	55.716966630335875
52	52.29669627848859	2928.0160854195396	342.33282021907957	0.0	423.01005006386424	52.29669627848859
53	55.06049987150223	2983.0765852910404	349.1863399592857	0.0	427.7032437145772	55.06049987150223
54	54.79907951179081	3037.875664802832	353.62751545349624	0.0	435.7985074232279	54.79907951179081
55	51.561056257152046	3089.4367210599844	353.96016722537405	0.0	442.35873086277326	51.561056257152046
56	56.50475748692168	3145.9414785469066	361.8048513265974	0.0	448.6250253099538	56.50475748692168
57	52.039674699013375	3197.9811532459194	366.2304214991962	0.0	454.33937073937807	52.039674699013375
58	55.416377402389934	3253.3975306483103	373.41687215072875	0.0	459.8272506473403	55.416377402389934
59	51.43308782804715	3304.8306184763564	374.7528472912225	0.0	466.4557006832129	51.43308782804715
60	56.22465099685552	3361.0552694732114	381.11098145158866	0.0	477.10597732856814	56.22465099685552
61	54.80073648572101	3415.8560059589345	386.47044139960906	0.0	491.9423189987706	54.80073648572101
62	55.3114776278332	3471.167483586766	392.96070735095	0.0	499.1285406650184	55.3114776278332
63	53.83832034733759	3525.005803934104	397.6256976954646	0.0	504.5021395678041	53.83832034733759
64	54.96786253739538	3579.9736664714997	403.26177949275484	0.0	514.0155305986042	54.96786253739538
65	56.24928805509573	3636.222954526593	409.0360401859501	0.0	519.1024990328724	56.24928805509573
66	53.424073537514076	3689.6470280641097	412.7608566436118	0.0	524.7105742835258	53.424073537514076
67	57.793232851320745	3747.440260915427	421.2456754700792	0.0	538.1164608443441	57.793232851320745
68	59.3753839348794	3806.8156448503096	432.26266275043184	0.0	542.0551255086622	59.3753839348794
69	53.40845837033595	3860.2241032206434	436.38570561246763	0.0	549.0156296331044	53.40845837033595
