task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
0	1.4447550374653673	0	49.530743008669084	49.530743008669084	-0.2131461875212131	0	49.728396968250166	49.728396968250166	7.612109142432633	0	54.96301214778179	54.96301214778179	24.86384930728098	0	73.7301775134893	73.7301775134893	4.1124544481168375	0	52.46983338108734	52.46983338108734	5.064971241893585	0	53.005942273252415	53.005942273252415	1.150223657897896	0	50.166774411261585	50.166774411261585	7.420464769515211	0	54.46398721709391	54.46398721709391	5.197245334900763	0	52.8911815221256	52.8911815221256	5.032997965726294	0	51.5004394440724	51.5004394440724	6.713352461621163	0	53.7737614248402	53.7737614248402	24.109436734182985	0	72.07087411353785	72.07087411353785
1	3.7964469981516915	0	51.85072788825511	101.38147089692417	2.9386196535474864	0	51.22200878332333	100.95040575157353	11.527163115802873	0	51.46073987865643	106.42375202643824	51.731329077667496	0	74.88605033483799	148.61622784832733	25.93036294474384	0	71.614016224615	124.08384960570233	28.40277442504619	0	74.76935372817789	127.77529600143025	26.080668493584362	0	74.11544018389179	124.28221459515343	30.417025052866656	0	72.0283250949506	126.49231231204448	31.024402500491423	0	76.51916220872255	129.41034373084813	29.483983277350138	0	72.30037791731156	123.80081736138392	32.44539641682956	0	74.97074967331626	128.74451109815647	51.664276893643894	0	74.61342453331902	146.6842986468569
2	7.0215139721776305	0	50.318192715347735	151.69966361227188	29.80012349062945	0	74.37822659569889	175.32863234727247	15.06096230767543	0	51.42937614111652	157.85312816755467	79.6111011465082	0	75.62740691732445	224.24363476565176	30.3681071670844	0	54.54149501788549	178.62534462358778	33.683264702776576	0	54.619148234482715	182.39444423591297	45.1318724332871	0	66.37862546319755	190.66084005835094	40.31722075595751	0	60.1977765004058	186.69008881245023	46.09296933634985	0	63.73639781879555	193.14674154964376	42.26137500887855	0	62.45423693722361	186.25505429860755	35.079297052383474	0	53.136443633455656	181.88095473161212	77.83823778908996	0	73.47149361059442	220.1557922574513
3	6.377632781235819	0	47.283434529342614	198.98309814161456	54.725476827260024	0	72.83932773721192	248.16796008448438	21.46515954118544	0	54.055068054316045	211.9081962218708	110.51383315633659	0	76.63848435166187	300.88211911731355	35.752892164420444	0	53.80964563536619	232.43499025895397	44.80497879309509	0	57.67026749858176	240.06471173449475	57.76472077913405	0	62.60697612549692	253.2678161838479	55.666425374712105	0	63.835637457354316	250.52572626980455	57.67338861716032	0	60.80218719432687	253.9489287439706	53.57586075521693	0	60.71999323365483	246.9750475322624	56.80582284289787	0	70.77098112380192	252.65193585541417	104.25068222707989	0	75.2357788682167	295.39157112566795
4	9.404430323897735	0	53.11429337882244	252.097391520437	59.30195336216843	0	54.10119352262504	302.2691536071092	24.175484888285848	0	51.29860558184269	263.2068018037134	134.22409274056102	0	72.67513756689786	373.5572566842116	37.081697085441206	0	52.86090365628827	285.2958939152422	50.813449512339794	0	56.313039676001665	296.3777514104966	69.18479264198393	0	59.418653912147185	312.6864700959952	69.77310244553325	0	63.64570464666963	314.17143091647415	68.07265458261907	0	58.09219515779266	312.0411239017631	61.21827813799302	0	56.06503906066707	303.0400865929295	62.42434595937863	0	51.86096324205846	304.5128990974725	130.00836092072467	0	74.88983391491826	370.2814050405861
5	10.90297485326671	0	50.99489506129441	303.09228658173134	58.896980266660414	0	49.36201330198637	351.6311669090954	25.925153042231464	0	49.95395396941707	313.1607557731304	161.13503304516752	0	76.2856889356055	449.84294561981727	45.793650033572504	0	57.816921132432725	343.11281504767504	59.5382683153243	0	58.04209121006491	354.4198426205614	81.23091076191204	0	60.40389856007447	373.09036865606964	76.07288104583937	0	57.65200479338992	371.82343570986416	77.3902053913258	0	59.01230846964799	371.05343237141113	70.78997265362175	0	57.72930843604263	360.7693950289722	87.11385129756326	0	71.08663140070878	375.5995304981812	157.06380731554856	0	75.83513383818683	446.1165388787729
6	16.225652799493353	0	54.27961946608548	357.37190604781676	64.87810089139425	0	53.80707337782633	405.4382402869221	26.52279576024928	0	51.24174492530958	364.4025006984402	185.04145449550603	0	73.01849829646008	522.861443916277	52.33660813621087	0	56.08229647855638	399.1951115262312	64.61885812027676	0	55.972777325208405	410.39261994576987	97.51042193424699	0	63.7886536108793	436.8790222669489	87.93683204491651	0	60.411509709695984	432.2349454195602	87.6428040978999	0	57.053735462734814	428.107167834146	76.51699875065574	0	54.804035048342996	415.5734300773149	91.09122628339681	0	53.232254223583986	428.83178472176513	181.21283878509544	0	72.64152184420558	518.7580607229787
7	24.553818630518027	0	56.08464930039881	413.4565553482158	72.65781787366399	0	56.0324406684691	461.470680955391	30.52594298146002	0	53.656986748712924	418.059487447153	209.94815446916607	0	72.28428991154853	595.1457338278256	52.91405608050829	0	52.45133060698245	451.64644213321407	68.48695245848313	0	54.32502764331347	464.7176475890832	105.68799257126267	0	58.91718226372147	495.79620453067014	100.05553924335584	0	59.780184276534236	492.0151296960942	95.1937694637775	0	55.5446857445023	483.6518535786482	84.24654514563892	0	58.35341997155316	473.9268500488683	106.45985037919645	0	65.90720007756731	494.7389847993326	205.4279089062406	0	73.01747398466385	591.7755347076426
8	25.309403495568993	0	49.697057997380746	463.1536133455966	78.88583933971556	0	55.52254344018593	516.9932243955772	30.784326092066088	0	48.54777562075368	466.6072630679067	242.8656093077606	0	78.5537500930193	673.6994839208452	55.130089872692736	0	51.14961100564908	502.7960531388627	77.50838965421134	0	57.255497808980316	521.9731453980635	120.5940433890147	0	64.34399533703154	560.1401998677018	110.86822013591252	0	60.06421584868641	552.079345544781	103.21768763574705	0	56.296315369923676	539.948168948572	86.0141477410689	0	51.16870582393503	525.0955558728034	111.9940505495352	0	56.081258516555415	550.820243315888	229.91132574549124	0	72.90879021446955	664.6843249221123
9	29.00941489936498	0	52.49018653140509	515.6437998770016	78.2846932117305	0	50.673087213128404	567.6663116087053	38.49325117985685	0	53.89115671719352	520.4984197851002	269.66738983587214	0	73.89801104501008	747.5974949658548	59.63446012263531	0	53.28625534709464	556.0823084859576	81.20929320459442	0	53.68592621470948	575.6590716127732	135.5021734138811	0	64.33876882279559	624.4789686904975	124.0690673014877	0	62.68214325127553	614.7614887960563	110.35518113098996	0	56.15629242166216	596.1044613702339	89.7293717119834	0	51.119358780930064	576.2149146537332	127.62071106740594	0	64.0440052688762	614.864248584764	255.17909227959137	0	73.4936124867662	738.1779374088782
