task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	49.728396968250166	49.728396968250166	-0.2131461875212131	0.0	21.71520000498595	49.728396968250166
1	51.22200878332333	100.95040575157353	2.9386196535474864	0.0	33.098328412760644	51.22200878332333
2	74.37822659569889	175.32863234727247	29.80012349062945	0.0	37.36632680013621	74.37822659569889
3	72.83932773721192	248.16796008448438	54.725476827260024	0.0	38.04485694943572	72.83932773721192
4	54.10119352262504	302.2691536071092	59.30195336216843	0.0	43.78248694131529	54.10119352262504
5	49.36201330198637	351.6311669090954	58.896980266660414	0.0	53.786288916781515	49.36201330198637
6	53.80707337782633	405.4382402869221	64.87810089139425	0.0	59.699486229553465	53.80707337782633
7	56.0324406684691	461.470680955391	72.65781787366399	0.0	67.563163063274	56.0324406684691
8	55.52254344018593	516.9932243955772	78.88583933971556	0.0	74.73336129753048	55.52254344018593
9	50.673087213128404	567.6663116087053	78.2846932117305	0.0	79.89804838133708	50.673087213128404
10	54.73813323825554	622.4044448469609	86.04550930575729	0.0	87.00593193125529	54.73813323825554
11	51.24576751553498	673.650212362496	89.82146706298664	0.0	90.81762041912714	51.24576751553498
12	51.34353022056729	724.9937425830633	92.13554639421733	0.0	95.83113336324108	51.34353022056729
13	51.497537321507394	776.4912799045709	95.1196718017394	0.0	99.90468623973229	51.497537321507394
14	51.97961569973655	828.470895604307	100.52888861011081	0.0	109.04933224327529	51.97961569973655
15	52.71355602512172	881.1844516294286	104.97566422367866	0.0	114.117851847143	52.71355602512172
16	53.44485651216174	934.6293081415913	109.0030620659137	0.0	119.62743509596145	53.44485651216174
17	53.45863137286113	988.0879395144517	112.91706688793005	0.0	121.86708867523534	53.45863137286113
18	54.41537566789501	1042.5033151823468	116.68682163668052	0.0	131.97007185017117	54.41537566789501
19	51.491648840161254	1093.9949640225075	119.22064209129576	0.0	135.86291348657008	51.491648840161254
20	52.34288677199106	1146.3378507944992	120.96368446827641	0.0	139.0895847400563	52.34288677199106
