task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	42.87334137784932	42.87334137784932	5.674982000544831	0.0	25.179646863950236	42.87334137784932
1	53.582096127157705	96.455437505007	21.082047556782985	0.0	43.16954756942452	53.582096127157705
2	51.22811535916584	147.68355286417284	34.18366593129294	0.0	46.10080330929488	51.22811535916584
3	42.43014627755981	190.1136991417327	37.42210670128419	0.0	49.14950709122393	42.43014627755981
4	56.8020482962808	246.91574743801348	55.002306454683136	0.0	53.84445842520074	56.8020482962808
5	53.672008360237896	300.5877557982512	71.36618070944778	0.0	56.928032826941646	53.672008360237896
6	52.75426576221674	353.3420215604682	86.77022052227281	0.0	62.90833553308848	52.75426576221674
7	60.296901321489386	413.6389228819573	108.39089761217346	0.0	68.3635480031096	60.296901321489386
8	64.39764334126365	478.0365662232214	137.06164591719232	0.0	68.4903071346039	64.39764334126365
9	50.631976052595384	528.6685422758164	150.34507407372723	0.0	71.75003701203364	50.631976052595384
10	75.52935408904511	604.1978963648618	187.99343825278788	0.0	78.2706305755558	75.52935408904511
11	74.33002903432751	678.5279253991894	225.2287939436828	0.0	77.37958786343125	74.33002903432751
12	50.45358710963721	728.9815125088265	237.86511193121493	0.0	78.56403536009894	50.45358710963721
13	46.99425506178559	775.9757675706119	247.1834051104454	0.0	75.73133130705585	46.99425506178559
14	45.7023503790224	821.6781179496342	255.44462158388822	0.0	79.99055075808948	45.7023503790224
15	47.8617104876143	869.5398284372486	263.2770676906898	0.0	82.2580187871774	47.8617104876143
16	47.97455730866335	917.514385745912	274.3739493601931	0.0	86.80345289633338	47.97455730866335
17	47.522233257869054	965.0366190037814	282.73834452492684	0.0	87.75193681649715	47.522233257869054
18	46.437343777217	1011.4739627809978	291.7453141747694	0.0	93.45157669787416	46.437343777217
19	48.1291833444308	1059.6031461254286	302.1128763056563	0.0	94.63561907188466	48.1291833444308
20	44.517831647967306	1104.1209777733964	308.29560034939436	0.0	95.8777332105295	44.517831647967306
21	43.81282879386646	1147.9338065672628	315.15703225266157	0.0	98.47908451297266	43.81282879386646
22	44.484101229705736	1192.417907796968	322.170147870513	0.0	99.01404995126599	44.484101229705736
23	44.68155793961604	1237.0994657365843	328.437628214414	0.0	103.08589730329236	44.68155793961604
24	44.48021028315471	1281.579676019739	335.70623192756494	0.0	105.85287175607044	44.48021028315471
25	46.711372928435175	1328.2910489481746	343.5625020153647	0.0	113.56767774307346	46.711372928435175
26	45.457723512431265	1373.7487724606056	352.64563036501175	0.0	116.17889030558075	45.457723512431265
27	47.78721185967843	1421.5359843202841	362.48493142407693	0.0	115.33525480665764	47.78721185967843
28	44.62469428433828	1466.1606786046223	369.0652345553514	0.0	116.67366773988493	44.62469428433828
29	42.12938936685931	1508.2900679714821	374.805071463338	0.0	119.91122225623957	42.12938936685931
30	47.39876729303532	1555.6888352645174	385.11224250123354	0.0	124.3603260113461	47.39876729303532
31	46.30398812148778	1601.9928233860046	393.0763524184786	0.0	130.60683750316144	46.30398812148778
32	45.570530365238874	1647.5633537512444	401.6456531008039	0.0	131.99496754140975	45.570530365238874
33	43.700963424534045	1691.264317175777	408.8198287695354	0.0	138.3039523269534	43.700963424534045
34	44.92039794698478	1736.184715122762	415.8740647180847	0.0	142.26091896332946	44.92039794698478
