task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	40.134313726548264	40.134313726548264	1.371294576421373	0.0	17.178685410816247	40.134313726548264
1	47.49970847185293	87.6340221984012	11.86214071552512	0.0	20.217164331019184	47.49970847185293
2	52.421355577915165	140.05537777631642	25.174017414441668	0.0	32.048711079434874	52.421355577915165
3	44.638465678186115	184.69384345450246	31.47289482182937	0.0	42.337923043783846	44.638465678186115
4	55.65058169332175	240.34442514782418	47.4431379555573	0.0	50.744771840586495	55.65058169332175
5	57.28703765464774	297.6314628024721	67.40141621215932	0.0	56.70336463918287	57.28703765464774
6	50.580094775318685	348.2115575777906	79.29597171891373	0.0	67.8904537740858	50.580094775318685
7	60.48113190976018	408.69268948755075	102.1070039581844	0.0	68.33898823671663	60.48113190976018
8	59.03941675217065	467.7321062397213	123.04922595670249	0.0	70.81872559219583	59.03941675217065
9	51.58959912312601	519.3217053628474	137.58998409723932	0.0	71.35385497952765	51.58959912312601
10	73.73960117572608	593.0613065385736	172.66900156597796	0.0	73.25845828764054	73.73960117572608
11	76.59045939184607	669.6517659304196	213.45138445715756	0.0	77.43340349373669	76.59045939184607
12	53.459755269224026	723.1115211996434	229.07391026728834	0.0	79.91372891891982	53.459755269224026
13	58.66857885403452	781.7801000536782	251.28291766515264	0.0	82.42301193779481	58.66857885403452
14	59.60028077576715	841.3803808294448	273.6228659135062	0.0	92.3733067288352	59.60028077576715
15	52.31014469984134	893.6905255292863	287.5853084797185	0.0	92.66203301533628	52.31014469984134
16	52.00052378681214	945.6910493160985	299.84686666759154	0.0	93.7111811324446	52.00052378681214
17	52.07288966817857	997.7639389842777	313.8956681991991	0.0	97.0385461526702	52.07288966817857
18	51.08031711524037	1048.8442560995177	326.20711965811887	0.0	100.9147246817542	51.08031711524037
19	57.15064378610113	1105.9948998856187	346.4896082319747	0.0	104.74708490535107	57.15064378610113
20	56.26830847702654	1162.2632083626447	364.3567992784155	0.0	106.21865431376818	56.26830847702654
21	53.21384626853725	1215.4770546311825	378.5756174667518	0.0	109.52611971104943	53.21384626853725
22	58.03560218160433	1273.512656812787	398.84959861127913	0.0	116.44806093377748	58.03560218160433
23	50.14007710656246	1323.652733919349	411.69967884567814	0.0	118.06756655246761	50.14007710656246
24	55.96854916096529	1379.6212830803145	430.451911588531	0.0	120.7772141364305	55.96854916096529
25	56.53346283476171	1436.1547459150763	449.53896672789926	0.0	127.3156185605712	56.53346283476171
26	53.75102878466931	1489.9057746997455	464.5817788779134	0.0	130.33924838295758	53.75102878466931
27	56.81626100037328	1546.7220357001186	482.78397184127954	0.0	134.01107652289767	56.81626100037328
28	48.51448349107014	1595.2365191911886	493.73318125003175	0.0	136.36025250716435	48.51448349107014
29	56.425213914192916	1651.6617331053815	513.5960512927335	0.0	138.35158091201626	56.425213914192916
30	52.75648321632593	1704.4182163217079	528.4129344185378	0.0	140.2002573414951	52.75648321632593
31	53.39057282237556	1757.8087891440837	544.874953241955	0.0	138.02963756692913	53.39057282237556
32	55.62205411911818	1813.4308432632015	563.4778965276122	0.0	136.9657329405789	55.62205411911818
33	52.337560307427495	1865.7684035706288	577.5439143134311	0.0	143.42540269974242	52.337560307427495
34	53.91817457526947	1919.686578145898	593.2941683342849	0.0	147.73002133918078	53.91817457526947
35	55.482487025223406	1975.169065171121	610.9080173609782	0.0	151.1713943473162	55.482487025223406
36	54.02209921389031	2029.1911643850117	626.9841657893473	0.0	147.77872396968527	54.02209921389031
37	57.94196387988543	2087.133128264898	646.8556147021449	0.0	152.33814807803628	57.94196387988543
38	55.96364519517428	2143.0967734600717	666.4908255658997	0.0	152.67074935560655	55.96364519517428
39	52.70916269202455	2195.8059361520973	682.0393529418902	0.0	157.02594913506175	52.70916269202455
40	59.00085475396709	2254.806790906064	702.479781132234	0.0	157.05727309864227	59.00085475396709
41	51.02338069751548	2305.83017160358	714.376097436573	0.0	155.7308236786874	51.02338069751548
42	56.38450273061669	2362.214674334196	734.5577378292869	0.0	154.2667444984362	56.38450273061669
43	53.464326416729044	2415.6790007509258	751.1551928634685	0.0	154.31838246797105	53.464326416729044
44	55.02064440315461	2470.699645154079	766.6677292627564	0.0	159.0981632688405	55.02064440315461
45	52.334211423284266	2523.033856577364	782.0319184297035	0.0	162.60274184828484	52.334211423284266
46	54.63424114805681	2577.6680977254205	799.562308857232	0.0	169.4246303561591	54.63424114805681
47	54.33852383604606	2632.006621561466	815.4022548985434	0.0	170.05004507598557	54.33852383604606
48	50.229472084839436	2682.236093646306	828.1806169238099	0.0	170.9392800004885	50.229472084839436
49	49.51087259257026	2731.7469662388758	840.4130846068838	0.0	172.87195513227266	49.51087259257026
50	52.646662679812486	2784.3936289186886	854.9559873104673	0.0	175.22539286514777	52.646662679812486
51	51.881707599710445	2836.2753365183994	870.6213841640691	0.0	177.44658697406734	51.881707599710445
52	49.512161925367856	2885.7874984437676	882.1890552642135	0.0	176.93477714902252	49.512161925367856
53	54.07152231984546	2939.8590207636134	897.5211823706109	0.0	175.81509090721704	54.07152231984546
54	49.890809232480734	2989.749829996094	908.5102208719296	0.0	178.03212243429257	49.890809232480734
55	50.56353313132761	3040.3133631274213	922.1487043137099	0.0	177.22516632990732	50.56353313132761
56	52.230949861363406	3092.544312988785	936.5449864773624	0.0	179.9182564191735	52.230949861363406
57	51.15627907792645	3143.7005920667107	949.3127566812227	0.0	177.94434952584672	51.15627907792645
58	51.67347642945522	3195.3740684961663	960.489640751431	0.0	185.08754664766818	51.67347642945522
59	51.452562081325986	3246.826630577491	973.1505657754778	0.0	189.76303853528103	51.452562081325986
60	49.603569928810636	3296.4302005063046	985.0446791487295	0.0	191.58706694877927	49.603569928810636
61	49.51470751906909	3345.9449080253703	996.4025394863842	0.0	192.87834436201933	49.51470751906909
62	51.69488993752205	3397.639797962892	1008.810536521859	0.0	193.159092114875	51.69488993752205
63	53.928600029263436	3451.5683979921573	1025.0059533860456	0.0	196.09306328548394	53.928600029263436
64	51.90403680446976	3503.4724347966285	1039.0109949056705	0.0	196.3700675531747	51.90403680446976
65	52.49748800905927	3555.9699228056857	1054.1584274963968	0.0	196.18466539747575	52.49748800905927
66	52.74859061961467	3608.7185134253	1069.0362645230098	0.0	202.73285064174587	52.74859061961467
67	55.18543311381735	3663.903946539119	1088.3517887075393	0.0	206.50062098449902	55.18543311381735
68	51.232880402792354	3715.1368269419104	1101.219202461173	0.0	212.6296678254322	51.232880402792354
69	51.02570055752698	3766.1625274994362	1114.1371317599649	0.0	216.63597481870792	51.02570055752698
70	47.80014036015582	3813.9626678595955	1124.223248704555	0.0	219.02618933093189	47.80014036015582
71	49.71325197737635	3863.6759198369705	1135.869416827357	0.0	215.3395938841314	49.71325197737635
72	54.89865921935061	3918.574579056322	1152.1423786312114	0.0	209.23554317324573	54.89865921935061
73	53.732715123058796	3972.307294179378	1169.149703923069	0.0	209.43812977099626	53.732715123058796
74	53.7973338790742	4026.104628058452	1183.1983490760372	0.0	215.9913069007846	53.7973338790742
75	51.476876174674636	4077.5815042331274	1195.811808914806	0.0	216.90082028361275	51.476876174674636
76	50.550922871784586	4128.132427104912	1208.9425400941202	0.0	220.32875088638914	50.550922871784586
77	48.28933375278423	4176.421760857698	1219.1207131458923	0.0	222.19573376390295	48.28933375278423
78	52.808367980535415	4229.230128838231	1233.5300603806252	0.0	228.85579198055447	52.808367980535415
79	49.52851436549727	4278.7586432037315	1245.35381707258	0.0	229.3434022896397	49.52851436549727
80	50.12666244940273	4328.885305653132	1257.3881198174925	0.0	233.66189638944158	50.12666244940273
81	49.39998958507844	4378.285295238209	1268.6966168626554	0.0	235.71391575701332	49.39998958507844
82	48.52708664880444	4426.812381887016	1280.0562814732025	0.0	234.9803018701524	48.52708664880444
83	49.18350114511138	4475.995883032128	1290.7300610098298	0.0	240.47688599913047	49.18350114511138
