task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	70.6973265942855	70.6973265942855	-0.5506411754562239	0.0	8.32942944245103	70.6973265942855
1	72.34781345541806	143.04514004970358	0.9957289624614799	0.0	11.760744637577945	72.34781345541806
2	70.20450294518646	213.24964299489005	-0.07680979520123771	0.0	13.954961439389521	70.20450294518646
3	70.28443002196146	283.5340730168516	-0.6910684155613603	0.0	15.65676984982177	70.28443002196146
4	70.86348889300322	354.39756190985486	-0.03360175373540528	0.0	17.499295949801432	70.86348889300322
5	72.67985036939974	427.07741227925436	0.7065829210871811	0.0	19.41527806031458	72.67985036939974
6	68.92641220780402	496.0038244870585	-1.784680134139532	0.0	20.759867353960214	68.92641220780402
7	71.37317235650038	567.3769968435591	-1.3349903821392695	0.0	23.344096169454126	71.37317235650038
8	69.76929371561056	637.1462905591694	-3.0678416147994994	0.0	24.903146050274245	69.76929371561056
9	72.71000054590301	709.8562911050725	-0.807473920825887	0.0	25.418815933790704	72.71000054590301
10	71.02289937110814	780.8791904761806	0.910256589660047	0.0	26.12642778611272	71.02289937110814
11	71.39034025920756	852.2695307353882	1.099451874773	0.0	27.51613313728281	71.39034025920756
12	71.20776881357541	923.4772995489637	1.8094006240219573	0.0	28.53031088570376	71.20776881357541
13	71.1437518234003	994.6210513723639	2.17264865493971	0.0	30.186566275077947	71.1437518234003
14	71.1380073163957	1065.7590586887598	2.642794214931903	0.0	30.79807197780197	71.1380073163957
15	70.59996331147305	1136.3590220002327	2.2670945831790914	0.0	31.820924004465358	70.59996331147305
16	72.23339410069121	1208.5924161009243	2.4053066486918624	0.0	32.29530560619696	72.23339410069121
17	71.1289469005098	1279.7213630014332	1.8323857577539844	0.0	33.111799884827256	71.1289469005098
18	71.47118524814829	1351.1925482495824	1.694261176783041	0.0	34.1481009198517	71.47118524814829
19	71.22308747185761	1422.4156357214397	1.1829550248011174	0.0	35.19508856570012	71.22308747185761
20	70.1362740867144	1492.5519098081545	0.7787579169420701	0.0	36.691524699138085	70.1362740867144
21	71.3499658520329	1563.9018756601872	3.491738193354822	0.0	37.3547847665939	71.3499658520329
22	71.69307390945742	1635.5949495696439	3.995562977141558	0.0	37.96715812325112	71.69307390945742
23	70.70789956263981	1706.3028491322846	3.981910398609866	0.0	37.681749196533126	70.70789956263981
24	71.2202788198638	1777.5231279521477	3.3755930014514797	0.0	38.12223836635924	71.2202788198638
25	70.56595380026452	1848.0890817524123	2.1588592037328316	0.0	39.35591757819995	70.56595380026452
26	71.00711612097017	1919.0961978733837	3.715908878489042	0.0	41.01360946275103	71.00711612097017
27	71.3970229302519	1990.4932208036344	4.2230590645623325	0.0	41.7593162607193	71.3970229302519
28	72.09177745613864	2062.584998259774	4.707018919786005	0.0	43.17841632037854	72.09177745613864
29	71.98486155331932	2134.5698598130916	5.551751559001875	0.0	44.70594222758055	71.98486155331932
30	70.93551356890458	2205.5053733819964	5.7211495684984675	0.0	45.51113463636435	70.93551356890458
31	70.81126364252881	2276.3166370245253	5.986049321416663	0.0	46.145969971135436	70.81126364252881
32	72.43740659435691	2348.754043618883	7.592643434650704	0.0	47.1353471774708	72.43740659435691
33	71.77492957110759	2420.5289731899898	7.762897024432118	0.0	49.09745746680665	71.77492957110759
34	70.92712345483763	2491.456096644828	8.867157318823242	0.0	50.06759597770504	70.92712345483763
35	71.52083269319945	2562.9769293380273	8.79219735115455	0.0	49.42067505156577	71.52083269319945
36	72.78611554648654	2635.7630448845134	9.459449195350777	0.0	48.98768302971913	72.78611554648654
37	70.92262550494252	2706.685670389457	9.604321703731989	0.0	47.596148350741814	70.92262550494252
38	69.8291657624383	2776.514836151895	9.59074650804012	0.0	48.45160313164684	69.8291657624383
39	71.30116829603004	2847.8160044479246	8.66594649302434	0.0	48.861118816649736	71.30116829603004
40	71.45489149463698	2919.2708959425627	8.798712486760415	0.0	50.65725199778677	71.45489149463698
41	70.95199553035444	2990.222891472915	7.547922344223557	0.0	50.85331599341517	70.95199553035444
42	72.24608310874932	3062.4689745816663	9.14014350466297	0.0	52.54431551619026	72.24608310874932
43	70.73205614950156	3133.2010307311657	8.722188494720099	0.0	52.51007913173311	70.73205614950156
44	72.19523343147777	3205.396264162645	10.282886847453264	0.0	53.68737908083802	72.19523343147777
45	71.95421363257606	3277.3504777952203	11.277049376744776	0.0	53.987990094308834	71.95421363257606
46	70.97353401854127	3348.3240118137637	10.818939366740196	0.0	53.919713477252095	70.97353401854127
47	71.49728787439324	3419.8212996881552	11.99762317233855	0.0	54.555371833054195	71.49728787439324
48	72.1537359595201	3491.975035647675	12.644942815154332	0.0	54.85037523921979	72.1537359595201
49	71.53115492248452	3563.5061905701605	11.907856931247547	0.0	55.53843004526648	71.53115492248452
50	71.57008376250225	3635.076274332662	13.56666901935464	0.0	57.07652889651506	71.57008376250225
51	70.72671014137042	3705.802984474032	12.364866470048915	0.0	57.5744850170125	70.72671014137042
52	71.9172415793559	3777.7202260533895	13.18142669310479	0.0	58.64559686622963	71.9172415793559
53	70.2415164757214	3847.96174252911	12.099603880121485	0.0	58.69595746279242	70.2415164757214
54	71.88819675691424	3919.849939286023	12.985637708827626	0.0	60.32282397738554	71.88819675691424
55	71.04282161759808	3990.8927609036227	12.611681197588787	0.0	61.96359918757196	71.04282161759808
56	72.23717667406392	4063.1299375776857	14.098609186790181	0.0	63.367056518865475	72.23717667406392
57	71.02590227835795	4134.155839856042	14.69680641143455	0.0	63.15161433685907	71.02590227835795
58	71.32053522223083	4205.476375078275	15.924922378536467	0.0	63.289580058983034	71.32053522223083
59	71.95057153910668	4277.426946617384	17.357796136933448	0.0	64.44488040619576	71.95057153910668
60	70.25444775193834	4347.68139436932	16.363977230262453	0.0	63.10077594216695	70.25444775193834
61	71.75865130585488	4419.440045675176	17.502348744679058	0.0	64.37197703920553	71.75865130585488
