task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
0	1.04579946655272	0	72.08548492484084	72.08548492484084	1.0224257820410465	0	72.1770881302617	72.1770881302617	1.6914250352663591	0	72.40333474279556	72.40333474279556	-1.1318296909663497	0	70.3743913732868	70.3743913732868	-0.5506411754562239	0	70.6973265942855	70.6973265942855	-1.1536802933227512	0	71.34764726421257	71.34764726421257	0.8237111262884612	0	71.35065484918815	71.35065484918815	-1.7789263721680164	0	70.83820201007154	70.83820201007154	1.1119727483444004	0	71.46165350098988	71.46165350098988	1.9431052930117334	0	72.27560289899638	72.27560289899638	-0.7041092374073007	0	70.23590258920771	70.23590258920771	1.1702053084150155	0	72.298607310276	72.298607310276
1	1.322787007465417	0	71.06598603496674	143.15147095980757	1.672806859671219	0	72.56650127909904	144.7435894093607	2.0443979527917957	0	71.6173444921153	144.0206792349109	-0.1183495023862831	0	73.02826879003325	143.40266016332004	0.9957289624614799	0	72.34781345541806	143.04514004970358	0.8510612969373615	0	73.64379883861922	144.9914461028318	1.5623952307147746	0	71.44960542793976	142.80026027712793	-2.342455448447522	0	70.8584703340408	141.69667234411236	2.79379096153011	0	71.95078460096714	143.41243810195695	1.2102671925576254	0	70.43746761443037	142.71307051342671	-1.0482020943755135	0	70.87301946977207	141.10892205897977	2.66189941586637	0	72.02354657866479	144.3221538889408
2	1.9181551536919736	0	71.35525712967971	214.50672808948738	1.770112304400797	0	70.65538994286582	215.3989793522264	2.927440381588944	0	72.19244304389055	216.2131222788014	1.2081045794765797	0	72.6050943686773	216.00775453199728	-0.07680979520123771	0	70.20450294518646	213.24964299489005	0.8026913450635439	0	70.8575136074954	215.84895971032714	2.3321265051662037	0	71.98848898545499	214.78874926258288	-2.3629842017727873	0	71.00487931823774	212.7015516623501	2.3094481068366783	0	70.55212582728444	213.96456392924142	1.2961652102596504	0	71.69981370502063	214.41288421844737	1.0287159545278102	0	72.21325248163065	213.32217454061043	3.205395227589277	0	71.42667938465245	215.74883327359316
3	1.2748531649607722	0	70.69773373961075	285.2044618290981	1.9594119184080905	0	70.67368057556078	286.07265992778747	3.6076118710485514	0	72.11486148099026	288.3279837597917	1.2397728279856355	0	72.11599196370274	288.1237464957001	-0.6910684155613603	0	70.28443002196146	283.5340730168516	1.5972137828962452	0	72.08700664459464	287.93596635492173	3.5090824203748623	0	71.26780747721615	286.05655673979896	-1.3902229840606009	0	71.51420693862414	284.2157586009742	4.0621827318458505	0	72.15741183609893	286.12197576534027	1.3676597603446923	0	70.775990771999	285.18887499044627	0.7466022354639452	0	71.38385872106221	284.7060332616726	1.813609195647392	0	69.96214780559536	285.71098107918874
4	3.2519076083252747	0	72.79424881343891	357.9987106425369	0.4171218807674893	0	70.12506924862379	356.1977291764111	3.157884270039052	0	71.42287301960891	359.75085677940046	0.6506726944984769	0	70.68174385478467	358.8054903504846	-0.03360175373540528	0	70.86348889300322	354.39756190985486	2.7083384862213533	0	71.37880748119245	359.31477383611434	5.329565165927059	0	72.09710830236851	358.1536650421677	-2.3368134454514427	0	70.90465342232285	355.12041202329704	4.0913401754626175	0	71.42320334805889	357.5451791133993	2.07983911234261	0	72.71834142650201	357.90721641694836	0.2512094532423731	0	71.4130583460222	356.1190916076947	5.464246612128623	0	74.02055154617466	359.73153262536306
5	2.911960321681361	0	70.37799602564907	428.3767066681861	1.472609595578103	0	71.83467028918109	428.03239946559205	3.372913576549856	0	70.92062556357709	430.67148234297775	1.545012086645429	0	71.22079902725137	430.02628937773625	0.7065829210871811	0	72.67985036939974	427.07741227925436	4.146708632660903	0	72.35103822642489	431.66581206253926	5.1114190902165255	0	70.10003448728618	428.25369952945374	-1.9266144801534073	0	71.93050006282124	427.0509120861183	2.739962352848516	0	70.17824138830015	427.72342050169954	3.4424220245190353	0	71.65547430460482	429.56269072155305	0.12590117753083122	0	71.25591268351681	427.3750042912116	6.305485774745076	0	71.53866018959081	431.27019281495404
6	0.6638117991076996	0	70.22215516999721	498.5988618381834	2.3969833285027566	0	71.6814826304436	499.7138820960357	4.865489960567304	0	71.97136549998778	502.6428478429653	1.803581167700358	0	71.75765774835241	501.78394712608855	-1.784680134139532	0	68.92641220780402	496.0038244870585	2.962444273910067	0	70.63427671059021	502.3000887731295	5.0420894798138995	0	70.9046248222766	499.1583243517304	-1.7427603432078513	0	71.33639699202303	498.38730907814113	3.1690729848498216	0	72.25019345513324	499.9736139568327	3.031480490706236	0	70.52149627776878	500.08418699932184	2.7318627576924843	0	72.31119479038273	499.68619908159434	8.422498746487925	0	71.44897162358528	502.7191644385395
7	0.6833507639353207	0	71.80727327376069	570.406135111944	3.316509040629039	0	71.87776883618815	571.591650932224	5.2918906207762975	0	71.47846458453586	574.1213124275012	3.5614982109696403	0	72.25124995359722	574.0351970796859	-1.3349903821392695	0	71.37317235650038	567.3769968435591	4.301373865416277	0	71.8525495232208	574.1526382963503	5.319840264847247	0	71.44561521718386	570.603939568914	-1.840914422434753	0	70.78043805397573	569.167747132117	2.9130171276746784	0	71.23220193424567	571.2058158910781	4.3985389001826745	0	72.34248706633812	572.4266740656602	3.384720463468776	0	71.22824866282738	570.9144477444219	10.024315993025745	0	72.60098670736318	575.3201511459025
8	0.4905323499489043	0	70.52751330060019	640.933648412544	3.383740399686462	0	71.02258467924118	642.614235611465	5.884723316667298	0	72.45179001942341	646.5731024469246	5.872477811769577	0	72.57042690883326	646.6056239885193	-3.0678416147994994	0	69.76929371561056	637.1462905591694	3.622145884593422	0	70.86371893017116	645.0163572265212	6.201686048571004	0	71.81890389841486	642.422843467329	-0.6418826539126143	0	72.50881484655532	641.6765619786725	1.374826054801265	0	70.75088387172359	641.9566997628018	3.5145757611206703	0	70.35881657777401	642.785490643434	4.486999828829745	0	71.24994247198767	642.1643902164095	10.32857028646996	0	71.2969087092795	646.617059855182
9	-0.08626989637286556	0	72.01690534189373	712.9505537544377	3.150215937124452	0	70.43363083064281	713.0478664421081	6.6714230032123965	0	71.7817299444856	718.3548323914106	4.558301715493437	0	71.14981832408655	717.7554423126054	-0.807473920825887	0	72.71000054590301	709.8562911050725	5.385289949478197	0	72.96744071266431	717.9837979391855	8.924486820275972	0	72.62810086385866	715.0509443311878	-1.947140415004468	0	69.23401280625804	710.9105747849303	3.416428157530265	0	72.89430050858317	714.851000271385	2.7381280186581707	0	71.09081517440632	713.8763058178407	4.574624426166627	0	71.71697739433647	713.8813676107461	10.769111316667848	0	71.90587893890505	718.5229387940868
