task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	70.3743913732868	70.3743913732868	-1.1318296909663497	0.0	6.761423114924369	70.3743913732868
1	73.02826879003325	143.40266016332004	-0.1183495023862831	0.0	10.498058445274692	73.02826879003325
2	72.6050943686773	216.00775453199728	1.2081045794765797	0.0	14.433211314394192	72.6050943686773
3	72.11599196370274	288.1237464957001	1.2397728279856355	0.0	17.684868011513828	72.11599196370274
4	70.68174385478467	358.8054903504846	0.6506726944984769	0.0	19.69411265445022	70.68174385478467
5	71.22079902725137	430.02628937773625	1.545012086645429	0.0	20.56459422292686	71.22079902725137
6	71.75765774835241	501.78394712608855	1.803581167700358	0.0	23.319175273746524	71.75765774835241
7	72.25124995359722	574.0351970796859	3.5614982109696403	0.0	24.51844082954191	72.25124995359722
8	72.57042690883326	646.6056239885193	5.872477811769577	0.0	26.702900340476944	72.57042690883326
9	71.14981832408655	717.7554423126054	4.558301715493437	0.0	27.707843668212046	71.14981832408655
10	69.50741948468426	787.2628617972897	2.3102785757318394	0.0	28.76533645448825	69.50741948468426
11	70.15129074717449	857.4141525444643	1.283656795267284	0.0	28.719674231563857	70.15129074717449
12	71.01760919270649	928.4317617371713	0.45902317035253076	0.0	29.493813755817303	71.01760919270649
13	70.67860464309311	999.1103663802633	0.4049215427056799	0.0	30.491984827203648	70.67860464309311
14	69.84365607699603	1068.95402245726	-1.2371972628551078	0.0	30.48512712240265	69.84365607699603
15	70.6712887588071	1139.6253112160666	-1.2189640477971806	0.0	32.608066507029285	70.6712887588071
16	70.23767312483855	1209.8629843409053	-1.6928728521080847	0.0	34.29557652816872	70.23767312483855
17	71.74550607021413	1281.60849041112	-0.965486319899951	0.0	36.1336745517221	71.74550607021413
18	71.09703598273171	1352.7055263938514	-1.3508202237405407	0.0	36.70875682841718	71.09703598273171
19	72.32879100346767	1425.0343173973192	0.2116141423965314	0.0	38.540724743808546	72.32879100346767
20	71.18304792802047	1496.2173653253399	0.47195315057423387	0.0	38.5607107030744	71.18304792802047
21	71.72505361180062	1567.9424189371398	0.9406115206921504	0.0	39.509687285108285	71.72505361180062
22	71.02052869364559	1638.9629476307862	0.6715075280992528	0.0	40.00270999230368	71.02052869364559
23	73.05977997621122	1712.022727606997	2.963070497047456	0.0	40.885450996748425	73.05977997621122
24	70.13964349314777	1782.162371100145	3.48247122149073	0.0	40.85721747801167	70.13964349314777
25	70.30113681070178	1852.4635079108457	1.6049668018780494	0.0	41.10579166790936	70.30113681070178
26	72.70428976211555	1925.1677976729627	3.59010762652767	0.0	41.63227358962771	72.70428976211555
27	71.96865661527107	1997.1364542882338	4.607045837894191	0.0	42.604986671906	71.96865661527107
28	71.16245693861198	2068.2989112268465	3.667845535230583	0.0	42.947607119981335	71.16245693861198
29	71.71062605505335	2140.0095372818996	4.216436078919401	0.0	44.798979324074985	71.71062605505335
30	71.37027389897457	2211.3798111808737	4.8836928199506335	0.0	44.43298427613369	71.37027389897457
31	71.8354660887463	2283.2152772696195	4.940110248656351	0.0	44.39252524108732	71.8354660887463
32	72.03047998488525	2355.245757254505	7.224314107079213	0.0	46.40381894838529	72.03047998488525
33	71.57008986581631	2426.8158471203224	9.041571464838421	0.0	47.905038242468784	71.57008986581631
34	71.29721285953585	2498.1130599798566	9.189118794123278	0.0	49.25280183312973	71.29721285953585
35	72.15155001357658	2570.2646099934336	10.295749018397132	0.0	49.74286547330851	72.15155001357658
36	71.36949079255783	2641.634100785991	10.868887776030766	0.0	51.432680659828584	71.36949079255783
37	71.75232493022416	2713.386425716216	10.016656616811133	0.0	52.08139776406708	71.75232493022416
38	72.06777900428308	2785.4542047204986	10.773677909678248	0.0	52.205043116868026	72.06777900428308
39	71.97340703419971	2857.4276117546983	11.30013935657043	0.0	52.47752152615952	71.97340703419971
40	70.28597186835019	2927.71358362305	10.761962171080345	0.0	52.62784852556627	70.28597186835019
41	71.3521679524465	2999.065751575495	10.685824432052542	0.0	54.092793796671806	71.3521679524465
42	72.06006525632604	3071.125816831822	12.353509080234321	0.0	54.82605352120551	72.06006525632604
43	72.20331677580694	3143.329133607628	13.944585841732996	0.0	54.87425206739789	72.20331677580694
44	70.67453743889929	3214.003671046527	13.719278564129226	0.0	55.96120238916782	70.67453743889929
45	72.3763441334284	3286.380015179956	14.858881593453834	0.0	56.01755455996979	72.3763441334284
46	70.47478012601773	3356.854795305973	14.239771441038497	0.0	57.01798223393976	70.47478012601773
47	70.8191832991305	3427.6739786051016	14.069835422123838	0.0	56.98744844627765	70.8191832991305
48	69.68564111938517	3497.359619724489	12.384350934837025	0.0	57.191303738815506	69.68564111938517
49	71.08088380109356	3568.4405035255827	13.990107346659729	0.0	56.887817059701554	71.08088380109356
50	71.22496577310395	3639.6654692986867	13.86011077118343	0.0	56.59234558139922	71.22496577310395
51	71.92628441352663	3711.5917537122145	15.678123999677068	0.0	56.504206093094105	71.92628441352663
52	71.11412947481998	3782.7058831870336	15.876251913134743	0.0	57.88304681710904	71.11412947481998
53	71.43414398086327	3854.140027167896	16.415895666022124	0.0	58.23086979980037	71.43414398086327
54	71.67445325335233	3925.814480421248	17.108187642233315	0.0	59.90973954362122	71.67445325335233
55	71.11755720631561	3996.9320376275655	17.812226687431647	0.0	60.17531727617703	71.11755720631561
56	72.51800091049681	4069.45003853806	17.75907172120062	0.0	60.76964460890425	72.51800091049681
57	72.58446834816719	4142.034506886226	19.369763658820574	0.0	61.13588685912641	72.58446834816719
58	70.2044037993539	4212.238910685582	18.107889772200043	0.0	61.91904901501941	70.2044037993539
59	71.49964726301458	4283.738557948597	18.216592466790416	0.0	62.56949857770069	71.49964726301458
60	71.75884961837984	4355.497407566976	20.529611105634302	0.0	63.26293982395495	71.75884961837984
