task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	70.23590258920771	70.23590258920771	-0.7041092374073007	0.0	6.950840816549447	70.23590258920771
1	70.87301946977207	141.10892205897977	-1.0482020943755135	0.0	9.991200040601807	70.87301946977207
2	72.21325248163065	213.32217454061043	1.0287159545278102	0.0	12.981040090608541	72.21325248163065
3	71.38385872106221	284.7060332616726	0.7466022354639452	0.0	14.580651504038567	71.38385872106221
4	71.4130583460222	356.1190916076947	0.2512094532423731	0.0	16.079553211993943	71.4130583460222
5	71.25591268351681	427.3750042912116	0.12590117753083122	0.0	17.65981375556877	71.25591268351681
6	72.31119479038273	499.68619908159434	2.7318627576924843	0.0	19.284691409299835	72.31119479038273
7	71.22824866282738	570.9144477444219	3.384720463468776	0.0	21.59766833127828	71.22824866282738
8	71.24994247198767	642.1643902164095	4.486999828829745	0.0	21.71017555810868	71.24994247198767
9	71.71697739433647	713.8813676107461	4.574624426166627	0.0	23.478500249892928	71.71697739433647
10	70.96571216140713	784.8470797721533	4.399411246657494	0.0	24.406237989817132	70.96571216140713
11	71.71999207248459	856.5670718446374	5.3092463960658005	0.0	25.460889589912412	71.71999207248459
12	73.34956239886955	929.9166342435075	7.162766645554065	0.0	26.427280676765122	73.34956239886955
13	72.76455064647764	1002.6811848899846	9.708994238457768	0.0	28.686871880216614	72.76455064647764
14	71.07426492648734	1073.755449816472	9.8606907236378	0.0	28.363588842696476	71.07426492648734
15	70.50755264057265	1144.2630024570449	10.120234479260075	0.0	28.830680385604502	70.50755264057265
16	71.08625065015028	1215.3492531071954	10.174890162227596	0.0	29.975851923121912	71.08625065015028
17	70.83809954314205	1286.1873526503373	9.631640843363202	0.0	29.4453673610623	70.83809954314205
18	71.12893647123676	1357.3162891215734	9.289384116125959	0.0	30.13204655717193	71.12893647123676
19	72.14671926476238	1429.4630083863358	10.675648449576094	0.0	30.177680304545845	72.14671926476238
20	71.2927830279521	1500.7557914142876	11.112901369701026	0.0	30.837201898216062	71.2927830279521
21	70.8789926422878	1571.6347840565763	11.375686501634439	0.0	32.063397371255114	70.8789926422878
22	71.38713533058957	1643.021919387166	12.066256873471326	0.0	32.970389014022565	71.38713533058957
23	71.1072648233137	1714.1291842104783	13.360769137098544	0.0	33.91177174338162	71.1072648233137
24	72.26062680883834	1786.3898110193174	12.394215327545881	0.0	36.826963923573224	72.26062680883834
25	71.28030405938763	1857.670115078706	11.58530923348506	0.0	36.7562809686676	71.28030405938763
26	71.83864353543494	1929.5087586141403	12.107918557274827	0.0	37.957285808068505	71.83864353543494
27	72.5569191351296	2002.0656777492698	14.246396505143682	0.0	39.47671643485387	72.5569191351296
28	71.89504475075547	2073.9607225000263	13.655924429400944	0.0	39.797152219205145	71.89504475075547
29	71.6041437456513	2145.564866245676	15.511210478840747	0.0	39.63670328292575	71.6041437456513
30	71.24767789449457	2216.8125441401703	15.537861449234638	0.0	39.04725940414627	71.24767789449457
31	70.45769916063152	2287.2702433008035	13.765742687319904	0.0	38.006614545648915	70.45769916063152
32	71.2600189187193	2358.5302622195222	14.729120916911265	0.0	38.424209464868575	71.2600189187193
33	71.12439125592732	2429.6546534754502	15.587670865494179	0.0	38.55781440198497	71.12439125592732
34	71.13091626945985	2500.785569744909	14.711694089507164	0.0	39.657618080654544	71.13091626945985
35	71.86135977460759	2572.6469295195175	15.017393735719962	0.0	40.59119637284398	71.86135977460759
36	71.37234808059357	2644.01927760011	15.042604420204029	0.0	40.84703158295799	71.37234808059357
37	71.00920612246603	2715.028483722576	15.01539153907815	0.0	42.20930715932283	71.00920612246603
38	71.42421889546279	2786.4527026180385	16.48179961834124	0.0	43.137706491857834	71.42421889546279
39	71.55265058130568	2858.005353199345	17.35859265831199	0.0	43.84023211222661	71.55265058130568
40	72.30323776502543	2930.3085909643705	18.58215830878526	0.0	45.4404473186832	72.30323776502543
41	71.28319509296816	3001.5917860573372	20.638881506262827	0.0	47.92449755930871	71.28319509296816
42	70.64595612702009	3072.2377421843594	19.62447558356754	0.0	49.187749621277085	70.64595612702009
43	69.8778718328721	3142.11561401723	17.293328678181545	0.0	51.02079583697506	69.8778718328721
44	71.88716719504164	3214.002781212271	17.68329102187608	0.0	52.43783199364765	71.88716719504164
45	71.93009775204646	3285.93287896432	16.817982591260147	0.0	53.76090664489662	71.93009775204646
46	70.17272807734109	3356.1056070416603	16.91658115769578	0.0	54.20072091508821	70.17272807734109
47	72.39771844841248	3428.503325490071	18.148741525891854	0.0	54.89448738101313	72.39771844841248
48	70.72380810550366	3499.2271335955757	18.42860045775442	0.0	54.26312824843964	70.72380810550366
49	71.0427582068643	3570.2698918024385	18.60078793230965	0.0	54.18768681191742	71.0427582068643
50	70.66694524491464	3640.9368370473553	18.073307758455474	0.0	54.71964445025162	70.66694524491464
51	72.28386366588109	3713.2207007132383	18.447456748178865	0.0	55.202944023397535	72.28386366588109
52	71.78159439280263	3785.0022951060387	20.062646915105642	0.0	54.9538910912824	71.78159439280263
53	71.11019556085692	3856.112490666897	20.839973710488117	0.0	56.15293467740677	71.11019556085692
54	71.56483400937402	3927.6773246762705	20.95896298647103	0.0	57.51525610223802	71.56483400937402
55	71.1777248923358	3998.8550495686045	21.874262274297454	0.0	58.36902487630726	71.1777248923358
56	70.50445161096168	4069.3595011795683	21.331786840412704	0.0	59.2118525480236	70.50445161096168
57	70.632245944666	4139.991747124233	21.890940104692206	0.0	59.52003590590991	70.632245944666
58	71.31997751475443	4211.311724638987	22.09250945072433	0.0	60.01251109723615	71.31997751475443
59	71.3689722404532	4282.68069687944	22.513304863665226	0.0	61.15936220412085	71.3689722404532
60	71.90916718927988	4354.58986406872	23.32528944826231	0.0	63.46413839962492	71.90916718927988
