task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	47.901729451315894	47.901729451315894	1.5452825907138918	0.0	12.006220171800773	47.901729451315894
1	72.31357819373328	120.21530764504917	23.90002357706593	0.0	14.078553188271568	72.31357819373328
2	50.29598133989968	170.5112889849489	23.794417304692853	0.0	21.901127031039724	50.29598133989968
3	50.50824269289885	221.01953167784757	26.73049863088618	0.0	28.273798017572133	50.50824269289885
4	51.97037311527191	272.9899047931197	27.881172865887883	0.0	32.65189991193625	51.97037311527191
5	50.285720139243466	323.27562493236314	29.142709651477727	0.0	35.99231993402089	50.285720139243466
6	48.882430742337576	372.15805567470073	30.35368029225142	0.0	40.997174002133974	48.882430742337576
7	49.8543235125555	422.01237918725633	32.973606354163365	0.0	43.452159862007186	49.8543235125555
8	51.05268940557525	473.06506859283144	32.4053947989627	0.0	47.89490228463705	51.05268940557525
9	51.772432744751214	524.8375013375826	36.26504244394211	0.0	50.055433376786546	51.772432744751214
10	50.11712904182429	574.954630379407	38.77484188049881	0.0	50.97603550992941	50.11712904182429
11	49.27494490792664	624.2295752873335	38.029894928515425	0.0	54.88640974699351	49.27494490792664
12	49.60361025379669	673.8331855411302	39.1120465848623	0.0	56.68560489037784	49.60361025379669
13	52.47100219576814	726.3041877368981	44.60144688341799	0.0	59.15944406008998	52.47100219576814
14	50.05176290730248	776.3559506442012	46.30334131031246	0.0	61.48575770488984	50.05176290730248
15	49.87124553394994	826.2271961781507	48.538483677736146	0.0	64.20620749346403	49.87124553394994
16	48.51772361172834	874.7449197898791	50.15718091918389	0.0	66.13799578617808	48.51772361172834
17	48.741097701974375	923.4860174918535	50.34557742787208	0.0	67.31104837643322	48.741097701974375
18	48.77444277362824	972.2604602654814	51.04392999728084	0.0	66.53199871544996	48.77444277362824
19	50.33872959876763	1022.5991898642491	55.09529526591878	0.0	68.09885917224497	50.33872959876763
20	48.51122940830931	1071.1104192725588	56.512830546161524	0.0	68.8260528635077	48.51122940830931
21	51.75485166973157	1122.8652709422904	58.44366244149282	0.0	70.40773778769466	51.75485166973157
22	51.25792181015098	1174.1231927524416	60.81749811306428	0.0	70.06692493189115	51.25792181015098
23	49.437062624604486	1223.5602553770457	62.065551707730755	0.0	73.20282159944513	49.437062624604486
24	51.2672742978726	1274.8275296749189	62.408021741536025	0.0	74.08187636516043	51.2672742978726
25	52.16113944759592	1326.9886691225145	63.14942773409342	0.0	75.85252924031279	52.16113944759592
26	50.1688668840868	1377.157536006601	64.6804304877972	0.0	76.9682133651125	50.1688668840868
27	50.42700006227209	1427.584536068873	66.70332166027907	0.0	78.12908951347114	50.42700006227209
28	50.029711509783944	1477.6142475786576	68.00916100164608	0.0	79.5066922218877	50.029711509783944
29	50.83145810550449	1528.445705684161	71.32869617046516	0.0	81.54150118866049	50.83145810550449
30	49.991824712252935	1578.437530396415	71.93546403133637	0.0	82.71507974799206	49.991824712252935
31	50.8202695189197	1629.257799915334	75.1865678454754	0.0	82.14992664420502	50.8202695189197
32	47.96987912101923	1677.2276790363526	75.12303105488284	0.0	84.34646332120958	47.96987912101923
33	48.315648762197625	1725.5433277985512	72.13425172291929	0.0	82.75325452426355	48.315648762197625
34	48.80473241274915	1774.3480602113004	73.67960280971482	0.0	83.83774343163759	48.80473241274915
35	48.711242864151785	1823.0593030754524	71.2476164631702	0.0	86.75201305248878	48.711242864151785
36	48.62622221210095	1871.6855252875532	71.64283931283026	0.0	86.7789264574594	48.62622221210095
37	49.626868989202364	1921.3123942767547	72.46275175324848	0.0	87.89027429358657	49.626868989202364
38	51.14947229383071	1972.4618665705864	77.18884844005993	0.0	90.00277410766209	51.14947229383071
39	49.018595682691	2021.480462253277	78.904277874565	0.0	92.22350242641633	49.018595682691
40	49.959569381164016	2071.4400316344404	81.16875751788679	0.0	93.52945251016325	49.959569381164016
41	49.75234293133583	2121.1923745657764	83.83806369943945	0.0	93.39116400253847	49.75234293133583
42	51.07700959756049	2172.2693841633377	84.01606105160059	0.0	93.86697300134112	51.07700959756049
43	50.17890841739243	2222.448292580729	84.07885261464092	0.0	96.12644691791284	50.17890841739243
44	50.67865060891194	2273.1269431896417	86.35904935505681	0.0	97.67777720984844	50.67865060891194
45	48.777495154075496	2321.9044383437176	87.43026832252116	0.0	97.64025324736784	48.777495154075496
46	50.78925632821038	2372.6936946719275	90.104572035239	0.0	98.15426333191681	50.78925632821038
47	51.340574771286875	2424.0342694432156	92.6150843162768	0.0	98.00077908387377	51.340574771286875
48	53.039227649280285	2477.073497092495	97.11742137551482	0.0	96.57318024274768	53.039227649280285
49	48.87784529706459	2525.9513423895596	97.30779137138052	0.0	98.41647827627227	48.87784529706459
50	49.72380484920502	2575.6751472387646	99.6244939165003	0.0	97.45027301710849	49.72380484920502
51	49.38064766294938	2625.0557949017134	101.92017010197144	0.0	96.67509492231011	49.38064766294938
52	50.819810294341345	2675.8756051960545	103.3544953719397	0.0	99.97496323872745	50.819810294341345
53	52.02677857243059	2727.902383768486	107.0254551519463	0.0	99.02369828920787	52.02677857243059
54	50.72651227362245	2778.6288960421084	109.90671170389083	0.0	100.37255300503908	50.72651227362245
55	49.810527162542776	2828.4394232046525	110.50433059167281	0.0	100.609740538975	49.810527162542776
56	49.9663031792125	2878.4057263838636	111.74425722043514	0.0	100.33615512516882	49.9663031792125
57	51.35905811627245	2929.7647845001343	113.53046114462173	0.0	100.7149537280429	51.35905811627245
58	50.47381627418982	2980.2386007743276	114.51044409485544	0.0	104.13010192484845	50.47381627418982
59	49.176932716652075	3029.4155334909783	114.89939447413308	0.0	105.4198192821081	49.176932716652075
60	48.55487368470443	3077.970407175682	115.15099839628627	0.0	106.37540698366682	48.55487368470443
61	49.76459701808932	3127.7350041937707	113.2086950824943	0.0	107.55642273066617	49.76459701808932
62	49.67278417618105	3177.407788369954	113.80661297914293	0.0	106.19554149270003	49.67278417618105
63	51.23988279966275	3228.647671169614	116.15074915223762	0.0	106.46501174303806	51.23988279966275
64	49.50195590758952	3278.1496270772054	114.50635073942955	0.0	106.76720821353017	49.50195590758952
65	52.345673069312305	3330.495300146517	118.42431625078702	0.0	108.82370663560818	52.345673069312305
66	52.11530513849587	3382.6106052850146	122.00606445850417	0.0	108.93120799817652	52.11530513849587
67	49.877410536760216	3432.4880158217734	123.38908058286826	0.0	109.75059157767089	49.877410536760216
68	50.068023735968744	3482.556039557742	125.28587210062017	0.0	110.25945249097205	50.068023735968744
69	50.59867146743184	3533.154711025175	124.73933778549456	0.0	110.63469618745941	50.59867146743184
70	50.37995851640969	3583.534669541583	125.04208913528228	0.0	112.34286662691406	50.37995851640969
71	52.68875692419016	3636.223426465773	128.36994578035447	0.0	113.26711109839317	52.68875692419016
72	49.8615464919689	3686.084972957742	130.04355995073388	0.0	114.6467337772424	49.8615464919689
73	50.316112365580885	3736.4010853233253	131.89779583898246	0.0	113.29965647183643	50.316112365580885
74	51.17822974909243	3787.5793150724166	136.64748436064102	0.0	116.47308527931989	51.17822974909243
75	48.923361574514736	3836.5026766469296	136.36001787119835	0.0	120.01916422095358	48.923361574514736
76	51.302667664156424	3887.805344311086	141.09814322671144	0.0	121.62147900420656	51.302667664156424
77	51.253943972566184	3939.0592882836527	146.51776682647375	0.0	120.8635999001699	51.253943972566184
78	51.44385572507861	3990.5031440087337	151.64965847737736	0.0	124.03856322196262	51.44385572507861
79	47.356731034365765	4037.859875043099	151.82267662793095	0.0	125.81772022267548	47.356731034365765
80	51.88211640709665	4089.7419914501916	154.97014732572106	0.0	128.51611660057458	51.88211640709665
81	50.97798805546017	4140.719979505655	157.54513284320856	0.0	131.58197794438763	50.97798805546017
82	50.73627914722506	4191.456258652878	159.86431450500027	0.0	132.42372925538695	50.73627914722506
83	48.81320754044346	4240.269466193322	160.25052182996342	0.0	132.74932684980803	48.81320754044346
84	47.96760627541233	4288.237072468736	160.3520028863889	0.0	134.64717727552465	47.96760627541233
85	50.52298331984197	4338.760055788578	160.6363352228132	0.0	133.55630519793667	50.52298331984197
86	51.28134375024491	4390.0413995388235	163.23497170552722	0.0	135.67181157101538	51.28134375024491
87	50.152353352706896	4440.1937528915305	164.98158564181009	0.0	134.93383916094604	50.152353352706896
88	49.883632467062874	4490.077385358592	166.6479531053291	0.0	133.3160918947466	49.883632467062874
89	49.221630388759365	4539.2990157473505	166.53828893894604	0.0	134.49008192823788	49.221630388759365
90	49.830073479559516	4589.1290892269135	165.8014041822015	0.0	133.29995858291218	49.830073479559516
91	47.60259896232634	4636.731688189237	165.2704236841859	0.0	132.81734272681607	47.60259896232634
92	50.677407591723075	4687.40909578096	168.60664985869482	0.0	135.07714849601413	50.677407591723075
93	48.2459285365674	4735.65502431753	168.6824931910423	0.0	134.37256233382132	48.2459285365674
94	52.952015253857596	4788.607039571385	174.9495119571641	0.0	134.53871107563975	52.952015253857596
95	48.90886154854932	4837.515901119936	174.17506723588755	0.0	135.34277658505812	48.90886154854932
96	50.60617403719042	4888.122075157126	174.3335741717535	0.0	134.20373839410595	50.60617403719042
97	50.30656571081639	4938.428640867942	176.8882919204997	0.0	134.79987216817864	50.30656571081639
98	48.944397388005825	4987.373038255946	179.68996434715572	0.0	134.34382912343332	48.944397388005825
99	49.861253071088214	5037.234291327037	180.36469772169542	0.0	135.4478170149539	49.861253071088214
