task	reward	total_reward	total_regret	relative	total_reward_dev
0	47.77081413740035	47.77081413740035	-2.0358380236080644	0.0	11.906446227388876
1	50.07839973298088	97.84921387038115	-1.0007423302718923	0.0	19.998100283052395
2	52.89192265112731	150.74113652150848	1.932129360334232	0.0	24.190125603988047
3	48.0434635271621	198.78460004867043	2.10608384075085	0.0	26.29507758780283
4	49.02760109329973	247.81220114197032	1.550690431525605	0.0	31.36362761840045
5	50.03783878343254	297.85003992540277	4.548759986076686	0.0	34.00584661338358
6	49.2580491312798	347.10808905668256	5.269861551712088	0.0	34.335281724284904
7	47.74020755351545	394.8482966101981	3.725990661106926	0.0	36.06750147558223
8	49.423171429588656	444.2714680397868	4.988767402745435	0.0	38.48449201805082
9	50.04107615496708	494.31254419475385	10.645425649553657	0.0	39.4496593814619
10	51.165815058285524	545.4783592530395	12.376456881841973	0.0	40.24421069406637
11	47.990212465795175	593.4685717188345	12.587597306556226	0.0	41.53395362587933
12	50.1075620830644	643.5761338018988	13.191102807203535	0.0	44.68592504875224
13	46.26436860873545	689.8405024106344	12.447950154658718	0.0	48.08300533656401
14	47.255218420623834	737.0957208312584	10.913031242399189	0.0	49.28579805422104
15	50.8143078155137	787.9100286467715	10.893740930860403	0.0	50.220199532568955
16	48.05631689102378	835.9663455377955	10.945207184130537	0.0	52.33144739574804
17	48.171657062478836	884.1380026002744	9.696602646584774	0.0	54.98863140447826
18	49.20217640759785	933.3401790078722	10.050699284199755	0.0	57.68299906067735
19	50.29097066250628	983.6311496703785	13.286285495681096	0.0	58.895948526155976
20	48.11396565602121	1031.7451153263996	13.884054062001653	0.0	61.0088985776108
21	48.97573807883914	1080.7208534052393	15.557870666722627	0.0	61.75545592748641
22	47.33511611290053	1128.0559695181391	14.375063017291168	0.0	61.58500420013925
23	46.98712131856315	1175.043090836703	14.258398827113437	0.0	64.08388298048868
24	51.723757400060116	1226.766848236763	16.973276641979222	0.0	65.00060323854954
25	48.01320860558303	1274.7800568423459	16.498669750668856	0.0	65.68781176124413
26	48.33037830236493	1323.1104351447104	17.59149612621319	0.0	67.53853437919214
27	49.36880038818379	1372.479235532894	19.65518139867648	0.0	71.67529042692756
28	46.5772667391792	1419.0565022720739	17.796580873968207	0.0	71.49632544584315
29	50.20632145565346	1469.262823727727	20.692087209492257	0.0	72.5957287226182
30	47.08931613690003	1516.3521398646265	19.990348291467683	0.0	72.36918726975173
31	50.14432073913131	1566.496460603758	23.615792880129693	0.0	72.43302783052691
32	50.54774537513712	1617.0442059788957	25.211623321590668	0.0	77.13865456857656
33	50.19329428003729	1667.2375002589326	26.28444212739686	0.0	77.13249750835031
34	49.23945797452084	1716.4769582334536	25.03345163833608	0.0	76.29673799844437
35	49.51370341155215	1765.990661645006	25.53963491134503	0.0	77.0001515278051
36	48.111937914919	1814.1025995599243	25.394175371494562	0.0	77.71966798325705
37	49.19603195749485	1863.2986315174203	26.30955725985914	0.0	78.3705517830555
38	48.84693816899007	1912.145569686411	25.520310643293225	0.0	78.83867373012788
39	49.194598395156945	1961.340168081567	25.997646587959153	0.0	76.90779544081516
40	47.023082767847654	2008.363250849414	24.249208310984056	0.0	78.67467640279075
41	47.5694280554714	2055.932678904885	22.695957779998864	0.0	78.41769755361598
42	48.545974918429245	2104.4786538233147	23.715938115977924	0.0	79.70355301837651
43	48.72749594588761	2153.206149769202	22.61533635966427	0.0	81.0475191526173
44	49.38795542780479	2202.5941051970076	24.138900207560738	0.0	82.78667228354938
45	50.471452080043036	2253.0655572770515	27.550344846985855	0.0	83.1026679987752
46	49.914292055698915	2302.9798493327494	30.453672929329272	0.0	82.86890110382433
47	47.48586547069626	2350.4657148034453	29.201076333406164	0.0	84.57490898463745
48	49.336162322089706	2399.8018771255356	28.900852894750333	0.0	85.10418807383041
49	49.79419602813132	2449.596073153667	29.348267646926057	0.0	86.06588294755578
50	46.168821115687514	2495.764894269355	25.234078972274943	0.0	87.21906420346367
51	49.643425676705235	2545.4083199460592	26.768336757143526	0.0	90.11331215851327
52	52.497171015566074	2597.905490961625	31.89602573780984	0.0	92.1829147591797
53	48.44053942146985	2646.3460303830957	33.53308393109963	0.0	92.89796268122231
54	47.96494909592908	2694.310979479024	33.28205777050491	0.0	93.90709205696687
55	47.95206614804115	2742.2630456270654	31.894905582222318	0.0	95.36822272299433
56	49.73508517086101	2791.998130797927	31.498506939972234	0.0	96.30836967030493
57	49.49482662697175	2841.492957424899	31.736925476614445	0.0	97.21615190283421
58	50.246779241613396	2891.739736666512	32.83015485803473	0.0	98.12900297771338
59	49.20866005822872	2940.94839672474	32.26677778680329	0.0	98.01164605066103
60	49.628000546617876	2990.5763972713585	31.759933462393423	0.0	98.5147518347528
61	48.61881190651556	3039.1952091778744	31.19284866630668	0.0	99.94762965940053
62	48.33692173351086	3087.5321309113856	30.875801727990552	0.0	101.63657638802519
63	47.064725655570484	3134.5968565669555	26.99167913495372	0.0	103.21601016321654
64	49.63206709459983	3184.228923661554	26.66964182271694	0.0	104.01877178789636
65	47.5136347071592	3231.742558368717	24.72227788525506	0.0	104.49280111789413
66	48.39246933419676	3280.1350277029105	22.438251358784346	0.0	107.92346494263654
67	48.83512318720444	3328.9701508901157	23.382934287751908	0.0	109.44634590009358
68	49.957399806006414	3378.9275506961217	25.240048078633684	0.0	109.44957054414822
69	51.25412745107909	3430.181678147201	28.359835757101212	0.0	107.03796943872798
70	46.56073991956284	3476.742418066764	25.82215452031715	0.0	107.2068534339795
71	47.077217402932256	3523.8196354696956	23.925815547463145	0.0	108.00167480365361
72	50.008763615951864	3573.828399085648	23.93036642021978	0.0	107.75963131859555
73	48.89370205327913	3622.722101138927	24.90777452767471	0.0	107.89515724192245
74	47.7299937691275	3670.452094908055	24.393168140147104	0.0	109.1745509469574
75	49.87545645457285	3720.327551362627	24.530866629914282	0.0	108.80442286690108
76	47.541941419768875	3767.8694927823976	23.992854491384975	0.0	110.69761876981202
77	46.44729457661693	3814.3167873590132	23.585495633375345	0.0	112.02559589734733
78	47.51904631770677	3861.835833676719	22.16571400867624	0.0	111.97055090344655
79	50.92758057140843	3912.7634142481284	24.4972702038775	0.0	114.38844477839639
80	47.07383997903703	3959.8372542271654	23.077364258251606	0.0	115.77867340532386
81	46.81226981033299	4006.649524037499	20.078024671550537	0.0	116.45807597300563
82	48.15952914939301	4054.8090531868934	19.299574775920227	0.0	116.97213237760856
83	51.63836414422212	4106.447417331115	23.911872093185643	0.0	117.57431389917672
84	49.00636763868955	4155.453784969804	23.85128269729898	0.0	119.9903035775031
85	47.257512045910495	4202.711297015713	23.69338665394489	0.0	120.30242627613566
86	48.24489772188369	4250.956194737597	19.76911175818383	0.0	121.38270225777542
87	50.04348965260789	4300.999684390207	20.90311895845515	0.0	121.43699205788168
88	46.58175092874178	4347.581435318947	18.225516035080968	0.0	122.93766270153503
89	48.33836986472527	4395.919805183674	17.543308860894996	0.0	124.18236939591213
90	49.3311932690319	4445.250998452702	19.383589959277753	0.0	126.22349139160332
91	48.521482453073894	4493.772480905779	20.39409676697668	0.0	126.24885741897589
92	48.6390397739741	4542.411520679752	20.2933719858543	0.0	126.9691796003789
93	46.3054209823661	4588.716941662117	16.835535516473545	0.0	126.9866502878782
94	47.61351004449457	4636.330451706614	14.25221592618057	0.0	126.57376313937299
95	48.27734879789641	4684.607800504509	13.082055617675142	0.0	127.63003961900543
96	49.67554276217444	4734.283343266684	14.766898913060786	0.0	129.29735297304526
97	50.52469563901791	4784.8080389057	19.310437639211067	0.0	127.91030851080457
98	51.11027668067245	4835.918315586373	20.204838959092513	0.0	128.42411663559017
99	48.138038548623655	4884.0563541349975	17.46701563336247	0.0	130.31117434521587
100	50.329595261749944	4934.385949396746	18.224949835420574	48.86615135259349	129.95346104767245
101	47.14399792209815	4981.529947318846	14.494853715250029	48.83680733448465	129.18846281359762
102	48.46929857520366	5029.99924589405	13.532506090413081	48.79258109372541	130.2459222312753
103	47.2549529443943	5077.254198838445	11.721317332146	48.78469598789774	132.02529143075753
104	50.23158352722515	5127.485782365666	14.313390328531149	48.796735812236975	132.25606364147396
105	50.60874520900642	5178.094527574674	16.545717413865805	48.80244487649272	131.55407922405132
106	48.47328096053561	5226.567808535209	15.526552036364947	48.794597194785304	131.27398506221934
107	47.65256315924692	5274.2203716944605	14.506144019109243	48.793720750842574	130.96185233850548
108	49.05485126787328	5323.275222962331	15.867993138958	48.79003754922545	131.74616880139527
109	48.2367001034559	5371.511923065787	13.872832227082773	48.77199378871033	132.5315042064115
110	49.29510270051576	5420.807025766304	13.277491863189189	48.75328666513265	132.61654932047168
111	51.92103629203248	5472.728062058338	15.510025136229533	48.79259490339499	131.8571386901054
112	50.85948326816436	5523.587545326498	18.19558677222707	48.80011411524599	131.15846192194468
113	47.74534762696612	5571.332892953468	16.327986396970555	48.814923905428294	132.06194016090268
114	50.38897356411881	5621.721866517584	18.618042896084162	48.84626145686326	130.77088079755507
115	48.090245315134815	5669.812111832716	17.694006615037996	48.81902083185948	132.7638282771833
116	48.24416897834772	5718.056280811068	16.948957923625784	48.82089935273271	134.188127141685
117	47.58819886733616	5765.644479678403	16.083862747428828	48.815064770781284	133.33313576818912
118	48.15797734412711	5813.80245702253	13.12491247772521	48.80462278014657	134.14885132340618
119	48.95426140573882	5862.75671842827	11.902692363992783	48.791255687578904	134.36947603815017
120	49.08896690609699	5911.845685334365	14.032537016630648	48.80100570007967	133.6927486817716
121	47.34166362749833	5959.187348961864	14.60731612134333	48.78466495556627	135.8454126825441
122	47.66785323217525	6006.85520219404	16.002763347383436	48.787992326758996	134.99679327467982
123	47.94009771004938	6054.795299904089	14.570246147430488	48.79752209067384	135.63073567988982
124	48.723642245456446	6103.518942149547	14.428626858274992	48.76752093912784	136.96896567969605
125	48.04424814774122	6151.563190297287	13.092364967527583	48.7678313345494	136.96868301810414
126	47.69966997962833	6199.2628602769155	12.064175890533633	48.761524251322044	135.98626147312007
127	52.290648956470974	6251.553509233388	15.492708218324106	48.79074273700491	135.24034434228804
128	48.82668517255294	6300.3801944059405	15.278100145780263	48.81323692133866	134.6385234475132
129	47.74165435469761	6348.121848760636	11.790020819831835	48.78859025032911	134.19403411527875
130	45.7256900013892	6393.847538762024	5.910512577819527	48.77495398897399	136.35721085220254
131	47.69222254671393	6441.539761308739	5.260817529218502	48.75043300704981	136.81723999948832
132	48.450156628052994	6489.98991793679	3.019911560830851	48.72945711957897	138.424615939983
133	46.905198032266135	6536.895115969057	0.7339211104029891	48.69657615710129	138.2651387809256
134	47.625028794006724	6584.520144763064	0.32227291467503166	48.68043186529611	138.2535221596016
135	47.11916112398168	6631.639305887049	0.4239789293796275	48.65648644242043	138.53982392420642
136	51.34462043943521	6682.9839263264785	2.827697958911804	48.68881326766557	141.95104098418676
137	48.06849018964326	6731.052416516127	3.1053922951281585	48.67753784998705	141.4924372121815
138	48.30842791968008	6779.360844435808	3.946057174688058	48.672152747493946	143.7170491718494
139	47.569227495023505	6826.9300719308285	2.7754905636795595	48.65589903849263	143.5204757436616
140	47.402965867012206	6874.333037797844	1.9293590246624626	48.65969786948427	146.2304955226348
141	49.362435120002985	6923.695472917844	4.033977417543711	48.67762794012959	147.30092188022164
142	47.21403064989489	6970.909503567738	3.235480833005795	48.66430849744424	148.48103210733555
143	48.622711530889006	7019.53221509863	2.3404100893934627	48.66326065329426	149.4988413884154
144	49.490435392391156	7069.022650491015	3.620363868563554	48.66428545294012	151.13437867344584
145	48.11289299310346	7117.135543484122	2.9822420192955996	48.640699862070704	151.56699148078596
146	50.75520131941705	7167.890744803543	5.861737035778142	48.64910895470792	152.4251952046106
147	47.15766750476974	7215.048412308309	3.9418919014635687	48.64582697504862	151.51695069197
148	49.1479254643521	7264.196337772665	4.906210992686847	48.64394460647126	154.3058427659393
149	50.21010139920881	7314.406439171874	4.386665084516016	48.648103660182045	157.03855207027442
