task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
0	-2.0358380236080644	0	47.77081413740035	47.77081413740035	-2.7654688805306558	0	46.26088185752663	46.26088185752663	-1.5712366570646399	0	48.02509985283636	48.02509985283636	24.387971854844718	0	72.17941337780152	72.17941337780152	-2.020891236699128	0	48.18466288126313	48.18466288126313	1.5452825907138918	0	47.901729451315894	47.901729451315894	1.0310524204659972	0	50.09300033801375	50.09300033801375	1.204383120497151	0	48.533711557897206	48.533711557897206	-0.6355221519842662	0	49.40632046332903	49.40632046332903	1.559519679968441	0	49.955856449260224	49.955856449260224	-3.379971296212373	0	47.002128857886426	47.002128857886426	23.05410221741306	0	71.02688208594584	71.02688208594584
1	-1.0007423302718923	0	50.07839973298088	97.84921387038115	-1.402766017739819	0	49.6969991264184	95.95788098394496	-4.509191286822852	0	46.99680411520851	95.02190396804487	45.871071712101774	0	71.5294032007829	143.7088165785844	23.592885956797282	0	71.33012706407179	119.51478994533493	23.90002357706593	0	72.31357819373328	120.21530764504917	22.42231095317969	0	72.1191027808622	122.21210311887599	25.22172678093257	0	72.0036454808525	120.5373570387497	23.434206557680824	0	72.09879177516258	121.50511223849158	21.970564437354597	0	70.98526219209752	120.94111864135775	19.947159283844197	0	71.28407756985217	118.28620642773863	47.74754487944586	0	71.67303139462737	142.69991348057326
2	1.932129360334232	0	52.89192265112731	150.74113652150848	22.641134049497122	0	71.66312387772624	167.62100486167125	-3.861655733753911	0	49.485371630669185	144.50727559871407	65.28868707105397	0	70.08627067393336	213.79508725251762	24.33146689247419	0	50.87967039882668	170.39446034416164	23.794417304692853	0	50.29598133989968	170.5112889849489	35.1905487657418	0	61.295619337936344	183.5077224568123	35.456489631613856	0	59.89952214550875	180.43687918425846	36.344241547868634	0	62.69804509906781	184.20315733755942	32.423699581281	0	60.056557082537935	180.99767572389558	21.96915523503999	0	51.06587327741958	169.35207970515813	69.15212191027095	0	70.19541079805136	212.89532427862466
3	2.10608384075085	0	48.0434635271621	198.78460004867043	45.47237769533234	0	71.7683229677481	239.38932782941936	-3.754511105776965	0	48.572300916654555	193.07957651536856	87.7193691835235	0	71.92117923908586	285.7162664916036	21.17702868310836	0	48.73102988832863	219.12549023249034	26.73049863088618	0	50.50824269289885	221.01953167784757	48.1451031747885	0	58.631465524118624	242.13918798093087	46.9718029815386	0	60.6694407979655	241.1063199822239	40.562542620488536	0	55.37682736134135	239.5799846989009	38.04019181150867	0	55.17001190722055	236.16768763111614	45.033682715614596	0	71.75895211370543	241.11103181886367	91.46119689021812	0	70.68412630983495	283.5794505884595
4	1.550690431525605	0	49.02760109329973	247.81220114197032	45.402412450184514	0	50.37321009119591	289.76253792061533	-4.419510742961467	0	48.815026117178306	241.89460263254688	112.15827095899998	0	71.06952480209314	356.7857912936968	21.13788761105586	0	49.48192778361071	268.60741801610095	27.881172865887883	0	51.97037311527191	272.9899047931197	57.087770851511394	0	58.0867694444346	300.22595742536555	60.23335741045099	0	59.69434261849827	300.80066260072215	47.746754977135936	0	56.33535688854965	295.9153415874505	43.34602830298532	0	53.16366912981821	289.33135676093445	46.89832952797136	0	49.91083050984775	291.02186232871134	113.66259204207492	0	71.11355037807395	354.69300096653353
5	4.548759986076686	0	50.03783878343254	297.85003992540277	45.5933586738243	0	49.66242153679783	339.4249594574132	-4.193601819071917	0	50.29282171864648	292.1874243511932	136.49858802289077	0	71.29312152519992	428.07891281889664	22.156234036614823	0	50.30015991946542	318.90757793556634	29.142709651477727	0	50.285720139243466	323.27562493236314	68.39242012633139	0	60.83740262664365	361.0633600520092	70.94145744683543	0	60.29358143143254	361.0942440321549	53.56759504467839	0	55.79406182106492	351.70940340851513	48.04306934733868	0	53.19132704396511	342.52268380489966	69.35318025368967	0	72.18801659626394	363.20987892497527	136.88452948596543	0	72.3041245019427	426.9971254684762
6	5.269861551712088	0	49.2580491312798	347.10808905668256	46.15743595460647	0	48.53516560242582	387.96012505983884	-2.8019322536968985	0	48.64566808068564	340.8330924318789	158.38528033980754	0	73.68855943778965	501.76747225668646	21.011203588894222	0	48.400987926849794	367.30856586241606	30.35368029225142	0	48.882430742337576	372.15805567470073	77.69090495794688	0	61.020744761767816	422.08410481377695	81.19220490135079	0	58.60677467494696	419.70101870710175	61.2240519552665	0	54.63783295175984	406.34723636027525	48.57620064324501	0	50.77693767192208	393.2996214768216	68.27187329135015	0	48.49906619047094	411.70894511544617	156.35352012143724	0	70.11719447076321	497.1143199392391
7	3.725990661106926	0	47.74020755351545	394.8482966101981	48.852555717755365	0	50.57056042150761	438.53068548134644	-3.1748891401253716	0	48.536034955705425	389.36912738758446	182.65154198772368	0	72.21213025017373	573.9796025068604	25.07131577520594	0	49.966141831885835	417.27470769430215	32.973606354163365	0	49.8543235125555	422.01237918725633	87.35190949282861	0	58.84579123618583	480.92989604996285	88.07961172534898	0	56.337528440101586	476.03854714720296	67.9772981282486	0	53.149550146938836	459.496786507214	53.27068887206937	0	52.68756438857294	445.9871858653948	85.63720345328895	0	66.38795178222148	478.0968968976677	178.80098918878917	0	72.17591341750175	569.2902333567414
8	4.988767402745435	0	49.423171429588656	444.2714680397868	50.84318143795299	0	50.96494777595685	489.49563325730355	-2.8413649531291854	0	49.09612081968001	438.4652482072644	204.97117134444295	0	71.98283107378937	645.9624335806496	27.361051879068526	0	49.41265130394047	466.6873589982424	32.4053947989627	0	51.05268940557525	473.06506859283144	97.22836176746726	0	58.5943511041795	539.5242471541425	96.04593457140756	0	55.813076232351925	531.8516233795552	67.484343991273	0	49.415086917783	508.9118734249971	54.619006991824136	0	50.992979921356955	496.9801657867517	89.894106962196	0	54.677597097824325	532.7744939954921	202.98592253066587	0	69.9310911182943	639.2213244750353
9	10.645425649553657	0	50.04107615496708	494.31254419475385	52.054674465038595	0	49.108729946242654	538.6043632035462	-4.228688465995727	0	49.76281613603025	488.2280643432946	227.37226741450104	0	69.90420147008832	715.8666350507375	31.277667447020086	0	51.64298580180242	518.3303448000449	36.26504244394211	0	51.772432744751214	524.8375013375826	108.2195431474226	0	57.2921751703082	596.8164223244505	103.79180063409339	0	58.331725400565	590.1833487801205	69.68295598942248	0	51.258705287541595	560.1705787125387	55.23725682863276	0	48.32986854179394	545.310034328545	99.93155641364508	0	57.19384401897305	589.968338014465	226.9386915651107	0	72.80283536253853	712.0241598375735
