task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	47.002128857886426	47.002128857886426	-3.379971296212373	0.0	12.569642321511441	47.002128857886426
1	71.28407756985217	118.28620642773863	19.947159283844197	0.0	15.099230758986678	71.28407756985217
2	51.06587327741958	169.35207970515813	21.96915523503999	0.0	20.098908229044497	51.06587327741958
3	71.75895211370543	241.11103181886367	45.033682715614596	0.0	21.079971852365333	71.75895211370543
4	49.91083050984775	291.02186232871134	46.89832952797136	0.0	27.580513941218562	49.91083050984775
5	72.18801659626394	363.20987892497527	69.35318025368967	0.0	27.04063405929927	72.18801659626394
6	48.49906619047094	411.70894511544617	68.27187329135015	0.0	33.523056190325086	48.49906619047094
7	66.38795178222148	478.0968968976677	85.63720345328895	0.0	37.466765113941456	66.38795178222148
8	54.677597097824325	532.7744939954921	89.894106962196	0.0	37.00055186430094	54.677597097824325
9	57.19384401897305	589.968338014465	99.93155641364508	0.0	46.343107818763265	57.19384401897305
10	60.62162563083711	650.589963645302	111.13203630887601	0.0	40.48976918943323	60.62162563083711
11	53.37874889352443	703.9687125388267	116.84639118192143	0.0	47.5904761003986	53.37874889352443
12	65.78147456381775	769.7501871026444	133.48280861796576	0.0	47.633668996792096	65.78147456381775
13	52.289644595884255	822.0398316985282	135.41772480787063	0.0	49.93111376044807	52.289644595884255
14	61.43340448126965	883.4732361797985	149.03328536677748	0.0	54.647488550364365	61.43340448126965
15	57.25220789612188	940.7254440759202	159.2193641140967	0.0	50.480689656791824	57.25220789612188
16	55.056955276132896	995.7823993520533	165.99916761878612	0.0	56.74594658723456	55.056955276132896
17	60.904312852852	1056.6867122049052	177.61678448085968	0.0	53.865581457108576	60.904312852852
18	55.75810429798928	1112.4448165028944	185.81693535982743	0.0	58.36401728618933	55.75810429798928
19	61.52065175275825	1173.9654682556527	197.78360087011265	0.0	61.75094065860044	61.52065175275825
20	56.76203627441409	1230.727504530067	204.49510756015016	0.0	59.81119640167018	56.76203627441409
21	58.81100468359536	1289.538509213662	215.75523796898133	0.0	64.92251355122757	58.81100468359536
22	59.72144712244383	1349.2599563361061	225.2601702450109	0.0	62.407396848543044	59.72144712244383
23	58.00807827337985	1407.268034609486	233.94237904490322	0.0	65.55732590704402	58.00807827337985
24	58.5493157729657	1465.8173503824512	242.09210679139247	0.0	65.43512263363566	58.5493157729657
25	56.889213054381074	1522.7065634368316	250.45887379047608	0.0	67.23730399063628	56.889213054381074
26	58.77070826006334	1581.477271696896	261.22991657016513	0.0	69.32989003306383	58.77070826006334
27	57.83698306759061	1639.314254764486	270.78545444698887	0.0	66.3255124295481	57.83698306759061
28	54.587185766467094	1693.901440530953	278.37768685148404	0.0	67.44911660788976	54.587185766467094
29	59.548348413468595	1753.4497889444224	288.7829874511041	0.0	65.91191207186078	59.548348413468595
30	55.91999754988398	1809.3697864943063	298.8351211214003	0.0	66.85340857399252	55.91999754988398
31	57.01920427593356	1866.3889907702396	305.9911622855706	0.0	65.80456444660952	57.01920427593356
32	57.749518755462766	1924.1385095257021	315.21492525120993	0.0	66.45945132702586	57.749518755462766
33	58.5267580681525	1982.665267593855	326.175407787189	0.0	67.84628021956405	58.5267580681525
34	56.378823107242276	2039.0440907010984	332.3017003045284	0.0	67.04031441590226	56.378823107242276
35	57.82867675708111	2096.872767458178	343.3328121993691	0.0	70.14432261502303	57.82867675708111
36	55.77102410599781	2152.6437915641754	350.4467846644922	0.0	70.1436079442224	55.77102410599781
37	58.745504012431496	2211.3892955766073	361.0744157075821	0.0	72.23600032262434	58.745504012431496
38	57.24005318451388	2268.629348761121	368.7848401082431	0.0	72.00716995471048	57.24005318451388
39	57.09720772654065	2325.7265564876625	376.8594443183671	0.0	69.67088563812251	57.09720772654065
40	59.38171785695479	2385.108274344616	387.71265406259306	0.0	71.45406460427611	59.38171785695479
41	53.90405599478645	2439.012330339404	392.3270711947196	0.0	71.53774210737231	53.90405599478645
42	57.37853878478618	2496.39086912419	399.0020185555639	0.0	72.17000686495601	57.37853878478618
43	58.5623209631028	2554.953190087293	408.84424640487634	0.0	73.45922058747998	58.5623209631028
44	53.089040043408566	2608.042230130701	415.2849329264219	0.0	73.7295510750566	53.089040043408566
45	57.40855546336304	2665.450785594065	424.7683810400852	0.0	75.17144363523113	57.40855546336304
46	59.51577892995563	2724.9665645240193	435.5312782516674	0.0	76.89531194632974	59.51577892995563
47	53.60242394063759	2778.5689884646577	438.6713165337601	0.0	78.24811145733891	53.60242394063759
48	58.21514248280017	2836.7841309474584	446.9649458662683	0.0	78.5408002127233	58.21514248280017
49	57.98596467435004	2894.7700956218077	457.3414542947344	0.0	81.16837319474516	57.98596467435004
50	55.89019717066571	2950.660292792474	465.1234766310292	0.0	80.839495784362	55.89019717066571
51	57.70061739253488	3008.360910185006	473.23358282055085	0.0	80.8213634043697	57.70061739253488
52	56.43075848854316	3064.7916686735516	481.4973604084311	0.0	81.43905504171562	56.43075848854316
53	55.162173195297974	3119.9538418688485	488.99235453544577	0.0	83.08319013744511	55.162173195297974
54	55.1719756619134	3175.125817530762	495.66096454752136	0.0	81.54752656065209	55.1719756619134
55	58.12547086861814	3233.251288399381	504.042031092814	0.0	83.36990287994178	58.12547086861814
56	59.001520212147405	3292.252808611528	516.0213647947328	0.0	86.01167305875259	59.001520212147405
57	52.93086368950645	3345.1836723010347	521.4485855323535	0.0	84.98991878479984	52.93086368950645
58	56.90629356003134	3402.089965861067	528.00935057018	0.0	85.10136317928145	56.90629356003134
59	58.64286289791244	3460.732828758977	540.5419930597344	0.0	87.11983012732493	58.64286289791244
60	57.52243408194266	3518.2552628409203	549.5737762381723	0.0	88.65554587356849	57.52243408194266
61	57.46176693173875	3575.7170297726593	558.1790124018385	0.0	89.11631822457866	57.46176693173875
62	58.95290221917361	3634.669931991834	568.927330593765	0.0	90.6406804011165	58.95290221917361
63	57.2473437385581	3691.9172757303913	577.3747769131745	0.0	94.27128446978139	57.2473437385581
64	57.530214887201346	3749.447490617593	585.6127641969732	0.0	92.61016676959144	57.530214887201346
65	57.60792683477422	3807.0554174523686	594.1446443383671	0.0	95.75085176874246	57.60792683477422
66	54.87486614112593	3861.930283593492	602.2817289343379	0.0	96.98783125214369	54.87486614112593
67	56.428491596885436	3918.358775190377	608.8132571776665	0.0	96.31819475985014	56.428491596885436
68	59.63335815777226	3977.9921333481507	621.513417635184	0.0	99.99708610793901	59.63335815777226
69	54.37775730466956	4032.3698906528216	628.7193220427312	0.0	99.69607197399831	54.37775730466956
70	57.591601095334056	4089.9614917481545	638.8638988981983	0.0	99.03811459956626	57.591601095334056
71	56.82058916100745	4146.782080909161	648.1015470906709	0.0	102.04707528534995	56.82058916100745
72	54.78365826381609	4201.565739172979	654.2604952837071	0.0	101.23827997494496	54.78365826381609
73	57.15919086958693	4258.724930042566	661.0276570196651	0.0	99.39536725699645	57.15919086958693
