task	reward	total_reward	total_regret	relative	total_reward_dev
0	71.10164421581104	71.10164421581104	23.88751284756063	0.0	8.156920396938057
1	71.69029187677978	142.79193609259084	51.557360521930306	0.0	11.446032615324729
2	70.50776633148398	213.29970242407478	78.4585368025703	0.0	14.354370599879049
3	71.27040802132694	284.5701104454018	102.7688105368772	0.0	17.24880543997702
4	71.4617767668412	356.0318872122431	127.55054591653393	0.0	19.597913457983967
5	71.12252233725377	427.1544095494965	151.83364712109633	0.0	20.37743163873839
6	71.07077831295696	498.2251878624535	177.89245225639945	0.0	22.994831193616438
7	70.8373797477759	569.0625676102295	203.85443689034722	0.0	24.143481583724295
8	71.82503613421233	640.8876037444421	229.7464500898855	0.0	24.72673900998054
9	72.1936325557605	713.0812363002026	257.84921618058	0.0	26.65281490899514
10	70.86017157301688	783.9414078732195	282.68408690347934	0.0	28.04437034820455
11	71.68054726765413	855.6219551408735	309.4409607775402	0.0	30.28700653916524
12	72.40944907829792	928.0314042191718	335.65008299426825	0.0	31.474147575513925
13	71.02448637309848	999.05589059227	361.0173070497442	0.0	33.12770564591811
14	71.3983936429996	1070.4542842352691	386.59233810507584	0.0	33.18936961939498
15	72.09718043104414	1142.5514646663137	412.21815541956545	0.0	34.42751093433669
16	72.69494872362095	1215.2464133899346	440.24777972228446	0.0	35.45749008326551
17	71.64768381178635	1286.8940972017215	467.5427142281954	0.0	36.250280133367866
18	72.25923125330748	1359.153328455028	493.3863517753395	0.0	36.78408146357224
19	71.1456183488291	1430.2989468038577	520.9793240277281	0.0	38.02760990661796
20	73.09425587627771	1503.393202680136	549.7827716310862	0.0	38.448045208718675
21	70.981943836631	1574.375146516766	573.8230744340742	0.0	40.078963288669904
22	71.76085509693307	1646.1360016136998	599.1501938148235	0.0	41.61631969640161
23	70.94264436867867	1717.0786459823776	625.8272276854026	0.0	42.3257145851368
24	72.5999948368117	1789.6786408191892	653.0885851176799	0.0	43.70978455432639
25	72.87293899273052	1862.5515798119204	680.9020675299555	0.0	44.18617334234464
26	70.86375748797681	1933.4153372998967	707.5297195361676	0.0	45.71738561689463
27	71.73740736115563	2005.1527446610532	735.1743256316764	0.0	44.52178434758406
28	70.7127287162396	2075.865473377292	760.6328127201606	0.0	44.79235791380268
29	71.41550928705708	2147.2809826643493	787.7747699263507	0.0	46.57262735349825
30	72.15677795429205	2219.437760618641	817.9900419224589	0.0	47.591229083904366
31	71.2385145052857	2290.6762751239276	845.0579227079382	0.0	48.60178781008279
32	69.77810439991862	2360.454379523846	868.5356159590768	0.0	49.01784878343306
33	71.16338044644591	2431.6177599702914	893.9718192528151	0.0	48.35810525703245
34	72.08299556386673	2503.7007555341584	920.8416973503921	0.0	50.260968243049014
35	72.70560718582809	2576.406362719986	947.8404037376199	0.0	50.38479630116206
36	71.81738493534847	2648.223747655335	976.0036114804527	0.0	50.173048213128645
37	71.69275919445822	2719.9165068497928	1001.6099328623117	0.0	49.80671361828605
38	73.57835965518846	2793.494866504981	1030.240164133678	0.0	49.91198973901339
39	72.374711232932	2865.8695777379135	1055.277077759103	0.0	50.09079624437228
40	72.26516864453842	2938.134746382452	1081.215453957622	0.0	51.45776129588288
41	70.85806444477315	3008.9928108272243	1107.482975638902	0.0	52.35895448448906
42	72.21024568279807	3081.203056510023	1131.7861852629428	0.0	52.949724636482046
43	71.9015338731912	3153.104590383215	1157.3810122302727	0.0	52.02292401610579
44	72.73714421373967	3225.841734596954	1182.6861148447183	0.0	53.22183340879964
45	70.09517063403102	3295.9369052309858	1206.1708970066404	0.0	54.17042608251231
46	72.22947622837164	3368.1663814593553	1233.0264386330973	0.0	54.45528169598108
47	71.45333140402644	3439.619712863382	1259.597775420978	0.0	56.421336747634044
48	71.76393119529345	3511.3836440586765	1288.0206288681059	0.0	56.32593974353999
49	71.45362382129613	3582.8372678799733	1314.7855484252061	0.0	57.300165266832764
50	71.23167251592459	3654.0689403958963	1340.397431212102	0.0	58.84427586438508
51	71.98997289524324	3726.0589132911405	1366.5317279992464	0.0	59.21917068686764
52	72.03717918947483	3798.096092480616	1390.925922627667	0.0	60.7253571478916
53	71.64681433237048	3869.7429068129845	1417.4398975360757	0.0	61.71928765833867
54	71.72661131631656	3941.4695181293027	1443.0137185477504	0.0	62.82473172750934
55	72.55834271344165	4014.027860842745	1468.5073832655282	0.0	63.99877407583396
56	72.31966768508514	4086.3475285278278	1496.6919089071334	0.0	63.27266539461666
57	70.74754680853685	4157.095075336367	1523.1246353381339	0.0	62.9461363351722
58	71.57086005246954	4228.665935388835	1548.578530482397	0.0	62.6967528398093
59	71.11316731438755	4299.779102703224	1576.9034375109331	0.0	62.98715269085362
60	71.23818595319892	4371.017288656421	1604.0558736520536	0.0	62.99539143438094
61	70.56673591911755	4441.58402457554	1628.5997830323822	0.0	63.74331321379288
62	72.38666100216611	4513.970685577705	1654.8108185741592	0.0	64.04731218857701
63	71.6858267097821	4585.65651228749	1683.8919854446458	0.0	63.505775772003204
64	71.25542132777474	4656.911933615261	1707.9322138153927	0.0	61.97616484811301
65	70.72359493816093	4727.6355285534255	1735.602674809376	0.0	62.19925677277134
66	72.20487905836187	4799.840407611786	1763.6625921666614	0.0	63.55899731864695
67	72.05107061732416	4871.891478229108	1789.2398227292035	0.0	64.0376282411548
68	70.97243799368485	4942.863916222793	1811.7436729635435	0.0	66.68698930608983
69	72.11080089406133	5014.974717116856	1838.8340947388988	0.0	67.20191855473684
