task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
0	-3.168325841922961	0	43.974386783141725	43.974386783141725	-4.133056230544858	0	44.6584398976164	44.6584398976164	-0.1265795631449923	0	46.21455435451876	46.21455435451876	25.283414665270456	0	70.83226710348063	70.83226710348063	0.40514076851878683	0	45.57746333575188	45.57746333575188	-0.4187476312554152	0	45.310925576409566	45.310925576409566	-1.064477023191291	0	45.34760642338385	45.34760642338385	-2.7333336141468063	0	43.03963503876244	43.03963503876244	-0.7092666244232868	0	43.06390244214418	43.06390244214418	1.3401695082338962	0	47.13393985226637	47.13393985226637	-2.6504738874799263	0	43.743434822352214	43.743434822352214	23.88751284756063	0	71.10164421581104	71.10164421581104
1	-2.811446693914183	0	45.213054915716974	89.18744169885869	-1.515379797987413	0	49.43158114312817	94.09002104074467	-3.434791076085318	0	45.96703710666387	92.18159146118263	51.02745585081151	0	70.57326283231134	141.40552993579192	13.028120587297158	0	58.00923123308261	103.58669456883445	19.328027089833146	0	64.06066355746061	109.37158913387019	11.05426067375455	0	59.40983271798985	104.75743914137367	9.754208248440959	0	59.30156195803184	102.34119699679431	15.081988564764375	0	62.41933175115405	105.48323419329822	15.973026139159424	0	60.2654616024381	107.39940145470446	15.70393653215296	0	62.61481584200263	106.3582506643548	51.557360521930306	0	71.69029187677978	142.79193609259084
2	-0.6101265645509265	0	45.08723351846148	134.27467521732018	15.169036641759128	0	60.75511007298013	154.8451311137248	-2.973031919416228	0	44.82981825622041	137.011409717403	74.49670987029404	0	71.29464123341869	212.7001711692107	24.25595414642058	0	57.70474135925596	161.2914359280905	36.78210250119988	0	63.90907898675353	173.28066812062363	25.191453859619788	0	57.47096317401342	162.22840231538706	26.63885928895091	0	60.09622726119394	162.43742425798828	32.79050075233103	0	62.9936860794346	168.47692027273285	33.19718633362336	0	61.51366260165539	168.91306405635984	28.71798214596054	0	59.784692698390934	166.1429433627458	78.4585368025703	0	70.50776633148398	213.29970242407478
3	-2.3833456152215335	0	44.09012243076835	178.36479764808848	25.257544222907413	0	58.17014140512576	213.01527251885048	-1.7227788054887758	0	45.19655700754142	182.2079667249444	100.9276670230464	0	72.36692539556294	285.0670965647735	28.782067547491593	0	50.197987460619004	211.4894233887095	41.59580666415889	0	50.51746313427375	223.79813125489753	29.095838526049317	0	48.498286776846406	210.7266890922335	30.777631561699273	0	49.12832870068637	211.56575295867452	40.25214065875279	0	51.55362622534469	220.03054649807757	38.87795497775651	0	49.37129424356316	218.28435829992307	32.13976569756076	0	48.74185463594137	214.88479799868716	102.7688105368772	0	71.27040802132694	284.5701104454018
4	-2.468054611360804	0	45.379052002008756	223.74384965009733	39.103241265749155	0	59.153828564280566	272.1691010831312	0.3393187691378208	0	47.79497946202083	230.0029461869652	127.93370766878314	0	72.78048050346911	357.8475770682427	55.828582040192515	0	71.14694899883845	282.63637238754785	67.76203956551218	0	71.27572490194243	295.0738561568398	54.145492024872965	0	71.34712633574196	282.0738154279755	58.367972335398235	0	71.91052143512889	283.4762743938035	67.30391108908128	0	70.89256082228094	290.92310732035867	63.748117731060645	0	71.06656232559604	289.3509206255191	56.438311654579614	0	70.44052287719802	285.32532087588515	127.55054591653393	0	71.4617767668412	356.0318872122431
5	-4.556567061462158	0	43.89626894153352	267.6401185916309	59.139232658223655	0	63.72908291655354	335.8981839996845	0.4733768039056352	0	46.885260513496036	276.88820670046147	153.76549537182302	0	71.63638455823646	429.48396162647936	81.55571617239569	0	70.89739455908908	353.5337669466372	91.66148800162169	0	69.77551908893834	364.84937524577816	79.2517248239917	0	71.55125927241697	353.62507470039253	84.91329165559006	0	71.47345894645913	354.9497333402626	93.42616819070723	0	71.37821080708585	362.3013181274444	90.05892421356322	0	71.02633268427162	360.37725330979083	83.16712227373604	0	72.56603814745054	357.8913590233358	151.83364712109633	0	71.12252233725377	427.1544095494965
6	-1.0387894235920065	0	47.81995471271433	315.46007330434514	62.420448896349875	0	47.829151755014294	383.7273357546988	1.8183923873083072	0	45.68323633664668	322.57144303710794	181.57682381476545	0	72.2372422749669	501.7212039014459	86.20611943947188	0	50.61985804246105	404.15362498909803	94.58428532158709	0	49.70633871038964	414.55571395616766	95.40315932051413	0	62.77929898915895	416.40437368955156	95.9773205705527	0	57.81383726687275	412.7635706071352	110.7501372351729	0	61.66267454425217	423.9639926716965	106.45170684478373	0	62.868048632947975	423.24530194273893	85.17388797806599	0	47.82585265128056	405.7172116746162	177.89245225639945	0	71.07077831295696	498.2251878624535
7	0.2948808993813776	0	46.52453953493335	361.98461283927855	67.837786905072	0	49.92960295642654	433.6569387111254	6.608747021285742	0	49.48319407216891	372.05463710927694	205.90225565080215	0	69.77959597267768	571.5007998741235	89.05486531537865	0	47.623793745587236	451.7774187346851	96.77322483641564	0	48.90020323038661	463.4559171865544	107.60685834390272	0	55.171189735720276	471.5755634252718	110.65790052790146	0	58.01435654868704	470.77792715582245	122.5708407935193	0	57.56246897694761	481.526461648644	118.83858631546168	0	57.666020536632956	480.9113224793714	90.25702875254572	0	50.85829831725522	456.5755099918713	203.85443689034722	0	70.8373797477759	569.0625676102295
8	2.7164298951923644	0	43.90095628187256	405.885569121151	93.91999294049499	0	71.22737346319951	504.88431217432503	4.800148588060494	0	43.750325120528984	415.80496222980605	229.22758833359185	0	70.70132768675336	642.2021275608771	93.29897932279997	0	51.07482061862581	502.8522393533112	97.1835760012471	0	46.49417715822285	509.9500943447773	121.5406291341274	0	58.725288171059944	530.3008515963317	121.97249487624946	0	57.32235337934057	528.100280535163	136.5624227667122	0	58.89521717855715	540.4216788272014	133.35682314301138	0	59.33806141325171	540.2493838926234	100.12166344836304	0	56.061522889531304	512.6370328814025	229.7464500898855	0	71.82503613421233	640.8876037444421
9	7.820026309936286	0	47.271926242869014	453.1574953640203	120.59690582596089	0	70.87318370974968	575.7574958840746	4.817524994216223	0	44.033788600525284	459.83875083033104	254.72184189457275	0	72.9609441543139	715.1630717151912	99.46851583853298	0	51.15837178424859	554.0106111375596	103.33479454540209	0	50.558752922476806	560.508847267254	134.06934922318175	0	60.64246046363979	590.9433120599712	136.03711899494422	0	58.98348545537022	587.0837659905335	149.79624698182988	0	58.57089649951894	598.9925753267203	142.07062214833041	0	54.18959965275342	594.4389835453765	120.36393602370158	0	65.18138929239566	577.8184221737985	257.84921618058	0	72.1936325557605	713.0812363002026
