task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	46.21455435451876	46.21455435451876	-0.1265795631449923	0.0	15.120851753353415	46.21455435451876
1	45.96703710666387	92.18159146118263	-3.434791076085318	0.0	20.368122613864927	45.96703710666387
2	44.82981825622041	137.011409717403	-2.973031919416228	0.0	26.62581341779608	44.82981825622041
3	45.19655700754142	182.2079667249444	-1.7227788054887758	0.0	30.65827872581598	45.19655700754142
4	47.79497946202083	230.0029461869652	0.3393187691378208	0.0	34.356743515091686	47.79497946202083
5	46.885260513496036	276.88820670046147	0.4733768039056352	0.0	39.7543017462403	46.885260513496036
6	45.68323633664668	322.57144303710794	1.8183923873083072	0.0	43.13749669695128	45.68323633664668
7	49.48319407216891	372.05463710927694	6.608747021285742	0.0	47.72077892945627	49.48319407216891
8	43.750325120528984	415.80496222980605	4.800148588060494	0.0	50.361305630077794	43.750325120528984
9	44.033788600525284	459.83875083033104	4.817524994216223	0.0	52.96933758972089	44.033788600525284
10	60.582000814338265	520.4207516446692	21.13217139296793	0.0	54.36613660178036	60.582000814338265
11	56.723124945499194	577.1438765901685	34.542487414662645	0.0	57.97483486122202	56.723124945499194
12	57.623859024873035	634.7677356150419	47.4802176890187	0.0	61.78640379668368	57.623859024873035
13	58.83778738675074	693.6055230017923	64.2945109261762	0.0	64.45124759348697	58.83778738675074
14	63.07195972399121	756.6774827257838	82.4145527795751	0.0	62.074704505596735	63.07195972399121
15	60.222639436887306	816.9001221626709	95.6994187602857	0.0	67.21394207316479	60.222639436887306
16	57.781260045674436	874.6813822083449	106.61036537110503	0.0	68.02119095350724	57.781260045674436
17	56.808407662909865	931.4897898712552	118.9934745769364	0.0	68.05187999936675	56.808407662909865
18	62.585900660832905	994.0756905320883	135.6823475309092	0.0	71.1122775391661	62.585900660832905
19	56.09966391423918	1050.1753544463268	146.40652531799412	0.0	72.48472644029918	56.09966391423918
20	56.378576969954835	1106.5539314162822	156.6730260041154	0.0	73.93306642486522	56.378576969954835
21	59.96697381075595	1166.520905227038	169.01613352482994	0.0	74.03651841498113	59.96697381075595
22	60.844754575645474	1227.3656598026835	186.2851311470554	0.0	75.24501724355271	60.844754575645474
23	59.10961386921762	1286.475273671901	201.05550684129545	0.0	74.70146131178555	59.10961386921762
24	60.249127871512044	1346.724401543413	214.86209041019686	0.0	77.6772561620333	60.249127871512044
25	59.92557425718753	1406.649975800601	227.62658107597466	0.0	78.18373110057372	59.92557425718753
26	57.835320946751146	1464.4852967473519	241.8431512107205	0.0	83.4026938387953	57.835320946751146
27	60.12052619708869	1524.6058229444416	255.8910315765888	0.0	83.41468623362933	60.12052619708869
28	58.965289522342836	1583.5711124667835	269.25429256905153	0.0	85.91678387653415	58.965289522342836
29	60.12350321555111	1643.6946156823353	283.68578354657325	0.0	86.44581173662203	60.12350321555111
30	45.16014761658431	1688.854763298919	284.2172416439577	0.0	85.63313676722096	45.16014761658431
31	48.588312792522856	1737.4430760914422	285.9040809736131	0.0	88.49376769522314	48.588312792522856
32	50.24925132618711	1787.692327417629	288.2116469761142	0.0	90.04118040581486	50.24925132618711
33	46.89851828870171	1834.59084570633	288.36704859210676	0.0	91.33991282398989	46.89851828870171
34	48.65182754349815	1883.2426732498286	292.13207375546654	0.0	92.97104839865199	48.65182754349815
35	49.957316286598264	1933.199989536427	296.0783380597729	0.0	92.18399682375123	49.957316286598264
36	49.66337211246656	1982.863361648894	302.02480646922896	0.0	95.45874311124115	49.66337211246656
37	46.89002756477151	2029.7533892136646	303.2511462138514	0.0	95.96390179858388	46.89002756477151
38	50.13283336328893	2079.886222576954	304.5566485209792	0.0	98.02176170447889	50.13283336328893
39	49.334893129878886	2129.2211157068327	309.4049364753415	0.0	97.25840441765982	49.334893129878886
40	71.32193121436892	2200.543046921202	333.52939390251316	0.0	98.52184520179001	71.32193121436892
41	70.92284823892155	2271.4658951601227	360.1043042618757	0.0	98.95723275279185	70.92284823892155
42	70.638966275965	2342.1048614360875	383.8462506562393	0.0	99.28295874353549	70.638966275965
43	71.73405886426411	2413.838920300353	408.75289429167407	0.0	100.38933750370008	71.73405886426411
44	69.96862385595733	2483.8075441563087	433.28275939435326	0.0	99.85734631502555	69.96862385595733
45	70.60688520458052	2554.4144293608897	459.21876189812116	0.0	99.21576279965998	70.60688520458052
46	70.97707455814708	2625.391503919038	484.95821595075796	0.0	99.43015851364746	70.97707455814708
47	70.62968294695207	2696.0211868659885	509.83685315233294	0.0	99.78298956425122	70.62968294695207
48	72.49231612178642	2768.5135029877747	536.9583613077766	0.0	100.03744156447509	72.49231612178642
49	70.78327611829286	2839.2967791060682	562.9389164676991	0.0	101.33454865053217	70.78327611829286
50	71.68386795872084	2910.9806470647886	588.5176308888554	0.0	100.9472340008618	71.68386795872084
51	72.69462178468656	2983.675268849476	614.737793778428	0.0	101.93018218043954	72.69462178468656
52	72.52815207519164	3056.2034209246685	640.437298226585	0.0	102.46832754772582	72.52815207519164
53	71.93500932837281	3128.138430253039	666.5291218838115	0.0	101.73535977126978	71.93500932837281
54	72.06114460524627	3200.1995748582854	694.2944111764613	0.0	101.01135333421735	72.06114460524627
55	72.3936328337042	3272.5932076919917	721.4554724670967	0.0	99.90293493561362	72.3936328337042
56	70.6510218185401	3343.2442295105307	746.2528810794106	0.0	100.06361707283246	70.6510218185401
57	72.0429655967444	3415.2871951072757	773.5868134326547	0.0	99.54170476935137	72.0429655967444
58	71.57520904231535	3486.862404149589	800.7584490620612	0.0	99.37184886460108	71.57520904231535
59	71.54882928765203	3558.4112334372435	825.7925854390576	0.0	99.66755002257868	71.54882928765203
60	47.011113238160604	3605.4223466754024	828.3281686160256	0.0	100.78236272187571	47.011113238160604
61	46.92237153726323	3652.3447182126674	830.7233330697073	0.0	104.01255352537088	46.92237153726323
62	45.91408532838944	3698.2588035410563	829.6683161644571	0.0	106.4812703002028	45.91408532838944
63	44.345960313960276	3742.6047638550167	828.5296555385664	0.0	109.88368733823427	44.345960313960276
64	43.516352179997476	3786.121116035015	826.3141593772627	0.0	112.36689740578466	43.516352179997476
65	46.383019690836534	3832.5041357258533	827.4531544153381	0.0	114.43222075963725	46.383019690836534
66	48.7712620054025	3881.275397731252	831.2021953658259	0.0	115.08223949456621	48.7712620054025
67	48.48860937962282	3929.764007110874	836.5861189358172	0.0	118.09605223804772	48.48860937962282
68	46.61624029850681	3976.380247409383	837.6861819269741	0.0	120.11383047408235	46.61624029850681
69	46.65423783229975	4023.0344852416824	840.1478535310595	0.0	122.28175000375059	46.65423783229975
70	48.38907931530536	4071.423564556986	842.6080196356129	0.0	122.9890706362456	48.38907931530536
71	47.25401375422521	4118.677578311213	846.5015808184525	0.0	122.96010542431604	47.25401375422521
72	47.545929775254464	4166.223508086466	847.9315937744436	0.0	124.9073013527591	47.545929775254464
73	47.1732910451006	4213.396799131569	850.1037244426569	0.0	125.67717996180973	47.1732910451006
74	46.24961257039923	4259.646411701969	849.8584311528642	0.0	127.89513969802788	46.24961257039923
