task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	70.83226710348063	70.83226710348063	25.283414665270456	0.0	7.544050486977373	70.83226710348063
1	70.57326283231134	141.40552993579192	51.02745585081151	0.0	9.744872970537605	70.57326283231134
2	71.29464123341869	212.7001711692107	74.49670987029404	0.0	12.868286333687482	71.29464123341869
3	72.36692539556294	285.0670965647735	100.9276670230464	0.0	13.7723552436239	72.36692539556294
4	72.78048050346911	357.8475770682427	127.93370766878314	0.0	16.43684939603192	72.78048050346911
5	71.63638455823646	429.48396162647936	153.76549537182302	0.0	17.09597862883199	71.63638455823646
6	72.2372422749669	501.7212039014459	181.57682381476545	0.0	19.2469108723295	72.2372422749669
7	69.77959597267768	571.5007998741235	205.90225565080215	0.0	22.18864951215424	69.77959597267768
8	70.70132768675336	642.2021275608771	229.22758833359185	0.0	22.635568167669668	70.70132768675336
9	72.9609441543139	715.1630717151912	254.72184189457275	0.0	24.779032837687243	72.9609441543139
10	70.23489726775364	785.3979689829446	279.75854404926724	0.0	24.907992480303196	70.23489726775364
11	70.31170111581922	855.7096700987636	304.02666637548487	0.0	25.287374509607925	70.31170111581922
12	71.79256059937747	927.502230698141	329.71590191705377	0.0	25.3818160766098	71.79256059937747
13	71.28453836906459	998.7867690672056	356.544232898804	0.0	26.68347009465438	71.28453836906459
14	72.03540884653812	1070.8221779137443	382.64927849216883	0.0	26.550049572845328	72.03540884653812
15	71.35611723097878	1142.1782951447226	408.4048588182683	0.0	28.298570273933287	71.35611723097878
16	69.41692917143095	1211.5952243161541	430.6173399135543	0.0	27.904774762912474	69.41692917143095
17	71.30909580316847	1282.9043201193228	458.0753613397466	0.0	28.653893247340235	71.30909580316847
18	70.99320112794042	1353.897521247263	484.7074543972295	0.0	29.83822704184822	70.99320112794042
19	71.59177235280578	1425.4892936000679	512.4014790529817	0.0	31.353839548953847	71.59177235280578
20	50.81118941515183	1476.3004830152202	515.9288797991212	0.0	33.72997192830328	50.81118941515183
21	49.1079444699639	1525.408427485184	520.8485890175048	0.0	37.944357519502624	49.1079444699639
22	47.43992596707986	1572.8483534522643	523.8744780095491	0.0	39.266166668084594	47.43992596707986
23	47.201796035762015	1620.0501494880248	526.0708207289466	0.0	39.064438207406155	47.201796035762015
24	49.15038441644801	1669.2005339044742	532.7417776105788	0.0	40.084771252865345	49.15038441644801
25	50.232110693987934	1719.4326445984625	537.833323237246	0.0	42.06702166675881	50.232110693987934
26	48.2184386501854	1767.6510832486476	537.5526205947697	0.0	46.20336495646549	48.2184386501854
27	48.10628583971928	1815.7573690883667	539.7408926290715	0.0	46.39138913455168	48.10628583971928
28	48.10249864547635	1863.859867733842	544.5667773770675	0.0	48.193899979133136	48.10249864547635
29	48.96783566031405	1912.8277033941579	551.8324613815745	0.0	50.28946187030798	48.96783566031405
30	58.7344332523663	1971.5621366465236	563.8008269450887	0.0	51.55163396929037	58.7344332523663
31	56.929836745240394	2028.491973391764	576.5710821095497	0.0	51.234277572796486	56.929836745240394
32	58.29763745751201	2086.789610849276	590.2632423589374	0.0	54.576121188865166	58.29763745751201
33	58.16564768333469	2144.955258532611	602.3041088863206	0.0	57.229239037064666	58.16564768333469
34	60.20030170215362	2205.1555602347657	617.0056093113016	0.0	60.896018035181335	60.20030170215362
35	61.018475068437304	2266.174035303202	631.4639436054563	0.0	63.97553327138235	61.018475068437304
36	60.946603229082	2327.120638532282	644.4053287661849	0.0	66.48676087106803	60.946603229082
37	61.78349238129308	2388.9041309135764	662.0993716585218	0.0	71.51608074058919	61.78349238129308
38	60.49713037805104	2449.401261291627	675.2309067929622	0.0	74.0693500058799	60.49713037805104
39	63.47127895040759	2512.872540242035	693.2716370819114	0.0	77.92059083454768	63.47127895040759
40	58.64016930354065	2571.512709545576	707.5887080499639	0.0	81.24037150547122	58.64016930354065
41	57.19614622755731	2628.708855773133	720.9958385187758	0.0	80.78202007826303	57.19614622755731
42	59.59739108606557	2688.3062468591975	737.6071403382813	0.0	81.95236942898883	59.59739108606557
43	56.666785338104134	2744.9730321973025	749.8233028942867	0.0	84.35383649014291	56.666785338104134
44	60.447158455063516	2805.4201906523663	764.4153921796956	0.0	91.86230778272086	60.447158455063516
45	60.89114857620628	2866.3113392285713	779.8480476032139	0.0	96.76934298245811	60.89114857620628
46	57.048696078633164	2923.3600353072065	788.5332204574688	0.0	98.59640735010298	57.048696078633164
47	58.231193885942396	2981.5912291931472	802.5251641967146	0.0	97.35382475384242	58.231193885942396
48	57.263730268959314	3038.8549594621068	810.659573406148	0.0	99.74368318467896	57.263730268959314
49	55.9352395053897	3094.7901989674974	822.8342306459909	0.0	100.96986787316197	55.9352395053897
50	46.71902769497332	3141.5092266624706	826.0246461236281	0.0	101.08902607840668	46.71902769497332
51	45.730423425157845	3187.239650087627	824.9835714423468	0.0	103.44300926585088	45.730423425157845
52	44.488763213003175	3231.7284133006306	823.2670132354324	0.0	106.41400983400207	44.488763213003175
53	46.4260938089929	3278.1545071096243	825.1669465439971	0.0	107.64911265572333	46.4260938089929
54	45.098481092082714	3323.252988201709	825.4183308835319	0.0	109.10684851481722	45.098481092082714
55	45.23006596226618	3368.4830541639735	826.3345238320217	0.0	112.03122999950023	45.23006596226618
56	44.000942844524104	3412.4839970084977	825.7740463442308	0.0	111.10950257370024	44.000942844524104
57	45.321828154536945	3457.805825163035	824.7274013541885	0.0	112.37916146868531	45.321828154536945
58	45.96089818104445	3503.766723344078	825.9630298117777	0.0	111.45427892975347	45.96089818104445
59	46.00004411516197	3549.7667674592412	826.8461663694601	0.0	112.33245274970592	46.00004411516197
60	45.02988396721281	3594.796651426454	829.8932839276426	0.0	115.81493007516055	45.02988396721281
61	46.877674824005005	3641.674326250458	830.0176472724877	0.0	115.51571480778445	46.877674824005005
62	45.242814759160055	3686.9171410096187	827.1869249306671	0.0	116.69202636802562	45.242814759160055
63	46.73865601111534	3733.6557970207346	829.4295854600547	0.0	115.93647001650703	46.73865601111534
64	46.75086098170979	3780.406658002445	830.6745969640359	0.0	116.85473865948242	46.75086098170979
65	46.86894285105357	3827.275600853497	832.1022153462333	0.0	118.08814780845579	46.86894285105357
66	48.732055342847396	3876.007656196344	836.2516745326529	0.0	119.30122082152022	48.732055342847396
67	46.46573501374369	3922.473391210089	835.3333348307805	0.0	119.68741989911558	46.46573501374369
68	49.69591740913742	3972.1693086192263	838.1468097280099	0.0	121.76818432450015	49.69591740913742
69	47.75730165514231	4019.926610274367	842.5037439430099	0.0	124.44038052013504	47.75730165514231
70	44.711286549557634	4064.637896823926	840.7853958512061	0.0	124.90071703231257	44.711286549557634
71	48.041568234245744	4112.679465058172	844.1877102953372	0.0	127.97383997681163	48.041568234245744
72	45.04844678402031	4157.727911842192	840.9171156830416	0.0	127.05075194345181	45.04844678402031
73	45.8644903036515	4203.592402145842	843.3929153432927	0.0	128.37123324256117	45.8644903036515
74	44.031449615157165	4247.623851761003	840.8413395710588	0.0	130.29361873461988	44.031449615157165
75	46.48126813979727	4294.105119900797	842.6510361665532	0.0	129.69927241227575	46.48126813979727
76	47.354224457945335	4341.459344358742	842.7349066491342	0.0	131.01096095568954	47.354224457945335
77	47.09845870080087	4388.557803059544	843.4610489325237	0.0	133.94449341388216	47.09845870080087
78	43.373200780015424	4431.931003839561	840.1935890686822	0.0	135.65093541034878	43.373200780015424
79	46.78899553103896	4478.719999370598	840.2297639816431	0.0	136.65218064489295	46.78899553103896
80	45.61235877102166	4524.332358141622	842.4555596271668	0.0	135.63686257222938	45.61235877102166
81	47.345603768408374	4571.677961910028	842.8308933113724	0.0	137.1905973702598	47.345603768408374
82	47.17983593941576	4618.85779784944	846.515853279585	0.0	139.3898366931328	47.17983593941576
83	43.315026827445834	4662.172824676888	843.4425432002903	0.0	139.62451305375947	43.315026827445834
84	47.804933207965085	4709.977757884856	844.2256198503699	0.0	138.18716109795375	47.804933207965085
85	45.55314359924026	4755.530901484093	843.1941280415895	0.0	140.51659784537117	45.55314359924026
86	46.907706702908435	4802.438608187003	845.2661487144661	0.0	143.7719532698043	46.907706702908435
87	46.4112044439111	4848.849812630912	843.8547580575207	0.0	148.4188193908074	46.4112044439111
88	46.517292099614494	4895.367104730529	844.203825602243	0.0	150.52900447632308	46.517292099614494
89	48.207646179572	4943.574750910102	849.1783681541564	0.0	151.50526986039247	48.207646179572
90	43.68868848525276	4987.263439395354	846.621822467424	0.0	155.25743065913326	43.68868848525276
91	45.47784491114589	5032.7412843064985	848.3678819673438	0.0	158.66867998071837	45.47784491114589
92	47.01349014577923	5079.75477445228	848.9569964516138	0.0	162.17016630448256	47.01349014577923
93	46.55215480044336	5126.306929252723	853.8662683562255	0.0	163.3319285307789	46.55215480044336
94	46.26420954470959	5172.5711387974325	855.5447595749606	0.0	164.3401477355122	46.26420954470959
95	45.95517067966022	5218.526309477094	855.943519988829	0.0	165.0862656277145	45.95517067966022
96	47.04325165846283	5265.569561135556	856.4964655991895	0.0	166.5068864971243	47.04325165846283
97	47.4349280236086	5313.004489159162	860.8630257257663	0.0	170.35974056249637	47.4349280236086
98	48.68969569775147	5361.694184856914	864.0821680800462	0.0	173.8666760763531	48.68969569775147
99	45.5756778917985	5407.269862748714	864.8851219317371	0.0	175.39530674480247	45.5756778917985
100	46.579904489324626	5453.849767238035	868.7526624800245	0.0	179.55590392260777	46.579904489324626
101	47.042030865565465	5500.891798103604	868.7117770298829	0.0	181.8933887485203	47.042030865565465
102	49.96807276018314	5550.859870863787	872.2655977453517	0.0	184.10307170119006	49.96807276018314
103	47.064850358890205	5597.9247212226755	877.2449634518823	0.0	187.85878635690338	47.064850358890205
104	46.67276337788384	5644.597484600561	881.0240882766155	0.0	189.0254533715918	46.67276337788384
105	45.5764662809329	5690.1739508814935	880.7407752626518	0.0	190.3843746662229	45.5764662809329
106	45.895339055125916	5736.069289936619	882.2643112189722	0.0	189.7549573661767	45.895339055125916
107	47.87518516882697	5783.944475105447	882.9618340591452	0.0	190.7623235074508	47.87518516882697
108	46.03697558360331	5829.981450689051	882.6796790583446	0.0	192.31731632762262	46.03697558360331
109	48.62194804437613	5878.603398733426	887.7220112114405	0.0	196.42494423723593	48.62194804437613
110	46.13062957077623	5924.734028304203	888.3748772425961	0.0	195.33443630700202	46.13062957077623
111	46.03010701323822	5970.764135317441	887.8129822613757	0.0	195.86685611293368	46.03010701323822
112	46.89371323036244	6017.657848547802	891.2436141200177	0.0	194.77311600629184	46.89371323036244
113	46.60346229792237	6064.261310845724	891.890354221343	0.0	195.46886940970043	46.60346229792237
114	44.27173135117762	6108.533042196904	892.2436952496246	0.0	196.09104967662753	44.27173135117762
115	45.78603216383829	6154.319074360742	890.5892061451212	0.0	197.99727195974305	45.78603216383829
116	45.9730226474538	6200.292097008194	891.191294267554	0.0	202.74311739977435	45.9730226474538
117	43.3875697021414	6243.679666710339	887.5642149300609	0.0	204.82993203661889	43.3875697021414
118	45.676416775236376	6289.356083485575	888.3179569143088	0.0	205.92428156806486	45.676416775236376
119	46.375486752364004	6335.731570237939	887.4925504833168	0.0	207.23105318945903	46.375486752364004
120	49.38947818337419	6385.121048421309	891.3844717823097	0.0	207.2884273486501	49.38947818337419
121	46.11671989786214	6431.237768319173	890.4164469579044	0.0	208.4942929145692	46.11671989786214
122	46.27457963060682	6477.51234794978	890.6638016685414	0.0	210.22006714157564	46.27457963060682
123	47.32204662492377	6524.834394574702	891.5038322571647	0.0	213.0173829953145	47.32204662492377
124	46.94625607789638	6571.780650652597	890.8367222366365	0.0	217.34359987446408	46.94625607789638
125	47.35871758098101	6619.13936823358	890.071623916239	0.0	218.50438746939295	47.35871758098101
126	45.75466447211557	6664.894032705696	890.8232511908044	0.0	219.81661745723235	45.75466447211557
127	47.83074906627037	6712.724781771968	891.3162880851582	0.0	224.02548795480718	47.83074906627037
128	46.133639285382905	6758.85842105735	890.6329282327549	0.0	226.0541733201267	46.133639285382905
129	46.721813802836515	6805.5802348601865	890.7257918521609	0.0	228.96198795515517	46.721813802836515
130	49.515843457366365	6855.096078317555	895.6136475112934	0.0	234.20735222553202	49.515843457366365
131	46.44234124403386	6901.538419561584	896.9251567729574	0.0	234.87827963770002	46.44234124403386
132	47.053396192100735	6948.591815753686	895.7476409157993	0.0	235.50105316733448	47.053396192100735
133	44.51742881765433	6993.109244571345	895.6020874332951	0.0	236.30788854075197	44.51742881765433
134	46.84197055979544	7039.951215131138	895.9770723996653	0.0	235.89423592856423	46.84197055979544
135	48.16342052188454	7088.1146356530235	899.2416982806784	0.0	242.3540540287543	48.16342052188454
136	46.586247434162104	7134.700883087184	899.3600485813945	0.0	245.61316084155334	46.586247434162104
137	48.1794775315577	7182.880360618741	902.6882276864937	0.0	246.23931716780172	48.1794775315577
138	46.93026892578011	7229.810629544521	903.2937786620034	0.0	248.93952271413184	46.93026892578011
139	47.53854189489633	7277.349171439414	906.2948483617431	0.0	248.97503358824233	47.53854189489633
140	45.38599982280663	7322.735171262226	908.1697269156618	0.0	249.9011424769914	45.38599982280663
141	44.82560340444095	7367.560774666666	907.1462381676832	0.0	252.8063430582692	44.82560340444095
142	45.12874569422245	7412.689520360886	906.7393779009592	0.0	255.35743896432223	45.12874569422245
143	46.313179411260805	7459.002699772151	906.4231922756957	0.0	257.1106985042832	46.313179411260805
144	50.671284528943886	7509.673984301097	911.9916523645592	0.0	258.34296338205246	50.671284528943886
145	47.21510433868854	7556.889088639781	915.8478222656257	0.0	259.55722316911164	47.21510433868854
146	49.55813615754032	7606.44722479732	920.2586514892703	0.0	261.5296630416671	49.55813615754032
147	47.13411384061774	7653.581338637937	922.5661210666186	0.0	262.47408734802974	47.13411384061774
148	45.58290688608196	7699.164245524023	922.2494369841194	0.0	265.3314368297532	45.58290688608196
149	47.189651173239774	7746.353896697264	922.1158546511062	0.0	265.08729622717243	47.189651173239774
150	47.6674015043465	7794.021298201608	925.2559412609079	0.0	267.7369165883822	47.6674015043465
151	46.190376125600835	7840.2116743272045	924.1619645122024	0.0	271.6339414661931	46.190376125600835
152	44.75444350937495	7884.966117836585	923.6940001331609	0.0	274.0762423051109	44.75444350937495
153	48.10981917128339	7933.075937007869	925.0929720838279	0.0	274.3758248930585	48.10981917128339
154	46.76230996449276	7979.838246972359	923.8647587040905	0.0	277.4588237947872	46.76230996449276
155	45.96011159969778	8025.798358572057	922.8790216872352	0.0	280.28770468836245	45.96011159969778
156	44.221897973540116	8070.020256545599	921.0990511614732	0.0	283.3279642404407	44.221897973540116
157	48.09005827250906	8118.110314818104	924.0434093775921	0.0	287.1505086132863	48.09005827250906
158	44.520647945087866	8162.630962763197	923.8774707702215	0.0	292.0753664383795	44.520647945087866
159	46.249692069074996	8208.88065483227	923.9024941381765	0.0	292.86932842023253	46.249692069074996
160	46.71032488652337	8255.590979718796	923.969002892616	0.0	295.8145172986559	46.71032488652337
161	43.49952079564474	8299.090500514436	920.9519011395671	0.0	299.13968776662387	43.49952079564474
162	46.35005631395372	8345.44055682839	921.0657734461279	0.0	300.27126148423736	46.35005631395372
163	45.85641982369165	8391.296976652082	921.5608704570284	0.0	301.1412292475072	45.85641982369165
164	48.48549347907744	8439.782470131164	926.1717892500944	0.0	302.9869061275903	48.48549347907744
