task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	43.743434822352214	43.743434822352214	-2.6504738874799263	0.0	14.544533223996885	43.743434822352214
1	62.61481584200263	106.3582506643548	15.70393653215296	0.0	21.846027984675022	62.61481584200263
2	59.784692698390934	166.1429433627458	28.71798214596054	0.0	30.919161396219682	59.784692698390934
3	48.74185463594137	214.88479799868716	32.13976569756076	0.0	34.20961842066785	48.74185463594137
4	70.44052287719802	285.32532087588515	56.438311654579614	0.0	33.90682380463927	70.44052287719802
5	72.56603814745054	357.8913590233358	83.16712227373604	0.0	35.38437468782812	72.56603814745054
6	47.82585265128056	405.7172116746162	85.17388797806599	0.0	39.698751104473416	47.82585265128056
7	50.85829831725522	456.5755099918713	90.25702875254572	0.0	42.617638546167946	50.85829831725522
8	56.061522889531304	512.6370328814025	100.12166344836304	0.0	46.547525727344045	56.061522889531304
9	65.18138929239566	577.8184221737985	120.36393602370158	0.0	52.84449418368598	65.18138929239566
10	66.52692573968159	644.3453479134802	143.04012687956833	0.0	51.4181072703754	66.52692573968159
11	63.72455543490998	708.0699033483901	162.36896082281586	0.0	50.469160802888624	63.72455543490998
12	50.47599118033134	758.5458945287214	168.25918839403516	0.0	56.0823408479836	50.47599118033134
13	48.98211269326616	807.5280072219873	171.81488882625996	0.0	59.20555905971865	48.98211269326616
14	55.16832762521916	862.6963348472066	182.10709914795322	0.0	60.99460848734459	55.16832762521916
15	61.48730102503309	924.1836358722398	194.72986085507978	0.0	66.24078228651565	61.48730102503309
16	67.61393160091603	991.7975674731558	217.53371370783174	0.0	65.11969648679032	67.61393160091603
17	69.00867624182123	1060.806243714977	241.52712862746972	0.0	66.07273591021271	69.00867624182123
18	46.86626670664716	1107.6725104216248	244.5187264980614	0.0	67.35866851160871	46.86626670664716
19	52.36384168543912	1160.036352107064	251.61938803687315	0.0	70.30883556504986	52.36384168543912
20	58.90733607806425	1218.9436881851277	266.76949841651896	0.0	74.48796037163376	58.90733607806425
21	60.34077462382469	1279.2844628089524	281.52354860873544	0.0	79.0511690602256	60.34077462382469
22	68.64622749000661	1347.9306902989588	305.144681529762	0.0	79.81422812072641	68.64622749000661
23	64.55239824471172	1412.4830885436706	324.30758909778996	0.0	80.09764283971526	64.55239824471172
24	51.080160440421494	1463.5632489840923	328.057761460837	0.0	79.84920387032548	51.080160440421494
25	53.2229419352723	1516.7861909193643	334.512486751996	0.0	83.75359120682438	53.2229419352723
26	54.666595897284026	1571.4527868166485	344.28433436382295	0.0	86.24971593410339	54.666595897284026
27	55.00919324813413	1626.461980064781	355.9838717294381	0.0	91.67089172681972	55.00919324813413
28	60.51783721356589	1686.9798172783483	370.1188275985465	0.0	95.97892355435293	60.51783721356589
29	63.090772336259725	1750.070589614608	386.41320989225574	0.0	95.43443109785555	63.090772336259725
30	58.79646267110647	1808.8670522857146	399.03347970581467	0.0	94.60055711756459	58.79646267110647
31	54.30385950095413	1863.1709117866692	408.31320428352427	0.0	93.0237426137355	54.30385950095413
32	54.18099811330512	1917.3519098999739	418.10057219736996	0.0	93.26802927469546	54.18099811330512
33	51.28475089956926	1968.6366607995424	428.53752827706825	0.0	92.42387587963424	51.28475089956926
34	53.2281610838698	2021.864821883411	434.57992666673454	0.0	96.98212894164044	53.2281610838698
35	59.59673363741176	2081.461555520824	447.6750040675995	0.0	97.83722644727472	59.59673363741176
36	62.506609042597965	2143.9681645634223	465.233833213769	0.0	96.6262313008289	62.506609042597965
37	63.29955552331529	2207.267720086738	482.937840495962	0.0	94.25692626105229	63.29955552331529
38	58.27542165140675	2265.543141738145	495.43721121474084	0.0	91.96854376288226	58.27542165140675
39	54.12205304836439	2319.665194786509	503.6313941900643	0.0	93.65353376552224	54.12205304836439
40	52.75238226160263	2372.4175770481115	508.27816318677077	0.0	96.37561715342122	52.75238226160263
41	53.671007592599956	2426.0885846407123	513.7488679658094	0.0	100.6184279511351	53.671007592599956
42	61.2671927337595	2487.3557773744715	530.8215072869056	0.0	103.44286209620222	61.2671927337595
43	62.57511684274331	2549.9308942172133	546.2320503958426	0.0	106.24794019792877	62.57511684274331
44	61.40302161639352	2611.333915833609	562.9297264068103	0.0	103.06106501734605	61.40302161639352
45	55.70623010663472	2667.0401459402424	573.3888009039592	0.0	102.50242063211506	55.70623010663472
46	50.32777702944837	2717.367922969691	580.2054880211555	0.0	102.13847735034508	50.32777702944837
47	53.91896378735887	2771.286886757051	586.7027204291564	0.0	105.1928682860351	53.91896378735887
48	57.60750699411258	2828.8943937511626	598.7368451972754	0.0	107.32907810586589	57.60750699411258
49	61.04521797604823	2889.93961172721	614.7349665662291	0.0	109.84333615083204	61.04521797604823
50	60.586290938179545	2950.5259026653903	628.8328255188839	0.0	110.27625375607883	60.586290938179545
51	59.590551941952754	3010.116454607344	643.2217028968282	0.0	109.62443676286077	59.590551941952754
52	58.795131774032605	3068.911586381376	657.4196399991171	0.0	104.78483754231821	58.795131774032605
53	55.86151965684411	3124.7731060382193	667.2249668568419	0.0	104.92757016137416	55.86151965684411
54	53.32877000652412	3178.1018760447437	675.3649640838627	0.0	108.1280763672417	53.32877000652412
55	56.19848981884197	3234.3003658635866	686.3554504370801	0.0	111.60044653535823	56.19848981884197
56	57.854861681321225	3292.155227544908	699.6212649208584	0.0	113.50433334977807	57.854861681321225
57	61.83952654714687	3353.994754092053	716.810689299132	0.0	115.55294836319447	61.83952654714687
58	59.643800011185995	3413.6385541032405	729.0769929068671	0.0	115.6104976063559	59.643800011185995
59	56.904489790806984	3470.543043894046	742.7355969210809	0.0	117.71243077072221	56.904489790806984
60	54.87766788021867	3525.4207117742644	751.714380384532	0.0	115.56531687670189	54.87766788021867
61	55.66535005690421	3581.086061831171	762.1019231429788	0.0	116.43758466858051	55.66535005690421
62	57.81249118597747	3638.8985530171467	774.9677972946581	0.0	118.4235562443319	57.81249118597747
63	56.10945431876387	3695.0080073359118	786.5035609589935	0.0	119.523793143174	56.10945431876387
64	59.62034039909054	3754.628347735002	803.9874416461078	0.0	122.60562497713882	59.62034039909054
65	57.95140937545888	3812.5797571104613	816.361127435239	0.0	123.16316804598183	57.95140937545888
66	56.7061129046754	3869.2858700151364	829.4002228576564	0.0	121.28186588214179	56.7061129046754
67	59.43750587700635	3928.7233758921434	846.2788496044362	0.0	121.32986329401794	59.43750587700635
68	57.370208406814236	3986.0935842989566	860.8914204762078	0.0	119.0163048303042	57.370208406814236
69	53.38679646118248	4039.48038076014	869.0174358205912	0.0	123.11884436857383	53.38679646118248
