task	reward	total_reward	total_regret	relative	total_reward_dev
0	39.09333693272316	39.09333693272316	0.8782699862497556	0.0	9.215219796674745
1	37.825464700178806	76.91880163290193	0.7165629418823873	0.0	13.627733919991586
2	36.69028112232136	113.60908275522337	-0.3336099862928684	0.0	14.776521937419679
3	38.21652803087676	151.8256107861001	1.8587916962289415	0.0	15.943646400685667
4	37.63868738636817	189.46429817246826	1.661387807189606	0.0	17.776829348237083
5	37.89269876374452	227.3569969362127	1.3086023607896946	0.0	20.75440870093525
6	37.64584333863506	265.0028402748477	2.548785435555939	0.0	23.777349690113503
7	38.059421198510044	303.0622614733579	3.2099434484338984	0.0	25.721998417300636
8	37.195769660246754	340.25803113360445	2.7358686298089436	0.0	27.31896133983237
9	37.381724061537945	377.6397551951422	3.320634772661817	0.0	30.51815873346945
10	36.27179513470025	413.9115503298427	1.082762818907558	0.0	32.15624903381147
11	37.79998437046838	451.7115347003113	1.818908445901681	0.0	34.170403946920224
12	37.35147066839762	489.06300536870884	1.3497345326285746	0.0	35.08921371121464
13	37.48790968711015	526.5509150558188	0.8885004712783331	0.0	38.71244885361127
14	37.34301151120874	563.8939265670278	0.11380324749736531	0.0	39.631537261297375
15	36.490375703620394	600.384302270648	-2.5615662892606412	0.0	40.15905238703512
16	36.26912099127866	636.6534232619268	-3.486213982711388	0.0	41.53081740582415
17	37.42030119579802	674.0737244577248	-5.58931023237129	0.0	41.92530467477771
18	37.694582533955604	711.7683069916804	-5.293678518199147	0.0	43.22511318704049
19	38.875065225374136	750.6433722170541	-4.338219857149969	0.0	43.915250097067066
20	38.74801129179426	789.3913835088491	-2.0723611037521015	0.0	43.36190227100745
21	38.57717250786332	827.9685560167121	-1.6931730959846027	0.0	44.41907573217194
22	39.50830942774503	867.4768654444571	-0.388111930745863	0.0	47.227071551133974
23	36.892048353909175	904.3689137983661	-0.5480808884360476	0.0	48.12352564811917
24	37.19547882184136	941.5643926202076	-0.9306728428289841	0.0	50.001194008748875
25	37.15795219251366	978.7223448127215	-1.3611705371898972	0.0	50.20748738051688
26	37.25164184365507	1015.973986656376	-1.7110472409329032	0.0	51.5546971614292
27	37.25531516930301	1053.2293018256792	-2.962129841726332	0.0	52.79066815306033
28	36.441131837879325	1089.670433663559	-6.5601472970226125	0.0	55.3871768654649
29	37.720620608994984	1127.3910542725534	-6.686481682943356	0.0	55.1527555927121
30	38.9904762746293	1166.3815305471833	-5.62814058494487	0.0	57.10272326326194
31	38.32592352420475	1204.7074540713877	-5.0717559324446055	0.0	59.49052403826425
32	36.83621512518311	1241.5436691965706	-5.500126381603632	0.0	60.12539365956173
33	36.30711084586168	1277.8507800424322	-6.703656820428123	0.0	59.363912967660184
34	37.596102098425504	1315.4468821408577	-6.253996744423291	0.0	59.89852851074015
35	36.5735147425014	1352.02039688336	-7.663689630616973	0.0	60.586278074405975
36	37.11032582742823	1389.130722710787	-7.139438168837944	0.0	60.368336937099485
37	37.06738029488663	1426.1981030056736	-6.899622166554663	0.0	62.513050707373765
38	37.18589096779609	1463.3839939734708	-8.670552438275932	0.0	62.948143608144925
39	38.467094978376224	1501.8510889518466	-8.388899876619611	0.0	63.81584296136022
40	37.67602705299716	1539.5271160048426	-8.360403664302266	0.0	65.30373257085516
41	36.170419043624705	1575.6975350484677	-10.51536671352487	0.0	65.95922623457199
42	37.156655848132075	1612.8541908966001	-11.760139641299915	0.0	66.2720987512995
43	36.64561863518264	1649.499809531783	-13.545465786628581	0.0	66.65782929966514
44	39.11746251775238	1688.6172720495358	-12.02700631223366	0.0	66.60456778019518
45	38.311474165791836	1726.928746215327	-11.467767280217862	0.0	66.75662052822206
46	38.18899186578556	1765.1177380811139	-11.747600162912185	0.0	68.67296009111944
47	39.3746347234008	1804.4923728045133	-8.008534321512348	0.0	68.66164030556902
48	37.38629358729984	1841.8786663918142	-8.704372209100889	0.0	68.20148142144815
49	38.47201484666025	1880.3506812384733	-7.102801717819875	0.0	70.26102959841263
50	37.93146519274004	1918.282146431214	-5.78993771366433	0.0	72.13421849288207
51	39.29804001516207	1957.580186446376	-5.129991461630375	0.0	72.75466101816151
52	38.102219975995034	1995.6824064223706	-7.3416191905352886	0.0	71.57631927267789
53	37.6560292064611	2033.3384356288318	-9.517460099374357	0.0	73.82331213239236
54	38.09615347213356	2071.4345891009657	-9.314896735997294	0.0	75.05078751263416
55	36.0989414129133	2107.5335305138797	-12.2137831889073	0.0	75.23959742875184
56	37.94219373653763	2145.4757242504156	-13.229534360740878	0.0	75.53911937147963
57	36.91359155797507	2182.3893158083906	-15.35196390967119	0.0	77.94405670432272
58	37.71559201603176	2220.1049078244228	-14.205721527332441	0.0	78.55570015068213
59	37.58091010992677	2257.685817934351	-14.317247236744624	0.0	78.5757699498697
60	35.7536257574407	2293.439443691791	-17.293096765947336	0.0	80.38731751323775
61	37.859240628692945	2331.2986843204835	-17.64676920596566	0.0	80.520536394414
62	36.22610559552144	2367.524789916005	-20.382977271083504	0.0	81.35070737591674
63	37.77118586470676	2405.295975780712	-19.620386474786205	0.0	81.64305059470723
64	38.68138814498404	2443.9773639256964	-17.08857288071754	0.0	85.37433751154683
65	38.56280667043678	2482.5401705961326	-16.96438455580683	0.0	83.8771897449525
66	38.98126112546503	2521.5214317215978	-13.83706572319019	0.0	82.78414355444538
67	38.708250455991724	2560.2296821775894	-12.745845264068876	0.0	83.09288956479521
68	39.57181543015517	2599.801497607746	-10.092843474592637	0.0	82.86142076539609
69	36.1664856619333	2635.967983269678	-12.778729481297127	0.0	85.57426605998738
70	38.38740298259035	2674.355386252269	-12.942810902435454	0.0	85.48738403237255
71	38.77256003644453	2713.1279462887123	-13.261603219104	0.0	86.20808662542771
72	38.02923664375143	2751.1571829324653	-11.641783703933484	0.0	86.46502820002299
73	36.73893986992353	2787.8961228023877	-12.188762471842638	0.0	87.48948409476614
74	38.06055453561681	2825.9566773380043	-11.56291378932433	0.0	87.69766973917051
75	38.93155869636941	2864.888236034374	-10.032035894093791	0.0	90.3698409765971
76	38.12766971059961	2903.0159057449746	-9.00309868951258	0.0	90.34246635738883
77	38.202070918810215	2941.2179766637832	-10.033793243628402	0.0	91.85107800772147
78	37.64278023108504	2978.8607568948687	-10.358997266035026	0.0	94.43254691504364
79	38.383331749852076	3017.244088644721	-9.134354394819125	0.0	95.89738876898625
80	37.984523597298875	3055.2286122420205	-8.833461275127119	0.0	95.22076629566557
81	37.97604697561337	3093.2046592176334	-7.256746682596572	0.0	95.30465922192757
82	37.4442785116023	3130.6489377292346	-7.95451992566253	0.0	96.45062133964996
83	38.229895908633196	3168.8788336378702	-7.80293036348708	0.0	95.4959680821988
84	36.69413871525384	3205.572972353124	-9.280205844661122	0.0	96.87919838272786
85	38.539168879074936	3244.112141232197	-7.418309290215393	0.0	95.56343285339618
86	38.37021703439014	3282.4823582665877	-6.534685079170158	0.0	95.51725218623145
87	37.10498802110571	3319.5873462876934	-6.75775207831924	0.0	96.28696581163202
88	37.733169181016564	3357.320515468709	-8.7757973308307	0.0	95.55161653626311
89	37.516508450309594	3394.8370239190194	-8.9564039768047	0.0	96.9818230463138
90	38.49797441897963	3433.3349983380012	-8.490866622707177	0.0	97.35225472794897
91	36.43473239669727	3469.7697307346957	-9.439271168034125	0.0	99.03899943758027
92	36.71549332030994	3506.4852240550076	-7.334183266981167	0.0	98.40263589347023
