task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	37.061680417047334	37.061680417047334	0.6214577454012489	0.0	9.744016703251608	37.061680417047334
1	48.78978204390623	85.85146246095356	12.470167397416821	0.0	18.40437309041481	48.78978204390623
2	50.35772476983735	136.20918723079092	26.97113786410071	0.0	26.558789368953704	50.35772476983735
3	42.58570543699985	178.7948926677907	29.99419436916353	0.0	28.528809832695345	42.58570543699985
4	51.886407368570225	230.681300036361	44.145146602632856	0.0	34.03992562689649	51.886407368570225
5	51.952407963461845	282.6337079998228	58.13468954957531	0.0	39.199222981150875	51.952407963461845
6	46.53967540914993	329.1733834089728	66.43506865505424	0.0	43.19055537197239	46.53967540914993
7	58.692474279853556	387.8658576888265	88.094361671612	0.0	47.33449439265785	58.692474279853556
8	61.501687972119996	449.36754566094635	112.2631080293199	0.0	52.43694109917376	61.501687972119996
9	49.73467561148616	499.1022212724328	124.3396570508826	0.0	52.99314859834766	49.73467561148616
10	72.1361601593428	571.2383814317752	159.75750908787816	0.0	53.21769170779811	72.1361601593428
11	69.8525964854084	641.0909779171836	192.15981770299334	0.0	52.43608331638811	69.8525964854084
12	50.88795190992832	691.9789298271119	207.43445822825413	0.0	53.68766210609313	50.88795190992832
13	52.70146752586089	744.6803973529733	222.90133128792354	0.0	56.77184673784333	52.70146752586089
14	50.358090705531396	795.038488058504	235.8711966021613	0.0	58.53067685182137	50.358090705531396
15	55.73221937053531	850.7707074290395	253.49078574800635	0.0	58.57943859024827	55.73221937053531
16	53.153193889194654	903.9239013182342	269.36818129863724	0.0	61.8280196654424	53.153193889194654
17	50.13328319269236	954.0571845109268	281.9150454058599	0.0	62.85531300054439	50.13328319269236
18	51.95668366687248	1006.0138681777988	297.2098981983388	0.0	65.12268738664197	51.95668366687248
19	52.514522176692296	1058.5283903544912	312.17342499329067	0.0	65.22677784599074	52.514522176692296
20	51.81353423186897	1110.3419245863602	328.433594589211	0.0	69.42674457569852	51.81353423186897
21	51.84104916929563	1162.182973755656	341.2898581519762	0.0	72.67283387006069	51.84104916929563
22	52.564696573830645	1214.7476703294865	356.2080528313833	0.0	73.88678069320564	52.564696573830645
23	49.823889720800274	1264.5715600502867	368.4608669941951	0.0	74.96912133914327	49.823889720800274
24	53.33551592354701	1317.9070759738338	383.3246864552197	0.0	74.07267446235042	53.33551592354701
25	52.29243771805013	1370.199513691884	399.40603846887456	0.0	76.7041035190797	52.29243771805013
26	51.87994543962058	1422.0794591315043	413.8951700981269	0.0	76.83236149843391	51.87994543962058
27	54.61497289269398	1476.6944320241992	431.52359400127153	0.0	79.76155984821389	54.61497289269398
28	53.71966154308747	1530.4140935672854	445.83075893894517	0.0	82.67866874812816	53.71966154308747
29	55.97633326414714	1586.390426831433	464.7133697318054	0.0	81.82559509636879	55.97633326414714
30	52.13925944324924	1638.5296862746827	478.531172115449	0.0	84.37225887958206	52.13925944324924
31	51.24197687293274	1689.771663147615	494.7353666929168	0.0	87.19723669250865	51.24197687293274
32	52.36305173758292	1742.1347148851974	509.35939453531114	0.0	86.57809045684222	52.36305173758292
33	51.79114547781786	1793.925860363016	523.8230045366934	0.0	89.21056159229121	51.79114547781786
34	54.42114097711335	1848.34700134013	540.0651517109378	0.0	90.05159643528624	54.42114097711335
35	49.47343453513086	1897.8204358752605	550.9535010907117	0.0	91.6243790749217	49.47343453513086
36	51.728186057495165	1949.5486219327547	565.9324199744219	0.0	92.88767952558838	51.728186057495165
37	48.08714829801306	1997.6357702307678	576.9215155310445	0.0	94.09662523072231	48.08714829801306
38	50.117416891734244	2047.7531871225024	589.4775886038435	0.0	96.81145446195798	50.117416891734244
39	53.41065315576014	2101.1638402782623	606.9166277271117	0.0	99.71775952956197	53.41065315576014
40	53.07582739107436	2154.2396676693375	621.8264130574523	0.0	99.44084828287633	53.07582739107436
41	51.761458714890935	2206.001126384228	636.0021901498569	0.0	103.3043969208887	51.761458714890935
42	49.767032740125366	2255.768159124353	647.9144100553954	0.0	104.65764944054469	49.767032740125366
43	52.29007390058794	2308.0582330249426	664.2393481205213	0.0	104.67482443046663	52.29007390058794
44	55.32316020707591	2363.3813932320163	682.1019397787751	0.0	106.46764697930261	55.32316020707591
45	49.440865721808514	2412.822258953826	693.0461438562754	0.0	107.89320261581173	49.440865721808514
46	55.99104892672445	2468.81330788055	713.8930306432194	0.0	108.91908280218401	55.99104892672445
47	51.10734483895761	2519.920652719508	727.3246044174583	0.0	110.09446688758975	51.10734483895761
48	55.26675566475862	2575.187408384266	745.1479139268235	0.0	113.62685493116453	55.26675566475862
49	48.49140697671714	2623.6788153609828	755.5908728237993	0.0	114.23909913663931	48.49140697671714
50	52.270518936734994	2675.9493342977175	770.3460728299802	0.0	117.1927493982369	52.270518936734994
51	50.356995680005554	2726.3063299777236	783.0973341275976	0.0	114.88660697052845	50.356995680005554
52	51.4634293104009	2777.7697592881245	796.4970864113801	0.0	121.51853358383495	51.4634293104009
53	50.40091104197075	2828.1706703300947	809.7541589467917	0.0	126.82272554921853	50.40091104197075
54	49.07280310704017	2877.243473437137	821.6072141974612	0.0	128.74562934222664	49.07280310704017
55	49.51073613868283	2926.7542095758176	833.8459425271623	0.0	128.44330105144164	49.51073613868283
56	51.55354802603507	2978.3077576018527	848.8124615965405	0.0	127.0631429318709	51.55354802603507
57	52.353930273977404	3030.6616878758314	860.6651927783777	0.0	126.394487674222	52.353930273977404
58	46.77233686598518	3077.4340247418168	870.7491256561002	0.0	128.43437708737122	46.77233686598518
59	49.99558777568924	3127.429612517505	884.4779417400553	0.0	130.65914841518583	49.99558777568924
60	51.44067054677329	3178.8702830642787	899.7641454456881	0.0	131.16837446668632	51.44067054677329
